dataset,block_group,blocks,selected_count,selected_share,expected_share_if_balanced,mean_novelty_mse,mean_seasonal24_mse,mean_local_variation,mean_block_variance,mean_best_naive_mse,mean_smoothness_ratio
ETTh2,early_blocks,5,6378,0.2102175346077785,0.3333333333333333,0.7861099900313272,0.7416565374165474,0.086742913726098,0.8141541732495619,0.6245725770102581,0.31240157196984064
ETTh2,middle_blocks,5,9236,0.3044166117336849,0.3333333333333333,1.1289865217489372,1.057953377006592,0.08584365115845821,0.8353209814250933,0.9365614798668144,0.24578871404076086
ETTh2,late_blocks,5,14726,0.4853658536585366,0.3333333333333333,1.3417827895562595,1.2750659834372544,0.0846196947778157,0.8451139732594812,1.1514795136029154,0.20716041915014868
Weather,early_blocks,5,35000,0.24419513284215227,0.3333333333333333,1.1138201621142851,1.1617023995156934,0.22188421989549054,0.8710840395709578,0.9150792665310578,0.14650153089712786
Weather,middle_blocks,5,45833,0.31977701495869615,0.3333333333333333,1.2472770794480148,1.2557749842407593,0.22207376189318015,0.8708643837026078,1.0274302310353105,0.11729363279621625
Weather,late_blocks,5,62495,0.4360278521991516,0.3333333333333333,1.3743230425322286,1.3490311099301269,0.22252552019513688,0.870476678026798,1.1380857666998438,0.1072685291218742
