dataset,block_index,block_range,block_group,train_windows,top_blocks_per_window,selected_count,selected_rate,mean_novelty_mse,selected_mean_novelty_mse,mean_seasonal24_mse,selected_mean_seasonal24_mse,mean_local_variation,selected_mean_local_variation,mean_block_variance,selected_mean_block_variance,mean_best_naive_mse,selected_mean_best_naive_mse,mean_smoothness_ratio,selected_mean_smoothness_ratio
ETTh2,13,625-672,late_blocks,7585,4,3449,0.45471324983520106,1.415001434494316,1.8106204803406243,1.34313351665178,1.7395810015138948,0.08453528869162212,0.09318360161913065,0.8443683341688952,1.0552378265436788,1.216278471139857,1.5960991246159841,0.1972044199850836,0.11212739237193965
ETTh2,14,673-720,late_blocks,7585,4,3483,0.45919578114700066,1.4489890207722513,1.838979566931615,1.3800049628782183,1.7800374643244155,0.08436415035937012,0.09195096842892941,0.84307322295128,1.032349230353867,1.2565045368756684,1.6296058223928591,0.1913780759530434,0.11148068142620103
Weather,0,1-48,early_blocks,35832,4,2045,0.057071891047108726,0.7487088885712219,3.218088109104152,0.9609093406984616,3.4678417838778723,0.22191863608843823,2.493322708421738,0.8706168723616081,3.3347994367682725,0.6294127200411843,3.1658108553845623,0.2225360472609805,0.3417779282260129
Weather,1,49-96,early_blocks,35832,4,9587,0.267554141549453,1.3165055103347456,2.174423189780874,1.313060013051117,2.1201452397900162,0.22191345121461936,0.6375676984683278,0.8711903610663534,1.5041997687224165,1.09321390416447,1.9908498702387558,0.1178263562125377,0.12782365580449823
Weather,2,97-144,early_blocks,35832,4,4086,0.11403215003348961,0.9848428410229636,2.7385509459088593,0.8852649513045084,2.5640222257101604,0.2218732855432884,1.348436990241562,0.8712091246284474,2.3304703750698574,0.7248183717611495,2.353485583812844,0.15406751339113167,0.2210275931055142
Weather,3,145-192,early_blocks,35832,4,5202,0.14517749497655727,1.0532224583536718,2.4061254028054364,1.1962126383808602,2.525287876281131,0.22188501205592098,1.0817162795999995,0.8710459192833745,2.0241134087401353,0.8944187537336918,2.2628488612700526,0.14076202844509625,0.18401760355607286
Weather,4,193-240,early_blocks,35832,4,14080,0.39294485376200045,1.4658211122888223,2.059492348612272,1.4530650541435204,2.020212095669497,0.22183071457518558,0.46347891160202664,0.8713579205150054,1.2663670532362763,1.2335325829547932,1.8563907804800135,0.09731570917589326,0.10311246247044031
Weather,5,241-288,middle_blocks,35832,4,6675,0.18628600133958473,1.126212423617307,2.242800718717276,1.0272440227402344,2.190803161822351,0.22183942267704687,0.8591457257203391,0.871235601994278,1.7641168162800764,0.8629297923937338,1.9469513742776254,0.12838210312210574,0.1528710326065344
Weather,6,289-336,middle_blocks,35832,4,7339,0.20481692342040633,1.1669776981300626,2.5174374377295887,1.3009056072335843,2.5649864006573604,0.221987562204228,0.7998833385478412,0.871215417908802,1.6979563605389814,1.0022722007665545,2.1530938990458677,0.12471618377433509,0.15008588449121055
Weather,7,337-384,middle_blocks,35832,4,16125,0.4500167448091092,1.5429681538389275,2.2052918830451125,1.5224320228547457,1.9981295978496412,0.2220958138691527,0.4152623691725146,0.8710016924854531,1.2011694633708256,1.3045526873882447,1.8563334753014802,0.09263943140448917,0.09584968209582344
Weather,8,385-432,middle_blocks,35832,4,7535,0.21028689439607054,1.1873964157833556,2.275133750495069,1.081583949621611,2.104285344295257,0.22221594356998486,0.7655874942530936,0.8705772205273749,1.6740578250148628,0.9197613294827854,1.8941131865940264,0.12209698160414137,0.1401016245649664
Weather,9,433-480,middle_blocks,35832,4,8159,0.22770149586961375,1.2128307058704206,2.469947389359302,1.3467093187536217,2.590375609463953,0.22223006714548824,0.7107854329405391,0.8702919855971301,1.6131377412134336,1.0476351451452344,2.12126149776801,0.11863346407600994,0.13103790440499244
Weather,10,481-528,late_blocks,35832,4,17483,0.4879158294262112,1.59066718470876,2.076123870029236,1.5695251387901121,2.064055959709831,0.22238321491186297,0.3863771021119928,0.8706742052867072,1.1663787387924442,1.351301950659902,1.8808517528048867,0.08968075300587884,0.09160241677897604
Weather,11,529-576,late_blocks,35832,4,8492,0.23699486492520652,1.217534982477986,2.1166288763038557,1.108508233707383,1.9535633127614123,0.22254077906427966,0.6917936961307594,0.8704839495520111,1.5802047010052334,0.948703861667879,1.821656981133968,0.11976733380626736,0.1372313487529183
Weather,12,577-624,late_blocks,35832,4,9230,0.25759098012949316,1.2329285835539283,2.1095451549647777,1.3639581631748046,2.205390303239359,0.22252588023594622,0.6507262962293725,0.8701269915434702,1.527274244578378,1.0684561072329009,1.93901074582496,0.11680887350740271,0.1319453640313033
Weather,13,625-672,late_blocks,35832,4,17898,0.4994976557267247,1.6004865190157747,2.021262193868157,1.5799458165807014,1.961698052371652,0.2225301129696557,0.37495884295602044,0.8705194477163172,1.1560526993987774,1.3616939566707018,1.8169852327320235,0.09039561721138185,0.08764406588068653
Weather,14,673-720,late_blocks,35832,4,9392,0.26211207858897073,1.2299979429046946,2.3730732888376935,1.1232181973976334,2.1818973964868995,0.22264761379393966,0.6396559440827253,0.8705787960354836,1.5098507502709535,0.9602729572678362,1.868336097344131,0.11969006807844025,0.13160665207327527
