dataset,block_index,block_range,block_group,train_windows,top_blocks_per_window,selected_count,selected_rate,mean_novelty_mse,selected_mean_novelty_mse,mean_seasonal24_mse,selected_mean_seasonal24_mse,mean_local_variation,selected_mean_local_variation,mean_block_variance,selected_mean_block_variance,mean_best_naive_mse,selected_mean_best_naive_mse,mean_smoothness_ratio,selected_mean_smoothness_ratio
ETTh2,0,1-48,early_blocks,7585,4,628,0.08279499011206329,0.4381921512000712,1.1788811070302578,0.45628274525100765,1.060449003689063,0.08669264042149138,0.10885721553484597,0.793527770898434,1.0476839133638074,0.3418187781445169,0.9508397719837692,0.39051252659827,0.20722996799922333
ETTh2,1,49-96,early_blocks,7585,4,1207,0.15912986156888595,0.7425336157756581,1.6571598643884717,0.6929475430034279,1.6014217735710847,0.0868286791797806,0.10010616534852268,0.8061844082700245,1.0719659961974481,0.5745556525354564,1.3006394527565783,0.3258646163463057,0.18114639025798135
ETTh2,2,97-144,early_blocks,7585,4,1346,0.17745550428477258,0.8366044021343411,1.875175302359281,0.7809716661114828,1.701018374471311,0.08661858424931332,0.10410124385605278,0.8177996604429828,1.1032368207088723,0.6656350490746,1.5390036057766139,0.2973387461755081,0.16840355923031702
ETTh2,3,145-192,early_blocks,7585,4,1580,0.2083058668424522,0.9324509537970469,1.8358011022328315,0.8666185115098451,1.6942894819429406,0.08670496344051137,0.09602934031998386,0.8246499263760735,1.0937714642976668,0.7534886105374926,1.5486508359880164,0.27969250797847856,0.1614106980780506
ETTh2,4,193-240,early_blocks,7585,4,1617,0.21318391562294,0.9807688272495189,1.9198842406016277,0.9114622212069728,1.6933469303075421,0.08686970133939337,0.10713114592831954,0.8286091002602941,1.1957054060866212,0.7873647947592254,1.5393260638720978,0.26859946275064095,0.15484226075715354
ETTh2,5,241-288,middle_blocks,7585,4,1769,0.23322346736980884,1.0471995110898633,1.8092867092183793,0.9778165909359009,1.6967572506684638,0.08665168402968224,0.10498455054230385,0.830649392364639,1.1541672113475518,0.8537276459549835,1.4902616567317304,0.2627604907006309,0.15159609528331827
ETTh2,6,289-336,middle_blocks,7585,4,1785,0.23533289386947923,1.1006356091373282,2.292609748545484,1.031231265223591,2.1560925800155575,0.08646819364029931,0.10455857798038017,0.8331751643157564,1.1831663525539924,0.9062539990558552,1.9409132756397218,0.2569003787934815,0.149087723460792
ETTh2,7,337-384,middle_blocks,7585,4,1766,0.23282794990112063,1.1283497451262183,2.415034848362105,1.0553806045214262,2.1518771041082454,0.0864846752628335,0.1057570785327487,0.834954184960123,1.3226523395481697,0.9318517462445394,2.012715078881758,0.2459882804656856,0.13788326810106136
ETTh2,8,385-432,middle_blocks,7585,4,1899,0.25036255767963084,1.1716643213223468,2.299969059873612,1.1053232614909245,2.1144628125331173,0.08476564344327198,0.0981528841524301,0.8365504951560531,1.2559274358413501,0.9852828634377571,1.960517367260425,0.23455453732479847,0.1311692143148946
ETTh2,9,433-480,middle_blocks,7585,4,2017,0.2659195781147001,1.197083422068929,2.052678968859375,1.120015162861118,1.8618028033831227,0.08484805941620403,0.09743476885865063,0.8412756703288954,1.1676763009445812,1.0056911446409362,1.7284842307443138,0.22873988291920794,0.12425067108705706
ETTh2,10,481-528,late_blocks,7585,4,2061,0.2717205009887937,1.2202223447166796,1.7584925341165494,1.1518565448379268,1.6520332815903183,0.08469365711573575,0.09649215412367447,0.8443193961343068,1.0977446899403795,1.0378067769358907,1.5253040034079524,0.22576881410927058,0.12283267633941357
ETTh2,11,529-576,late_blocks,7585,4,2564,0.33803559657218196,1.283820725333643,1.8610483041180357,1.2165983669162574,1.7443043569968024,0.08474056425798682,0.09493338691918085,0.8470193624779961,1.1125763936125865,1.0956845108191764,1.604771755693309,0.2162070407047,0.10645835673533126
ETTh2,12,577-624,late_blocks,7585,4,3169,0.41779828609096903,1.3408804224644078,1.6746336605675787,1.2837365259020903,1.5559840223605468,0.08476481346436367,0.09121140533633107,0.8467895505649277,1.0110547950556856,1.151123272243984,1.4448768881963694,0.20524374499864578,0.11601290766294656
