dataset,mean_relative_mse_vs_r3_pct,mse_wins_vs_r3,mean_teacher_student_cosine,mean_future_local_alignment_loss,mean_future_relation_alignment_loss,mean_future_reconstruction_loss
ETTh2,5.245200887069575,0,0.6362718082446466,0.3637281666504827,0.09526164631631953,0.6275185844606974
ETTm1,-1.287779015258572,4,0.8300418628679157,0.16995809626265507,0.07116104614041961,0.18430886767999713
Weather,-0.07469277652108461,3,0.8220204586188118,0.17797949880036268,0.056323326037725725,637.1229823119984
