phase,dataset,trial_id,profile_id,seed,best_epoch,validation_mean_mse_4h,trainable_parameters,checkpoint_sha256_before_test,artifact_dir,test_artifact_dir,source_ledger
H4M,ETTm2,ETTm2__h4m_p6_lr5e5,h4m_p6_lr5e5,2021,8,0.1805358638919498,1740229,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_p6_lr5e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_p6_lr5e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,ETTm2,ETTm2__h4m_seq960_p4_lr1e5,h4m_seq960_p4_lr1e5,2021,11,0.18192185749210205,1235397,16ddae78b6792fbf6ab0ccefd9c8ec50cf261f3b2688f368354907979a516d65,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/ETTm2/ETTm2__h4m_seq960_p4_lr1e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/ETTm2/ETTm2__h4m_seq960_p4_lr1e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_anchor_ln0,h4m_anchor_ln0,2021,14,0.4874578293634667,4927253,fc00fd3c827192417e8ac0a56027395e8d97dbd2881bddbb63879937d9ac3ea3,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_anchor_ln0/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_anchor_ln0/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_seq1152_p36,h4m_seq1152_p36,2021,8,0.48380194579284375,7286933,b9f5ba2fd50da0cae99399075f2078e480e9a8e517c191446b453192371c74c7,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_seq1152_p36/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_seq1152_p36/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_seq384_p12,h4m_seq384_p12,2021,13,0.504493668909362,2568341,ed3bf92d20ff28cbd9e15d26c260749dc123e385d234289b79703146918d3418,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_seq384_p12/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_seq384_p12/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_seq512_p16_lr1e5,h4m_seq512_p16_lr1e5,2021,65,0.5003427683013595,3354773,25b27d8ff4ccdd456ccfec543b1083ea396f611f2a1e9413a799625e22c2a147,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_seq512_p16_lr1e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_seq512_p16_lr1e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_seq512_p16_lr2e5,h4m_seq512_p16_lr2e5,2021,49,0.49829436646763325,3354773,6456c5543ab03046ed2a9433d1a96f6139e02610747820c67c208a2c7b6f52f7,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_seq512_p16_lr2e5/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_seq512_p16_lr2e5/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_seq512_p16_lr2e5_r16,h4m_seq512_p16_lr2e5_r16,2021,57,0.5010779468972784,1160773,524d8e4a00e513306a415aefe284ac4ecc35afe18297f91634e6e0e234c413a5,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_seq512_p16_lr2e5_r16/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_seq512_p16_lr2e5_r16/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_seq512_p16_lr2e5_r64,h4m_seq512_p16_lr2e5_r64,2021,46,0.49950505158723524,2213893,bba6858295b2942f60eeb2da8410ec5685e8ab34060dca78b744382f984dafe9,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_seq512_p16_lr2e5_r64/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_seq512_p16_lr2e5_r64/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_seq512_p32_lr2e5_r64,h4m_seq512_p32_lr2e5_r64,2021,24,0.5011690143384926,4293637,77a24af425eff97adc329c764df4c660ae16d5d6b09b9a2de310d0097d6cd3c0,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_seq512_p32_lr2e5_r64/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_seq512_p32_lr2e5_r64/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_seq512_p8_lr2e5_r64,h4m_seq512_p8_lr2e5_r64,2021,69,0.500065550793125,1175557,92faf8809f3e3cf7a7fde1f02e1490ed2f844644130f487c77cbe80e31b791c4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_seq512_p8_lr2e5_r64/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_seq512_p8_lr2e5_r64/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_seq640_p20,h4m_seq640_p20,2021,9,0.491397054869652,4141205,c39fd21b2e9b9597f9f6b57eeb08d8940f426773241eaef0f6452c15fe1d0c21,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_seq640_p20/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_seq640_p20/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_seq768_p24,h4m_seq768_p24,2021,19,0.4859816964111468,4927637,06ecd4ba3d94c55210f2bf3a6a0d55fb3c0d0326bca51191d8d1e4a982cd890c,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_seq768_p24/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_seq768_p24/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
H4M,Weather,Weather__h4m_seq960_p30,h4m_seq960_p30,2021,7,0.4828334314855821,6107285,235304a3b35a2948954840a9ad5f02ce1732284d6f7aaed4869e6e887f7bdbd2,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/trials/Weather/Weather__h4m_seq960_p30/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h4m/test_audit/Weather/Weather__h4m_seq960_p30/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h4m_artifact_audit/trial_ledger.jsonl
