phase,dataset,trial_id,profile_id,seed,best_epoch,validation_mean_mse_4h,trainable_parameters,checkpoint_sha256_before_test,artifact_dir,test_artifact_dir,source_ledger
H5B,ETTh1,ETTh1__h5b_lr3p6e4,h5b_lr3p6e4,2021,2,1.1345617960268144,2420425,d9f1c889127bc92e7ec6f70fa59ad6b2b7d7bdd7401be628347da0c733112212,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_lr3p6e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_lr3p6e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_lr3p7e4,h5b_lr3p7e4,2021,2,1.1348535173980978,2420425,2892bd9a1e729514b5f00b41237e0ba4cdebb643ed0fb0b866f0b7a2b210b8f3,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_lr3p7e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_lr3p7e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_lr3p8e4,h5b_lr3p8e4,2021,2,1.1356829237159607,2420425,24b0d94958de9e900e26ee3c48dce6801b8abd499bcb4cb5459062d59dfb714c,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_lr3p8e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_lr3p8e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_lr4e4_budget120,h5b_lr4e4_budget120,2021,2,1.1371891192238157,2420425,4217f5ad1405b2f5223a8dabc7ec33dc52af04b3dbfc422047daa851df372d93,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_lr4e4_budget120/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_lr4e4_budget120/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_lr4p2e4,h5b_lr4p2e4,2021,2,1.1385165103962498,2420425,c068c1ade9c91c7adad2b947d420b63f48e503193ddb3d7d0609e8c245be624e,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_lr4p2e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_lr4p2e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_patch18,h5b_patch18,2021,1,1.1312031014423285,1857801,c97e017080595a286f3130b2d80aae7352f7ebae50c867a86335d2a38e258679,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_patch18/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_patch18/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_patch30,h5b_patch30,2021,1,1.1613745745814716,2983177,bfcd8be3bc3b03e0941b6890f9155963157802d973a39140f14bfa77ac29187f,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_patch30/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_patch30/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_patch36,h5b_patch36,2021,2,1.154611554026367,3545993,dc4fd8b14e08239bed91d9f3497d34a6e604a35233f636da48d366e6d2b7bef4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_patch36/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_patch36/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_rank128,h5b_rank128,2021,2,1.1474196311991869,2740005,8d27f6cbff7616f7f6841a9c7c337c5c85edfffb44e8e4b775e381a7fe6464cc,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_rank128/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_rank128/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_rank160,h5b_rank160,2021,1,1.1381321089390282,3278245,0a968f7a8a7c7e01176c6cd3348c9bd8360d5f5ea73171bbb7b36559602ce706,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_rank160/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_rank160/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_rank80,h5b_rank80,2021,3,1.14302803808158,1932645,bd3fef43f92b6eb47e79f348e60112addbf01ad9666f727d05b80791a09256df,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_rank80/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_rank80/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_rank96,h5b_rank96,2021,2,1.125024324968191,2201765,0c34bf8ddbfb5e67dc983220ffe6dc610597580d4a4500356c89aef326d3db8e,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_rank96/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_rank96/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_seq576_p18,h5b_seq576_p18,2021,3,1.1082669332211408,1857545,8cd4af7cb8a26d28b0ec33be61584ad0dc25172dd1e6978eea0ca130eaf09633,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_seq576_p18/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_seq576_p18/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_seq640_p20,h5b_seq640_p20,2021,2,1.1079714536356429,2045193,1ac3930cb049d96406a7ca77f98b97e806149320fa7ab02087a86ef005550c9a,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_seq640_p20/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_seq640_p20/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_seq640_p32,h5b_seq640_p32,2021,2,1.1317812059640087,3170697,4c6c53f3c2aa5d5260d576fd2fc485f07bb64c2dbc2d6e68944939906cd04779,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_seq640_p32/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_seq640_p32/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
