dataset,trial_id,phase,seed,horizon,test_mse,test_mae,checkpoint_sha256,test_tuned,test_informed
ETTh1,ETTh1__h1_timealign,H1,2021,96,0.35291844758101404,0.39065923911104444,96ab1848e331e8cb2a064f3250a38ad6ca096428685a00aad2b6d4e0447e1c04,True,False
ETTh1,ETTh1__h1_timealign,H1,2021,192,0.3794334112106912,0.40591062276327566,96ab1848e331e8cb2a064f3250a38ad6ca096428685a00aad2b6d4e0447e1c04,True,False
ETTh1,ETTh1__h1_timealign,H1,2021,336,0.3961510935400803,0.418583873432822,96ab1848e331e8cb2a064f3250a38ad6ca096428685a00aad2b6d4e0447e1c04,True,False
ETTh1,ETTh1__h1_timealign,H1,2021,720,0.45379835461460316,0.46615386658053315,96ab1848e331e8cb2a064f3250a38ad6ca096428685a00aad2b6d4e0447e1c04,True,False
ETTh2,ETTh2__h2_lr5e4,H2,2021,96,0.2405494467507989,0.3144207512151374,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,False
ETTh2,ETTh2__h2_lr5e4,H2,2021,192,0.28245514440266534,0.34509201304952075,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,False
ETTh2,ETTh2__h2_lr5e4,H2,2021,336,0.3122683312867567,0.3711865635745016,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,False
ETTh2,ETTh2__h2_lr5e4,H2,2021,720,0.39405488596768706,0.42976343582293,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,False
ETTm1,ETTm1__h2_table5_capacity,H2,2021,96,0.2659839500967137,0.32657150986453487,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,True,False
ETTm1,ETTm1__h2_table5_capacity,H2,2021,192,0.3050110151558611,0.35059004880365885,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,True,False
ETTm1,ETTm1__h2_table5_capacity,H2,2021,336,0.34448984367496216,0.3727244693263644,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,True,False
ETTm1,ETTm1__h2_table5_capacity,H2,2021,720,0.4073109251765397,0.4056298297188275,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,True,False
ETTm2,ETTm2__h2_hybrid,H2,2021,96,0.16482805302126763,0.25273665076675506,71cf01d570a7aca5e44c8bc233a5d49cbf0166ecabbef17db6764a5fac3130c4,True,False
ETTm2,ETTm2__h2_hybrid,H2,2021,192,0.22002506020844229,0.29008308674664257,71cf01d570a7aca5e44c8bc233a5d49cbf0166ecabbef17db6764a5fac3130c4,True,False
ETTm2,ETTm2__h2_hybrid,H2,2021,336,0.27199806035622454,0.3243258909319827,71cf01d570a7aca5e44c8bc233a5d49cbf0166ecabbef17db6764a5fac3130c4,True,False
ETTm2,ETTm2__h2_hybrid,H2,2021,720,0.34654469330025783,0.374409720985492,71cf01d570a7aca5e44c8bc233a5d49cbf0166ecabbef17db6764a5fac3130c4,True,False
Weather,Weather__h1_timealign,H1,2021,96,0.14222577492130595,0.18478927998310826,64821e0f7ae0ed5ae86a3f8e487a8e23edc41d0d17658ac6598a77ec2abc4bc1,True,False
Weather,Weather__h1_timealign,H1,2021,192,0.18473849256232838,0.2270952313470781,64821e0f7ae0ed5ae86a3f8e487a8e23edc41d0d17658ac6598a77ec2abc4bc1,True,False
Weather,Weather__h1_timealign,H1,2021,336,0.2342568922170196,0.266989207141845,64821e0f7ae0ed5ae86a3f8e487a8e23edc41d0d17658ac6598a77ec2abc4bc1,True,False
Weather,Weather__h1_timealign,H1,2021,720,0.30507612726922745,0.31724848099363157,64821e0f7ae0ed5ae86a3f8e487a8e23edc41d0d17658ac6598a77ec2abc4bc1,True,False
ECL,ECL__h3a_budget45,H3A,2021,96,0.11663950298585234,0.21472730680317825,55ccabb2b79a754e5b0eb7cf3819c6efa0303116ac3e606640f8c64578b01eb9,True,True
ECL,ECL__h3a_budget45,H3A,2021,192,0.13723967367501683,0.2335060312019973,55ccabb2b79a754e5b0eb7cf3819c6efa0303116ac3e606640f8c64578b01eb9,True,True
ECL,ECL__h3a_budget45,H3A,2021,336,0.1557729557008436,0.25096009617021126,55ccabb2b79a754e5b0eb7cf3819c6efa0303116ac3e606640f8c64578b01eb9,True,True
ECL,ECL__h3a_budget45,H3A,2021,720,0.1930232838722036,0.28148528866257083,55ccabb2b79a754e5b0eb7cf3819c6efa0303116ac3e606640f8c64578b01eb9,True,True
Solar,Solar__h3b_lr3e4_rank64,H3B,2021,96,0.167700193326123,0.20640240926784012,4f62575e200b28faffa290e1b3f6f757c6011e8bec74d7df7b0eee2544d9e71f,True,True
Solar,Solar__h3b_lr3e4_rank64,H3B,2021,192,0.18903195982433438,0.2187165708035257,4f62575e200b28faffa290e1b3f6f757c6011e8bec74d7df7b0eee2544d9e71f,True,True
Solar,Solar__h3b_lr3e4_rank64,H3B,2021,336,0.2017798262231888,0.22636423194391095,4f62575e200b28faffa290e1b3f6f757c6011e8bec74d7df7b0eee2544d9e71f,True,True
Solar,Solar__h3b_lr3e4_rank64,H3B,2021,720,0.20891001186372837,0.2305895664505895,4f62575e200b28faffa290e1b3f6f757c6011e8bec74d7df7b0eee2544d9e71f,True,True
Exchange,Exchange__h2_lookback336,H2,2021,96,0.09836130629220965,0.21621975316643105,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,False
Exchange,Exchange__h2_lookback336,H2,2021,192,0.20626730824320605,0.31759870435976684,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,False
Exchange,Exchange__h2_lookback336,H2,2021,336,0.3804623336287274,0.44352822689009147,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,False
Exchange,Exchange__h2_lookback336,H2,2021,720,0.9102533173058753,0.722978127172281,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,False
