dataset,trial_id,profile_id,phase,seed,best_epoch,validation_mean_mse_4h,trainable_parameters,checkpoint_sha256_before_test,checkpoint_sha256_after_test,checkpoint_hash_immutable,training_artifact_dir,test_artifact_dir,source_manifest,source_training_protocol_id,source_test_protocol_id,source_candidate_version,test_access_date,matrix_complete,test_mean_mse_4h,test_mean_mae_4h
ETTh1,ETTh1__h1_timealign,h1_timealign_source_prior,H1,2021,2,1.1434824927994567,2420425,96ab1848e331e8cb2a064f3250a38ad6ca096428685a00aad2b6d4e0447e1c04,96ab1848e331e8cb2a064f3250a38ad6ca096428685a00aad2b6d4e0447e1c04,True,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h1/trials/ETTh1/ETTh1__h1_timealign/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/test_audit/h1/ETTh1/ETTh1__h1_timealign/seed2021,combined_checkpoint_manifest.csv,ISCF-BSCA-MAIN-v1-HPO,ISCF-BSCA-MAIN-v1-HPO-TEST-AUDIT,ISCF-BSCA-MAIN-v1-hpo-h1-h2-20260801,2026-08-01,True,0.3955753267365972,0.4203269004719188
ETTh2,ETTh2__h2_lr5e4,h2_lr5e4,H2,2021,1,0.4197374176019655,2570133,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h2/trials/ETTh2/ETTh2__h2_lr5e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/test_audit/h2/ETTh2/ETTh2__h2_lr5e4/seed2021,combined_checkpoint_manifest.csv,ISCF-BSCA-MAIN-v1-HPO-H2,ISCF-BSCA-MAIN-v1-HPO-TEST-AUDIT,ISCF-BSCA-MAIN-v1-hpo-h1-h2-20260801,2026-08-01,True,0.307331952101977,0.36511569091552243
ETTm1,ETTm1__h2_table5_capacity,h2_table5_capacity,H2,2021,26,0.6012380249348805,791381,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,True,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h2/trials/ETTm1/ETTm1__h2_table5_capacity/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/test_audit/h2/ETTm1/ETTm1__h2_table5_capacity/seed2021,combined_checkpoint_manifest.csv,ISCF-BSCA-MAIN-v1-HPO-H2,ISCF-BSCA-MAIN-v1-HPO-TEST-AUDIT,ISCF-BSCA-MAIN-v1-hpo-h1-h2-20260801,2026-08-01,True,0.3306989335260192,0.3638789644283464
ETTm2,ETTm2__h2_hybrid,h2_hybrid,H2,2021,2,0.18275839605184813,4644685,71cf01d570a7aca5e44c8bc233a5d49cbf0166ecabbef17db6764a5fac3130c4,71cf01d570a7aca5e44c8bc233a5d49cbf0166ecabbef17db6764a5fac3130c4,True,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h2/trials/ETTm2/ETTm2__h2_hybrid/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/test_audit/h2/ETTm2/ETTm2__h2_hybrid/seed2021,combined_checkpoint_manifest.csv,ISCF-BSCA-MAIN-v1-HPO-H2,ISCF-BSCA-MAIN-v1-HPO-TEST-AUDIT,ISCF-BSCA-MAIN-v1-hpo-h1-h2-20260801,2026-08-01,True,0.25084896672154805,0.3103888373577181
Weather,Weather__h1_timealign,h1_timealign_source_prior,H1,2021,4,0.48978661656340894,19115989,64821e0f7ae0ed5ae86a3f8e487a8e23edc41d0d17658ac6598a77ec2abc4bc1,64821e0f7ae0ed5ae86a3f8e487a8e23edc41d0d17658ac6598a77ec2abc4bc1,True,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h1/trials/Weather/Weather__h1_timealign/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/test_audit/h1/Weather/Weather__h1_timealign/seed2021,combined_checkpoint_manifest.csv,ISCF-BSCA-MAIN-v1-HPO,ISCF-BSCA-MAIN-v1-HPO-TEST-AUDIT,ISCF-BSCA-MAIN-v1-hpo-h1-h2-20260801,2026-08-01,True,0.21657432174247035,0.24903054986641573
ECL,ECL__h3a_budget45,h3a_budget45,H3A,2021,38,0.13061393059957366,5706565,55ccabb2b79a754e5b0eb7cf3819c6efa0303116ac3e606640f8c64578b01eb9,55ccabb2b79a754e5b0eb7cf3819c6efa0303116ac3e606640f8c64578b01eb9,True,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/ecl_solar_h3a/trials/ECL/ECL__h3a_budget45/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/ecl_solar_h3a/test_audit/ECL/ECL__h3a_budget45/seed2021,h3a_checkpoint_manifest.csv,ISCF-BSCA-MAIN-v1-HPO-ECL-SOLAR-H3A,ISCF-BSCA-MAIN-v1-HPO-ECL-SOLAR-H3A-TEST-AUDIT,ISCF-BSCA-MAIN-v1-ecl-solar-h3a-test-informed-20260801,2026-08-01,True,0.1506688540584791,0.2451696807094894
Solar,Solar__h3b_lr3e4_rank64,h3b_lr3e4_rank64,H3B,2021,12,0.13382428071807168,1066565,4f62575e200b28faffa290e1b3f6f757c6011e8bec74d7df7b0eee2544d9e71f,4f62575e200b28faffa290e1b3f6f757c6011e8bec74d7df7b0eee2544d9e71f,True,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/solar_h3b/trials/Solar/Solar__h3b_lr3e4_rank64/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/solar_h3b/test_audit/Solar/Solar__h3b_lr3e4_rank64/seed2021,h3b_checkpoint_manifest.csv,ISCF-BSCA-MAIN-v1-HPO-SOLAR-H3B,ISCF-BSCA-MAIN-v1-HPO-SOLAR-H3B-TEST-AUDIT,ISCF-BSCA-MAIN-v1-solar-h3b-test-informed-20260801,2026-08-02,True,0.19185549780934363,0.22051819461646657
Exchange,Exchange__h2_lookback336,h2_lookback336,H2,2021,4,0.7142016496495108,5312645,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h2/trials/Exchange/Exchange__h2_lookback336/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/test_audit/h2/Exchange/Exchange__h2_lookback336/seed2021,combined_checkpoint_manifest.csv,ISCF-BSCA-MAIN-v1-HPO-H2,ISCF-BSCA-MAIN-v1-HPO-TEST-AUDIT,ISCF-BSCA-MAIN-v1-hpo-h1-h2-20260801,2026-08-01,True,0.3988360663675046,0.4250812028971426
