dataset,checkpoint_seed,best_dense_arm,rank256_mse,full_affine_mse,best_dense_mse,true_scale_mse,random_median_mse,random_group_median_mse,random_basis_median_mse,full_vs_rank256_improvement,dense_vs_full_improvement,true_vs_dense_improvement,true_vs_random_median_improvement,true_vs_random_group_median_improvement,true_vs_random_basis_median_improvement,true_vs_dense_mae_improvement,random_controls_beaten,random_group_controls_beaten,random_basis_controls_beaten
ETTh1,2021,dense_nonlinear_param_matched,1.6217268686445931,1.5629193987165177,1.7382286919487848,1.6354688371930803,1.6801922752743677,1.6241753472222222,1.715125771174355,0.03626225295090874,-0.11216784011781573,0.0591175690699807,0.026618047671945273,-0.006953368668089328,0.046443785826116545,0.031571974490691684,4,1,3
ETTh1,2022,dense_nonlinear_param_matched,1.596792747860863,1.5458671448722718,1.753865753658234,1.601011197529142,1.622992669968378,1.5929656013609872,1.677522447374132,0.03189243128565899,-0.13455141308611498,0.08715293961939008,0.01354379033619695,-0.005050703016613013,0.045609672743726924,0.04033272166744392,3,0,3
ETTh1,2023,dense_nonlinear_units_h352,1.6251926482669892,1.5585635230654762,1.7085400778149802,1.6062200637090773,1.6175784398639013,1.5997464618985615,1.6361950102306548,0.04099767819683556,-0.09622742514499577,0.05988739476147261,0.007021839482343495,-0.004046642367836849,0.018319910728337895,0.0262082224604618,3,0,3
ETTh2,2021,dense_nonlinear_param_matched,0.7101822868226066,0.7062062096974207,0.8723050314282614,0.7490493047805059,0.7575630309089781,0.7405756390283978,0.7792450919983879,0.005598671212957417,-0.23519875561842918,0.1412988830821528,0.011238307284156748,-0.01144199904175235,0.038750051207180954,0.08205297964900589,3,0,3
ETTh2,2022,dense_nonlinear_param_matched,0.6878111824156746,0.6998716081891742,0.8332452683221726,0.7441474309043279,0.7538414606972346,0.7429675874255952,0.7644168672107515,-0.0175345008656909,-0.19056875371482104,0.1069287049145237,0.012859507334527056,-0.001588014738059935,0.026516207550971407,0.059884190624906956,3,0,3
ETTh2,2023,dense_nonlinear_param_matched,0.7267892020089286,0.7153065030536955,0.8544980972532242,0.7461430140904017,0.7738940042162699,0.7333725702194941,0.8181077260819692,0.015799215127981586,-0.19459014227510826,0.12680552889600205,0.035858903124558805,-0.017413309945701304,0.08796483604453467,0.07147599143840457,3,0,3
ETTm1,2021,dense_nonlinear_param_matched,1.0075033520895338,1.0191147577194941,1.0069910443018353,1.0184980119977678,1.0208183167472717,1.014073253813244,1.021169704861111,-0.011524930022196546,0.011896318177933617,-0.011427080470125231,0.0022729850272449623,-0.004363351629564521,0.0026163064284272022,-0.005194553587073745,4,1,3
ETTm1,2022,dense_nonlinear_param_matched,1.0147229391431052,1.0219154963417658,1.0137269035218255,1.01863771468874,1.0238902985103548,1.0205750480530753,1.02501705109127,-0.007088198089553856,0.008012984292002328,-0.004844313739581804,0.005130025969829759,0.0018982762394898112,0.006223639300183637,-0.002711064161418239,5,2,3
ETTm1,2023,dense_nonlinear_param_matched,1.0229593428354415,1.0295668344649058,1.0138847229972718,1.0218433198474703,1.0297830975244915,1.0204926021515377,1.0314669654482886,-0.006459192807359885,0.01523175664043647,-0.007849607228197601,0.007710145656990947,-0.0013235938144822257,0.00933005701897175,-0.0016033793714583958,4,1,3
ETTm2,2021,dense_nonlinear_param_matched,0.3282767765105717,0.3133201962425595,0.32820555671812995,0.3069621373736669,0.3193923586890811,0.31088479662698415,0.3262816656203497,0.045560884406730215,-0.047508461484706846,0.06472595880729516,0.03891834283836033,0.012617726231314757,0.05921119781570063,0.04614973849604248,6,3,3
ETTm2,2022,dense_nonlinear_units_h352,0.31381617954799107,0.31340118892609126,0.31456206790984625,0.3107876247829861,0.3204671102856833,0.3146144079783606,0.32265723092215404,0.0013224003379862382,-0.0037041307588299094,0.01199904092677159,0.030204302382445238,0.012163407327606254,0.03678704520349539,0.025145273372614994,6,3,3
ETTm2,2023,dense_nonlinear_param_matched,0.3179382808624752,0.3190142313639323,0.3177832225012401,0.307641117156498,0.31910354977562316,0.3156552027142237,0.3221073695591518,-0.003384148956641351,0.0038587898020383004,0.031915169293440286,0.03592073051893325,0.025388732670378954,0.044911274220310035,0.035818238717562505,6,3,3
Weather,2021,dense_nonlinear_param_matched,0.5944586294668692,0.6003674179157883,0.5997742768948671,0.5954286444124091,0.6008934787972264,0.5988687787737165,0.6028524550180586,-0.009939780761898049,0.000987963375794698,0.007245446578596336,0.009094514381743692,0.00574438755740725,0.012314473539677595,0.01470752682808525,6,3,3
Weather,2022,dense_nonlinear_units_h352,0.5949767884753999,0.6004376688962261,0.5976190355088976,0.5971696258221985,0.602074114481608,0.5985292081479673,0.6053041649873925,-0.009178308341774815,0.004694298065126236,0.0007520002878028518,0.008145988245371298,0.0022715388109058048,0.013438762915770537,0.004252911945154925,6,3,3
Weather,2023,dense_nonlinear_param_matched,0.5916531840329448,0.5979398878793868,0.5984727587018694,0.5958898211282397,0.6014285455935846,0.599673276225095,0.6025666635503214,-0.010625657084424601,-0.0008911779148444166,0.004315881610438351,0.009209280979303005,0.006309194100947604,0.011080670116633608,0.009393676955740867,6,3,3
