dataset,seed_count,mean_full_vs_rank256_improvement,std_full_vs_rank256_improvement,positive_seeds_full_vs_rank256_improvement,mean_dense_vs_full_improvement,std_dense_vs_full_improvement,positive_seeds_dense_vs_full_improvement,mean_true_vs_dense_improvement,std_true_vs_dense_improvement,positive_seeds_true_vs_dense_improvement,mean_true_vs_random_median_improvement,std_true_vs_random_median_improvement,positive_seeds_true_vs_random_median_improvement,mean_true_vs_random_group_median_improvement,std_true_vs_random_group_median_improvement,positive_seeds_true_vs_random_group_median_improvement,mean_true_vs_random_basis_median_improvement,std_true_vs_random_basis_median_improvement,positive_seeds_true_vs_random_basis_median_improvement,mean_true_vs_dense_mae_improvement,std_true_vs_dense_mae_improvement,positive_seeds_true_vs_dense_mae_improvement,mean_random_controls_beaten,mean_random_group_controls_beaten,mean_random_basis_controls_beaten
ETTh1,3,0.03638412081113443,0.004553846633329849,3,-0.11431555944964217,0.019252052791169788,0,0.06871930115028113,0.015968638899611334,3,0.01572789249682857,0.009979006490558603,3,-0.005350238017513063,0.0014763317238066828,0,0.03679112309939379,0.016001974909399138,3,0.03270430620619914,0.007130007068542617,3,3.3333333333333335,0.3333333333333333,3.0
ETTh2,3,0.0012877951584160344,0.017079868112925167,2,-0.20678588386945285,0.024688283704138607,0,0.1250110389642262,0.017255214643842467,3,0.01998557258108087,0.013770586019037545,3,-0.010147774575171195,0.007991636555153905,0,0.05107703160089568,0.032526132880427994,3,0.07113772057077246,0.01108826506193231,3,3.0,0.0,3.0
ETTm1,3,-0.008357440306370095,0.0027610967451642695,0,0.011713686370124139,0.0036128498913665322,3,-0.008040333812634878,0.003295525288887294,0,0.005037718884688556,0.0027197553891646926,3,-0.0012628897348523117,0.0031312552804893218,1,0.0060566675825275305,0.0033599883056168647,3,-0.0031696657066501263,0.0018389860235172902,0,4.333333333333333,1.3333333333333333,3.0
ETTm2,3,0.014499711929358367,0.027002504111979533,2,-0.01578460081383282,0.02773268727965741,1,0.03621338967583568,0.02662495053773055,3,0.03501445857991294,0.004427146020567081,3,0.016723288743099987,0.007507931823024144,3,0.04696983907983535,0.011352925704615623,3,0.035704416862073325,0.010502695146552178,3,6.0,3.0,3.0
Weather,3,-0.009914582062699155,0.0007240033332405775,0,0.001597027842025506,0.0028421127922244826,2,0.004104442825612512,0.0032518826781806538,3,0.008816594535472665,0.0005835901303324746,3,0.004775040156420219,0.0021864104939719954,3,0.01227796885736058,0.0011794701591005426,3,0.009451371909660347,0.005227546233021559,3,6.0,3.0,3.0
