dataset,prefix_horizon,uniform_h720_prefix_mse,r3_h720_prefix_mse,fixed_h720_prefix_mse,r3_vs_uniform_mse_pct,uniform_vs_fixed_mse_pct,r3_vs_fixed_mse_pct,r3_improves_uniform,r3_improves_fixed
ETTh2,96,0.25483044555100304,0.24975198095974824,0.2543378472328186,-1.9928798461557373,0.19367873226256993,-1.8030608983147123,True,True
ETTh2,192,0.295808988972567,0.29393559504145134,0.29775410890579224,-0.6333120361293076,-0.6532638425623349,-1.2824386801490117,True,True
ETTh2,336,0.32599498147499706,0.32639347706433564,0.3223787248134613,0.1222397926297969,1.121741722760472,1.24535273014601,False,False
ETTh2,720,0.4134069319504003,0.41047340199972193,0.4074031412601471,-0.7095986361037365,1.4736731463784958,0.7536173457274087,True,False
ETTm1,96,0.2926091851356129,0.28417393770844984,0.29211053252220154,-2.882769186911771,0.1707068242646992,-2.7169834463769194,True,True
ETTm1,192,0.3249520930306365,0.31811136948332813,0.3252318203449249,-2.1051483261760096,-0.08600859349856549,-2.1893463112081735,True,True
ETTm1,336,0.3603363936057403,0.355628301045813,0.3618141710758209,-1.3065825832398903,-0.4084354865611206,-1.7096815228698214,True,True
ETTm1,720,0.4194724186220103,0.417292797136017,0.412788063287735,-0.5196102030148864,1.6193189505133487,1.0912946010122493,True,False
Weather,96,0.1493160316022113,0.14746256669362387,0.15367551147937775,-1.2413033541670782,-2.8368084382471515,-4.042898394118966,True,True
Weather,192,0.19172634485100085,0.19007494168666503,0.19544166326522827,-0.8613334623466584,-1.9009858758649023,-2.745945510748249,True,True
Weather,336,0.2447654519207953,0.24279689136892557,0.24744020402431488,-0.8042640562307524,-1.080969082638139,-1.876539293078272,True,True
Weather,720,0.3236587011720985,0.320846995856199,0.32312721014022827,-0.8687253905787617,0.1644835269798417,-0.7056707737611134,True,True
