dataset,horizon,uniform_mse,r3_mse,fixed_mse,r3_vs_uniform_mse_pct,uniform_vs_fixed_mse_pct,r3_vs_fixed_mse_pct,r3_improves_uniform,r3_improves_fixed
ETTh2,96,0.3089098036289215,0.30479592084884644,0.3074484169483185,-1.3317423829697805,0.47532743707334735,-0.8627450828338268,True,True
ETTh2,192,0.3691662549972534,0.3690433204174042,0.37734004855155945,-0.03330060052486594,-2.166161155085866,-2.1987404109377495,True,True
ETTh2,336,0.38080111145973206,0.3829101622104645,0.3841150403022766,0.5538457444747902,-0.8627438383919217,-0.313676363951787,False,True
ETTh2,720,0.41340693831443787,0.41047340631484985,0.4074031412601471,-0.7095991207957786,1.473674708476791,0.7536184049062644,True,False
ETTm1,96,0.30681994557380676,0.2986849546432495,0.29047533869743347,-2.6513892098323,5.626848375379034,2.826269514868307,True,False
ETTm1,192,0.3365926444530487,0.32966214418411255,0.3377011716365814,-2.05901714822021,-0.3282568367058092,-2.380515120368043,True,True
ETTm1,336,0.3652816712856293,0.36072883009910583,0.361540287733078,-1.2463919064155227,1.0348455426670178,-0.22444459483620394,True,True
ETTm1,720,0.4194723963737488,0.41729286313056946,0.412788063287735,-0.5195891939543396,1.6193135607592613,1.0913105885269836,True,False
Weather,96,0.15020199120044708,0.14802636206150055,0.14708691835403442,-1.4484689061432743,2.1178449322833526,0.6386997008156259,True,False
Weather,192,0.19452537596225739,0.19240911304950714,0.19520847499370575,-1.0879109742272686,-0.3499330812713919,-1.4340370951050563,True,True
Weather,336,0.24724797904491425,0.24479345977306366,0.25078684091567993,-0.9927358279457232,-1.4111034924498056,-2.389830790456582,True,True
Weather,720,0.32365867495536804,0.3208470046520233,0.32312721014022827,-0.868714643206292,0.1644754135404325,-0.7056680516677627,True,True
