dataset,trace_rows,mean_learnable_blocks,mean_noisy_blocks,mean_ambiguous_blocks,mean_noisy_suppression_ratio,mean_adapter_active_steps,mean_adapter_abs_residual,last_adapter_abs_residual,mean_unit_loss,mean_time_loss
ETTh2,649,1.1694915254237288,1.4422187981510015,1.3882896764252697,0.3605546995377504,56.13559322033898,0.030438931714829476,0.035329073667526245,0.9393926225660028,0.6798365663031033
Weather,2000,1.4405,1.866,0.6935,0.4665,69.144,0.044936204025754704,0.03692231699824333,0.5947730708569289,0.5793095106780529
