model,strategy,dataset,horizon,segment,segment_start,segment_end,future_region,mse,mae,baseline_model,baseline_strategy,baseline_mse,baseline_mae,relative_mse_pct,relative_mae_pct,mse_win,mae_win
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,96,1-96,1,96,early_1_96,0.31100204586982727,0.36724233627319336,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3393581807613373,0.3825231194496155,-8.355812972563115,-3.994734540073952,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,192,1-96,1,96,early_1_96,0.3047829568386078,0.3616914451122284,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3345992863178253,0.37814587354660034,-8.911055910291433,-4.351344173095728,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,192,97-192,97,192,middle_97_336,0.4232339560985565,0.43639492988586426,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.44287991523742676,0.44843849539756775,-4.435956218140557,-2.6856671840864488,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,336,1-96,1,96,early_1_96,0.28161874413490295,0.3470914959907532,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.29967692494392395,0.3584127724170685,-6.025882977943686,-3.15872572005923,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,336,97-192,97,192,middle_97_336,0.38799986243247986,0.41495755314826965,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3950093984603882,0.4228722155094147,-1.7745238607559943,-1.8716439791653383,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,336,193-336,193,336,middle_97_336,0.45400500297546387,0.46421322226524353,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.4574902653694153,0.47024375200271606,-0.7618221977110595,-1.2824263399118352,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,720,1-96,1,96,early_1_96,0.26109686493873596,0.33304473757743835,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.2677626609802246,0.3334573209285736,-2.48944196217894,-0.12372898276347133,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,720,97-192,97,192,middle_97_336,0.3429791033267975,0.3886583745479584,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.34515154361724854,0.39188912510871887,-0.629416362355939,-0.8244042393021789,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,720,193-336,193,336,middle_97_336,0.37014567852020264,0.4185371696949005,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.3720743954181671,0.42428138852119446,-0.5183686170602608,-1.3538700922788638,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,720,337-720,337,720,late_337_720,0.4703536629676819,0.48544687032699585,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.49324503540992737,0.5007806420326233,-4.6409737146610786,-3.0619737303321126,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,96,1-96,1,96,early_1_96,0.15641877055168152,0.20749104022979736,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.15470075607299805,0.204793781042099,1.1105404539023755,1.3170610816272355,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,192,1-96,1,96,early_1_96,0.1573832482099533,0.20814691483974457,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.15561041235923767,0.20537154376506805,1.139278422206691,1.3513902772486208,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,192,97-192,97,192,middle_97_336,0.24255293607711792,0.28480884432792664,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.24580314755439758,0.2872154414653778,-1.3222822854863425,-0.8379065990229084,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,336,1-96,1,96,early_1_96,0.15852102637290955,0.2087767869234085,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.1569167673587799,0.20621000230312347,1.0223630279494689,1.2447430248858193,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,336,97-192,97,192,middle_97_336,0.24407002329826355,0.2859802842140198,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.24739544093608856,0.2884344458580017,-1.3441709456093354,-0.8508559498438428,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,336,193-336,193,336,middle_97_336,0.32577893137931824,0.33746612071990967,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.32984283566474915,0.3398382067680359,-1.2320729286845689,-0.6980045212354069,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,720,1-96,1,96,early_1_96,0.15524649620056152,0.20779652893543243,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.15296243131160736,0.20479021966457367,1.4932195241465385,1.4679945535400973,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,720,97-192,97,192,middle_97_336,0.23854684829711914,0.28524482250213623,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.24120700359344482,0.2874808609485626,-1.1028515991224674,-0.7778042820132169,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,720,193-336,193,336,middle_97_336,0.32391512393951416,0.3387098014354706,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.32862523198127747,0.34143078327178955,-1.4332764448323432,-0.7969351240813549,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,720,337-720,337,720,late_337_720,0.4049282371997833,0.38508614897727966,PatchEncoderFullTimeMSE720,D0_full_time_mse,0.4128761291503906,0.38973480463027954,-1.9250064097826036,-1.1927740601483605,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,96,1-96,1,96,early_1_96,0.31100204586982727,0.36724233627319336,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.30479592084884644,0.35886070132255554,2.0361575062084025,2.335623521814423,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,192,1-96,1,96,early_1_96,0.3047829568386078,0.3616914451122284,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.30273088812828064,0.35670754313468933,0.677852439509774,1.3971955663570457,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,192,97-192,97,192,middle_97_336,0.4232339560985565,0.43639492988586426,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.4353557229042053,0.4440152645111084,-2.7843361572890246,-1.7162325789935706,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,336,1-96,1,96,early_1_96,0.28161874413490295,0.3470914959907532,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.27497684955596924,0.3399970233440399,2.415437732179626,2.086627870131208,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,336,97-192,97,192,middle_97_336,0.38799986243247986,0.41495755314826965,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.3836177885532379,0.4158962666988373,1.1423020542838502,-0.2257085782516488,False,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,336,193-336,193,336,middle_97_336,0.45400500297546387,0.46421322226524353,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.4543939232826233,0.4657894968986511,-0.0855910009424865,-0.3384092264644978,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,720,1-96,1,96,early_1_96,0.26109686493873596,0.33304473757743835,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.2497519701719284,0.3200547695159912,4.54246457355183,4.058670358542527,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,720,97-192,97,192,middle_97_336,0.3429791033267975,0.3886583745479584,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.33811911940574646,0.386177659034729,1.4373585053671478,0.6423767546341441,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,720,193-336,193,336,middle_97_336,0.37014567852020264,0.4185371696949005,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.36967068910598755,0.41950738430023193,0.1284898771292342,-0.23127473833381984,False,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,ETTh2,720,337-720,337,720,late_337_720,0.4703536629676819,0.48544687032699585,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.4840433597564697,0.4898116886615753,-2.828196382174386,-0.8911217179211173,True,True
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,96,1-96,1,96,early_1_96,0.15641877055168152,0.20749104022979736,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.14802636206150055,0.19702932238578796,5.669536407774567,5.309726348002708,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,192,1-96,1,96,early_1_96,0.1573832482099533,0.20814691483974457,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.14898328483104706,0.1976671665906906,5.638191820265037,5.301714204642982,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,192,97-192,97,192,middle_97_336,0.24255293607711792,0.28480884432792664,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.23583491146564484,0.2821427881717682,2.8486132819447896,0.944931526846382,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,336,1-96,1,96,early_1_96,0.15852102637290955,0.2087767869234085,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.15019100904464722,0.19839726388454437,5.546282284970916,5.2316865846014915,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,336,97-192,97,192,middle_97_336,0.24407002329826355,0.2859802842140198,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.23710891604423523,0.28319600224494934,2.9358268639419816,0.9831642915150374,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,336,193-336,193,336,middle_97_336,0.32577893137931824,0.33746612071990967,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.31298476457595825,0.33328187465667725,4.087792203142526,1.2554676330786663,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,720,1-96,1,96,early_1_96,0.15524649620056152,0.20779652893543243,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.14746259152889252,0.1975940763950348,5.278562238033024,5.1633392693415825,False,False
PatchEncoderDynamicResidualStabilityRouting,RG-B_dynamic_residual_stability,Weather,720,97-192,97,192,middle_97_336,0.23854684829711914,0.28524482250213623,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.2326873242855072,0.2828315794467926,2.518196480880208,0.853243849241947,False,False
