arm,dataset,policy_best_arm_match_rate,policy_skill_centered_alignment,policy_expected_arm_mse,uniform_expected_arm_mse,oracle_expected_arm_mse,policy_allocation_gain_over_uniform_percent,oracle_allocation_gain_over_policy_percent
siff_equal,ETTh1,0.3242381172737489,0.18423655263182334,0.45486254554828603,0.4605806471676564,0.4120715764974739,1.241498455163903,9.407450551733687
siff_equal,ETTh2,0.2979440735109407,0.09328775983714488,0.36309601093623156,0.3645465462925235,0.33539013697937115,0.397901275171586,7.630453963242867
siff_equal,ETTm1,0.24957345219357996,-0.06862884756717313,0.3940654185938704,0.39295790881824916,0.35883678779126876,-0.28183928883169784,8.93979251676199
siff_equal,ETTm2,0.2896292671313503,-0.08736234949017492,0.31241904097937556,0.30918818742149595,0.2777187514182327,-1.0449472810794003,11.106970129721894
siff_equal,Weather,0.3007443506934342,0.017010137989996565,0.26244876026580577,0.262627921905499,0.24271657601394087,0.06821880872122099,7.518490173807768
siff_independent_equal,ETTh1,0.17385304422555695,-0.08439406273110198,0.4674867488902945,0.46718393570718514,0.41234776007473617,-0.06481669423221703,11.794770428561996
siff_independent_equal,ETTh2,0.20561743901632842,0.014573209810678878,0.35990704894948594,0.36024824286978646,0.32808144009222606,0.09471077987293075,8.842730074377258
siff_independent_equal,ETTm1,0.23501130847672835,0.012367573000882936,0.3954550830019898,0.39543575840670425,0.354615911674349,-0.004886911432433472,10.327132734676535
siff_independent_equal,ETTm2,0.29144457523774253,0.06102852584468879,0.30840393124610005,0.3092168796816073,0.2767230250046164,0.26290558146254694,10.27253644708016
siff_independent_equal,Weather,0.3181020269614974,0.05895989781500687,0.2656617278657804,0.2634940118165771,0.23248574355737753,-0.8226813331576821,12.488055609261227
