dataset,arm,settings,wins_vs_full,mean_relative_mse_vs_full_pct,wins_vs_multi_prefix,mean_relative_mse_vs_multi_prefix_pct,wins_vs_h0b_stochastic_k2,mean_relative_mse_vs_h0b_stochastic_k2_pct,wins_vs_fixed,mean_relative_mse_vs_fixed_pct
ETTh2,prefix_conditioned_stochastic_k2,4,4,-4.673149847449734,4,-1.3642301415952045,4,-1.3428024475261564,4,-12.249674120024359
ETTh2,target_set_decoder_multiprefix,4,4,-5.115957090990397,4,-1.8254036904221949,4,-1.8048775161220303,4,-12.650195093360013
ETTm2,prefix_conditioned_stochastic_k2,4,4,-1.6279545391322037,1,-0.05710440565677988,1,-0.073613209732723,1,2.0001234448581124
ETTm2,target_set_decoder_multiprefix,4,4,-1.8027849600267487,3,-0.23608431092085602,3,-0.25264212186821566,1,1.813624578695383
Weather,prefix_conditioned_stochastic_k2,4,4,-1.0418618700809845,0,0.13104190337013266,0,0.11343391309392437,2,-0.0038456423765570458
Weather,target_set_decoder_multiprefix,4,4,-1.1523911964103046,2,0.01923586369659558,2,0.0016475703850965528,2,-0.11521730764020577
ALL,prefix_conditioned_stochastic_k2,12,12,-2.4476554188876407,5,-0.4300975479606173,5,-0.43432724805498496,7,-3.4177987725142684
ALL,target_set_decoder_multiprefix,12,12,-2.6903777491424834,9,-0.6807507125488187,9,-0.6852906892017167,7,-3.650595940768279
