dataset,arm,epoch,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,pred_loss_mode,prefix_samples,val_mean_mse,lr,epoch_seconds
ETTh2,prefix_conditioned_stochastic_k2,1,0.7505592482279887,0.4407558762921696,0.5384538058949783,0.21562892475486856,0.9417444712820306,stochastic-prefix,2,0.40602218732237816,0.0005,9.539402484893799
ETTh2,prefix_conditioned_stochastic_k2,2,0.6436843484376384,0.42019258188990366,0.5154582491490693,0.13121188155053992,0.9227988387631104,stochastic-prefix,2,0.40147826448082924,0.0004877641290737884,10.451835870742798
ETTh2,prefix_conditioned_stochastic_k2,3,0.5938477146942004,0.4032161251633568,0.5075140938294672,0.0989085166855196,0.9172307358378857,stochastic-prefix,2,0.4100929908454418,0.0004522542485937369,10.403813600540161
ETTh2,prefix_conditioned_stochastic_k2,4,0.5695253523577631,0.40237291249553714,0.5016285893136421,0.07580882609220205,0.9134361343046206,stochastic-prefix,2,0.4183226525783539,0.0003969463130731183,10.143760919570923
ETTh2,prefix_conditioned_stochastic_k2,5,0.5469718680972546,0.4008481688467802,0.495405252792139,0.055031317030697795,0.9109238161977413,stochastic-prefix,2,0.42109285295009613,0.00032725424859373687,10.126300573348999
ETTh2,prefix_conditioned_stochastic_k2,6,0.5331754833459854,0.4037237348018494,0.4962948617418255,0.03853516704279237,0.909165797244131,stochastic-prefix,2,0.4366981200873852,0.00025,10.198264837265015
ETTh2,prefix_conditioned_stochastic_k2,7,0.5128759558485673,0.3930660742046559,0.4864131590697618,0.029061824511901466,0.9074805563530036,stochastic-prefix,2,0.43576278910040855,0.00017274575140626317,10.114032745361328
ETTh2,prefix_conditioned_stochastic_k2,8,0.507053540739338,0.3940700560280707,0.4874099214783812,0.022394188259423308,0.9058929560458766,stochastic-prefix,2,0.4298138841986656,0.00010305368692688174,10.515435695648193
ETTh2,prefix_conditioned_stochastic_k2,9,0.4957422023325895,0.3857536119433631,0.48217216318687506,0.019507514700227605,0.9048107516976585,stochastic-prefix,2,0.4357958845794201,4.7745751406263163e-05,10.40517520904541
ETTh2,prefix_conditioned_stochastic_k2,10,0.4974371761874815,0.3891593166420945,0.47990034230514966,0.017841458423640086,0.9043640045993095,stochastic-prefix,2,0.4333885982632637,1.2235870926211617e-05,10.202343225479126
ETTh2,target_set_decoder_multiprefix,1,0.7487507953053028,0.43930294041612505,0.5351229899488719,0.21527886806072388,0.9416898518009523,multi-prefix,1,0.40653469040989876,0.0005,12.217254638671875
ETTh2,target_set_decoder_multiprefix,2,0.6381658171921705,0.4152344796246132,0.5124774435452656,0.13068991302784566,0.9224142611554239,multi-prefix,1,0.4031967483460903,0.0004877641290737884,11.978458166122437
ETTh2,target_set_decoder_multiprefix,3,0.5979662818455063,0.4080694936281812,0.5035815051699106,0.09821784163338948,0.916789475795442,multi-prefix,1,0.41820868104696274,0.0004522542485937369,12.403834581375122
ETTh2,target_set_decoder_multiprefix,4,0.5682827231630815,0.40227238398737614,0.49615843765503537,0.07470423360643662,0.9130610475497963,multi-prefix,1,0.4221048131585121,0.0003969463130731183,12.357893943786621
ETTh2,target_set_decoder_multiprefix,5,0.5420156936202429,0.3974387399126998,0.48953042752974857,0.05350880689127783,0.9106814695143066,multi-prefix,1,0.4201151803135872,0.00032725424859373687,12.025643587112427
ETTh2,target_set_decoder_multiprefix,6,0.5269977100918778,0.39919097985314056,0.4898044842798098,0.03691961670673526,0.9088711092429879,multi-prefix,1,0.4529101364314556,0.00025,12.037034034729004
ETTh2,target_set_decoder_multiprefix,7,0.507759994505781,0.38950389584081363,0.47957687818371086,0.027553080441018122,0.907030167305364,multi-prefix,1,0.44527531787753105,0.00017274575140626317,12.660168886184692
ETTh2,target_set_decoder_multiprefix,8,0.5003158959139765,0.388662458916681,0.4808027855062907,0.02111909701694957,0.9053433693088262,multi-prefix,1,0.43062107637524605,0.00010305368692688174,12.667375087738037
ETTh2,target_set_decoder_multiprefix,9,0.4950717481891666,0.38637402165780027,0.47512752569354744,0.018273742564550017,0.9042398307175763,multi-prefix,1,0.44543564692139626,4.7745751406263163e-05,12.089123725891113
ETTh2,target_set_decoder_multiprefix,10,0.49093650096813135,0.3837627326756452,0.47276567436952505,0.016795590878423073,0.9037817518795486,multi-prefix,1,0.44248610734939575,1.2235870926211617e-05,11.881689310073853
ETTm2,prefix_conditioned_stochastic_k2,1,1.405863037901035,0.3318629637360573,0.3972618907948949,0.13638096310658573,0.9376191126909035,stochastic-prefix,2,0.1805050577968359,0.0001,37.27847146987915
ETTm2,prefix_conditioned_stochastic_k2,2,1.287761572360072,0.3165789051664612,0.384614821883012,0.07611027180889629,0.8950723932631688,stochastic-prefix,2,0.1812611110508442,9.755282581475769e-05,38.26621222496033
ETTm2,prefix_conditioned_stochastic_k2,3,1.2569778187624736,0.3136162346365599,0.381315254595519,0.05801846738545131,0.8853431169130628,stochastic-prefix,2,0.18126567266881466,9.045084971874738e-05,36.15940070152283
