dataset,arm,target_horizon,mse,mae,source_path,relative_mse_vs_full_pct,beats_full,relative_mse_vs_multi_prefix_pct,beats_multi_prefix,relative_mse_vs_h0b_stochastic_k2_pct,beats_h0b_stochastic_k2,fixed_mse,relative_mse_vs_fixed_pct,beats_fixed
ETTh2,prefix_conditioned_stochastic_k2,96,0.24025189876556396,0.31104761362075806,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.5555296344981335,True,-1.0386167751211262,True,-1.2287540089939708,True,0.2697129249572754,-10.923105074174067,True
ETTh2,prefix_conditioned_stochastic_k2,192,0.278606116771698,0.3407895565032959,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-5.864020223919186,True,-1.5724246500458672,True,-1.5283614186702876,True,0.33459872007369995,-16.734255077146987,True
ETTh2,prefix_conditioned_stochastic_k2,336,0.307037889957428,0.3671427369117737,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-6.0313349219636825,True,-1.8583455988785191,True,-1.5993794040383813,True,0.37489190697669983,-18.09962171935845,True
ETTh2,prefix_conditioned_stochastic_k2,720,0.3901798129081726,0.4265972971916199,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.241714609417934,True,-0.987533542335306,True,-1.0147149584019854,True,0.40325209498405457,-3.241714609417934,True
ETTh2,target_set_decoder_multiprefix,96,0.24098174273967743,0.3125793933868408,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.262547910339064,True,-0.7379891023005625,True,-0.928703940409259,True,0.2697129249572754,-10.652504777866767,True
ETTh2,target_set_decoder_multiprefix,192,0.2772313058376312,0.3410320580005646,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-6.328544031884597,True,-2.0581257838644174,True,-2.0142799870986328,True,0.33459872007369995,-17.14513857776646,True
ETTh2,target_set_decoder_multiprefix,336,0.30352982878685,0.36583882570266724,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-7.104973831014993,True,-2.979662994163501,True,-2.723655617379128,True,0.37489190697669983,-19.035374427083894,True
ETTh2,target_set_decoder_multiprefix,720,0.38805851340293884,0.4260466992855072,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.767762590722934,True,-1.5258368813602985,True,-1.5528705196011017,True,0.40325209498405457,-3.767762590722934,True
ETTm2,prefix_conditioned_stochastic_k2,96,0.16186383366584778,0.2467511147260666,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.430788021806108,True,-0.5610144911350257,True,-0.5140026853210355,True,0.15492716431617737,4.477374500648557,False
ETTm2,prefix_conditioned_stochastic_k2,192,0.21613439917564392,0.2837411165237427,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.5419280590151074,True,0.007515456328865966,False,0.01074262275548854,False,0.21023891866207123,2.804181333832312,False
