epoch,train_loss,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.7743998653757773,0.5270421206951141,286,277,295,271,0.40840038657188416,0.2812544107437134,0.47324642539024353,0.3290201425552368,0.5553606152534485,0.38294363021850586,0.6711610555648804,0.45046019554138184
2,0.6878913064991298,0.5534681603312492,283,252,273,321,0.441805362701416,0.2917829155921936,0.4997704327106476,0.3387307822704315,0.580071210861206,0.39122992753982544,0.6922256350517273,0.4561986029148102
3,0.652757233439345,0.5503758415579796,269,308,274,278,0.4392680823802948,0.2961636781692505,0.4996024966239929,0.34445151686668396,0.5788928270339966,0.39619264006614685,0.683739960193634,0.4587341248989105
4,0.6178703958265965,0.5689138472080231,261,307,286,275,0.4527236223220825,0.30591604113578796,0.5210928916931152,0.35641178488731384,0.601374626159668,0.4071108102798462,0.7004642486572266,0.4666285216808319
5,0.5930452392732707,0.5868368446826935,282,288,287,272,0.4711318612098694,0.31154704093933105,0.5404579639434814,0.3638575077056885,0.6203967928886414,0.41429343819618225,0.7153607606887817,0.47133567929267883
6,0.56197287576509,0.5884668976068497,260,302,282,285,0.4676077365875244,0.31278324127197266,0.5404658913612366,0.3668689727783203,0.6246662139892578,0.41909271478652954,0.7211277484893799,0.47628024220466614
7,0.5448528130673221,0.6075158268213272,267,287,289,286,0.485267698764801,0.3193318247795105,0.560405433177948,0.3749966323375702,0.6475842595100403,0.42807283997535706,0.7368059158325195,0.4829857051372528
8,0.5361441107214394,0.6041373535990715,287,284,269,289,0.47817954421043396,0.31651073694229126,0.5547792315483093,0.37245699763298035,0.6459403038024902,0.42765551805496216,0.7376503348350525,0.48355767130851746
9,0.523241231249327,0.6071222051978111,276,303,279,271,0.48120924830436707,0.3175524175167084,0.5588566660881042,0.37390944361686707,0.6492231488227844,0.42913827300071716,0.7391997575759888,0.48379993438720703
10,0.5173835586772966,0.6093773618340492,311,285,277,256,0.4848346412181854,0.31743836402893066,0.5617533922195435,0.3738405406475067,0.651521623134613,0.4296219050884247,0.739399790763855,0.484399676322937
11,0.505289421580976,0.616693802177906,294,282,281,272,0.47820618748664856,0.3199189305305481,0.5678698420524597,0.3800295889377594,0.6661722660064697,0.43699419498443604,0.7545269131660461,0.49140986800193787
