dataset,batch_idx,unit_size,unit_count,loss_mean,mean_demand_cosine,mean_sensitivity_cosine,delta_cosine,mean_demand_js,mean_sensitivity_js,delta_js,pair_matrix_spearman,demand_distance_spearman,sensitivity_distance_spearman,mean_unit_demand_sensitivity_cosine,mean_coeff_gradient_cosine,mean_demand_entropy,mean_sensitivity_entropy,mean_demand_centroid,mean_sensitivity_centroid,max_patch_mass_conservation_error,evidence_mass_conservation_error
ETTh2,0,180,4,0.4849475994706154,0.9821017583211263,0.990571012099584,0.008469253778457642,0.0032350109734882912,0.0014577217613502096,0.0017772892121380817,0.8857142857142857,-0.5246313898711125,-0.7715167498104595,0.9953312873840332,0.18928098181883493,0.9820371689130343,0.9889510365928924,0.5071931289863851,0.5070412308184925,1.1920928955078125e-07,5.960464477539063e-08
ETTh2,0,240,3,0.48494763175646466,0.9890386660893759,0.9928407867749532,0.0038021206855773926,0.0020852400921285152,0.0011103231032999854,0.0009749169888285298,0.9999999999999998,-0.8660254037844387,-0.8660254037844387,0.9960649410883585,0.21972031891345978,0.9821762755014438,0.9886589398988302,0.5062895214662654,0.5033214500119523,1.1920928955078125e-07,5.960464477539063e-08
ETTh2,1,180,4,0.9174988120794296,0.9847800532976786,0.9895488023757935,0.0047687490781148645,0.0029732075054198503,0.0016176190789944183,0.001355588426425432,1.0,-0.6172133998483675,-0.6172133998483675,0.9962504357099533,0.10686885472387075,0.9762203233085931,0.9831812226569367,0.5208692802673255,0.5259329805122132,1.1920928955078125e-07,0.0
ETTh2,1,240,3,0.9174988269805908,0.9910198847452799,0.9943892558415731,0.0033693710962932055,0.001646862462318192,0.0008529857053266218,0.0007938767569915702,0.9999999999999998,-0.8660254037844387,-0.8660254037844387,0.9937933683395386,0.13194967557986578,0.977004267054879,0.9866668882381391,0.5193427399346604,0.5214450855635359,1.1920928955078125e-07,0.0
ETTh2,2,180,4,0.5439593493938446,0.9869613945484161,0.9909704625606537,0.004009068012237549,0.0029959554861610136,0.0014574486024988194,0.0015385068836621942,1.0,-0.7715167498104595,-0.7715167498104595,0.9933934956789017,0.11793518400130172,0.9792208446321271,0.988004048549121,0.5170324269853148,0.5218602208335144,1.1920928955078125e-07,0.0
ETTh2,2,240,3,0.5439593891302744,0.9917299350102743,0.992356558640798,0.0006266236305236816,0.0018183316569775343,0.0011814639437943697,0.0006368677131831646,0.9999999999999998,-0.8660254037844387,-0.8660254037844387,0.9947151144345602,0.1199554701646169,0.9795197031242177,0.9874979403574256,0.5157172459941469,0.5204517716437399,1.1920928955078125e-07,0.0
ETTh2,3,180,4,0.7427024096250534,0.9874325295289358,0.9914542635281881,0.004021733999252319,0.0027757909653397896,0.0013389912880181025,0.0014367996773216871,1.0,-0.7715167498104595,-0.7715167498104595,0.9940962642431259,0.1370031265541911,0.978929432378354,0.9869348171095798,0.520933774648356,0.5277105339379238,1.1920928955078125e-07,5.960464477539063e-08
ETTh2,3,240,3,0.7427024841308594,0.9923689961433411,0.9940848549207052,0.001715858777364132,0.0016476530969763796,0.0008863053129365047,0.0007613477840398749,0.4999999999999999,-0.8660254037844387,-0.8660254037844387,0.9934468070665995,0.1358019271865487,0.9794854811097634,0.9880353675926941,0.5200348820020935,0.5261381995528729,1.1920928955078125e-07,5.960464477539063e-08
ETTh2,4,180,4,1.1827869713306427,0.9881777862707773,0.9919263124465942,0.003748526175816891,0.002426116552669555,0.0012756398112590734,0.0011504767414104815,0.9428571428571428,-0.6172133998483675,-0.7715167498104595,0.9951749891042709,0.11058686937515934,0.9816032278694061,0.9885916700390381,0.5171696499756878,0.5202294616274773,1.1920928955078125e-07,0.0
ETTh2,4,240,3,1.1827869812647502,0.9915532867113749,0.9943796992301941,0.00282641251881921,0.001710914308205247,0.0008714053741035362,0.0008395089341017107,0.9999999999999998,-0.8660254037844387,-0.8660254037844387,0.9960529605547587,0.11519935602943103,0.9817012267380392,0.9879348728771448,0.5166303257064572,0.5206569340917652,0.0,0.0
