dataset,batch_idx,unit_size,unit_idx,profile_type,patch_idx,patch_start,patch_end_exclusive,profile_mass
ETTh2,0,0,-1,normalized_history_energy,0,0,48,0.054001033306121826
ETTh2,0,0,-1,normalized_history_energy,1,24,72,0.033493734896183014
ETTh2,0,0,-1,normalized_history_energy,2,48,96,0.03271583095192909
ETTh2,0,0,-1,normalized_history_energy,3,72,120,0.03281741216778755
ETTh2,0,0,-1,normalized_history_energy,4,96,144,0.03167857974767685
ETTh2,0,0,-1,normalized_history_energy,5,120,168,0.03079282119870186
ETTh2,0,0,-1,normalized_history_energy,6,144,192,0.028630578890442848
ETTh2,0,0,-1,normalized_history_energy,7,168,216,0.029498077929019928
ETTh2,0,0,-1,normalized_history_energy,8,192,240,0.03344960883259773
ETTh2,0,0,-1,normalized_history_energy,9,216,264,0.033555954694747925
ETTh2,0,0,-1,normalized_history_energy,10,240,288,0.0306803360581398
ETTh2,0,0,-1,normalized_history_energy,11,264,312,0.030885174870491028
ETTh2,0,0,-1,normalized_history_energy,12,288,336,0.03062072955071926
ETTh2,0,0,-1,normalized_history_energy,13,312,360,0.030237484723329544
ETTh2,0,0,-1,normalized_history_energy,14,336,384,0.03173435851931572
ETTh2,0,0,-1,normalized_history_energy,15,360,408,0.03337754309177399
ETTh2,0,0,-1,normalized_history_energy,16,384,432,0.033358264714479446
ETTh2,0,0,-1,normalized_history_energy,17,408,456,0.031755778938531876
ETTh2,0,0,-1,normalized_history_energy,18,432,480,0.03027495928108692
ETTh2,0,0,-1,normalized_history_energy,19,456,504,0.028442900627851486
ETTh2,0,0,-1,normalized_history_energy,20,480,528,0.030693449079990387
ETTh2,0,0,-1,normalized_history_energy,21,504,552,0.03334515169262886
ETTh2,0,0,-1,normalized_history_energy,22,528,576,0.033988792449235916
ETTh2,0,0,-1,normalized_history_energy,23,552,600,0.03542380779981613
ETTh2,0,0,-1,normalized_history_energy,24,576,624,0.036712560802698135
ETTh2,0,0,-1,normalized_history_energy,25,600,648,0.036772411316633224
ETTh2,0,0,-1,normalized_history_energy,26,624,672,0.03732739016413689
ETTh2,0,0,-1,normalized_history_energy,27,648,696,0.03882389888167381
ETTh2,0,0,-1,normalized_history_energy,28,672,720,0.06491141766309738
ETTh2,0,180,0,error_conditioned_demand,0,0,48,0.05586444213986397
ETTh2,0,180,0,error_conditioned_demand,1,24,72,0.029335370287299156
ETTh2,0,180,0,error_conditioned_demand,2,48,96,0.030154654756188393
ETTh2,0,180,0,error_conditioned_demand,3,72,120,0.031239226460456848
ETTh2,0,180,0,error_conditioned_demand,4,96,144,0.03157510235905647
ETTh2,0,180,0,error_conditioned_demand,5,120,168,0.034145813435316086
ETTh2,0,180,0,error_conditioned_demand,6,144,192,0.03595873713493347
ETTh2,0,180,0,error_conditioned_demand,7,168,216,0.035144075751304626
ETTh2,0,180,0,error_conditioned_demand,8,192,240,0.03095875307917595
ETTh2,0,180,0,error_conditioned_demand,9,216,264,0.026535462588071823
ETTh2,0,180,0,error_conditioned_demand,10,240,288,0.02550916001200676
ETTh2,0,180,0,error_conditioned_demand,11,264,312,0.023514531552791595
ETTh2,0,180,0,error_conditioned_demand,12,288,336,0.023880571126937866
ETTh2,0,180,0,error_conditioned_demand,13,312,360,0.027962476015090942
ETTh2,0,180,0,error_conditioned_demand,14,336,384,0.026495959609746933
ETTh2,0,180,0,error_conditioned_demand,15,360,408,0.021250657737255096
ETTh2,0,180,0,error_conditioned_demand,16,384,432,0.024685047566890717
ETTh2,0,180,0,error_conditioned_demand,17,408,456,0.030718564987182617
ETTh2,0,180,0,error_conditioned_demand,18,432,480,0.034058086574077606
ETTh2,0,180,0,error_conditioned_demand,19,456,504,0.037060774862766266
ETTh2,0,180,0,error_conditioned_demand,20,480,528,0.03570181131362915
ETTh2,0,180,0,error_conditioned_demand,21,504,552,0.03470853716135025
ETTh2,0,180,0,error_conditioned_demand,22,528,576,0.03218997269868851
ETTh2,0,180,0,error_conditioned_demand,23,552,600,0.03269942104816437
ETTh2,0,180,0,error_conditioned_demand,24,576,624,0.03624444082379341
ETTh2,0,180,0,error_conditioned_demand,25,600,648,0.03456674516201019
ETTh2,0,180,0,error_conditioned_demand,26,624,672,0.03176574781537056
ETTh2,0,180,0,error_conditioned_demand,27,648,696,0.03637169301509857
ETTh2,0,180,0,error_conditioned_demand,28,672,720,0.10970417410135269
ETTh2,0,180,0,target_independent_sensitivity,0,0,48,0.05042457953095436
ETTh2,0,180,0,target_independent_sensitivity,1,24,72,0.030670391395688057
ETTh2,0,180,0,target_independent_sensitivity,2,48,96,0.030490592122077942
ETTh2,0,180,0,target_independent_sensitivity,3,72,120,0.03125416487455368
ETTh2,0,180,0,target_independent_sensitivity,4,96,144,0.03153771907091141
ETTh2,0,180,0,target_independent_sensitivity,5,120,168,0.0324937105178833
ETTh2,0,180,0,target_independent_sensitivity,6,144,192,0.03314290568232536
ETTh2,0,180,0,target_independent_sensitivity,7,168,216,0.032735954970121384
ETTh2,0,180,0,target_independent_sensitivity,8,192,240,0.032064180821180344
ETTh2,0,180,0,target_independent_sensitivity,9,216,264,0.030914535745978355
ETTh2,0,180,0,target_independent_sensitivity,10,240,288,0.030040094628930092
ETTh2,0,180,0,target_independent_sensitivity,11,264,312,0.02930012345314026
ETTh2,0,180,0,target_independent_sensitivity,12,288,336,0.028824279084801674
ETTh2,0,180,0,target_independent_sensitivity,13,312,360,0.029574377462267876
ETTh2,0,180,0,target_independent_sensitivity,14,336,384,0.02897241711616516
ETTh2,0,180,0,target_independent_sensitivity,15,360,408,0.02800556644797325
ETTh2,0,180,0,target_independent_sensitivity,16,384,432,0.02960672415792942
ETTh2,0,180,0,target_independent_sensitivity,17,408,456,0.030790723860263824
ETTh2,0,180,0,target_independent_sensitivity,18,432,480,0.032832950353622437
ETTh2,0,180,0,target_independent_sensitivity,19,456,504,0.03410210832953453
ETTh2,0,180,0,target_independent_sensitivity,20,480,528,0.032449547201395035
ETTh2,0,180,0,target_independent_sensitivity,21,504,552,0.03192278742790222
ETTh2,0,180,0,target_independent_sensitivity,22,528,576,0.0321316123008728
ETTh2,0,180,0,target_independent_sensitivity,23,552,600,0.03365837037563324
ETTh2,0,180,0,target_independent_sensitivity,24,576,624,0.03412161022424698
ETTh2,0,180,0,target_independent_sensitivity,25,600,648,0.03235278278589249
ETTh2,0,180,0,target_independent_sensitivity,26,624,672,0.03125167638063431
ETTh2,0,180,0,target_independent_sensitivity,27,648,696,0.03445666283369064
ETTh2,0,180,0,target_independent_sensitivity,28,672,720,0.09987689554691315
ETTh2,0,180,1,error_conditioned_demand,0,0,48,0.08036316931247711
ETTh2,0,180,1,error_conditioned_demand,1,24,72,0.04442950710654259
ETTh2,0,180,1,error_conditioned_demand,2,48,96,0.0359022282063961
ETTh2,0,180,1,error_conditioned_demand,3,72,120,0.03290609270334244
ETTh2,0,180,1,error_conditioned_demand,4,96,144,0.03320907801389694
ETTh2,0,180,1,error_conditioned_demand,5,120,168,0.033680617809295654
ETTh2,0,180,1,error_conditioned_demand,6,144,192,0.03245095536112785
ETTh2,0,180,1,error_conditioned_demand,7,168,216,0.028993109241127968
ETTh2,0,180,1,error_conditioned_demand,8,192,240,0.025678439065814018
ETTh2,0,180,1,error_conditioned_demand,9,216,264,0.02356175146996975
ETTh2,0,180,1,error_conditioned_demand,10,240,288,0.023821894079446793
ETTh2,0,180,1,error_conditioned_demand,11,264,312,0.025675199925899506
ETTh2,0,180,1,error_conditioned_demand,12,288,336,0.030775193125009537
ETTh2,0,180,1,error_conditioned_demand,13,312,360,0.03506817668676376
ETTh2,0,180,1,error_conditioned_demand,14,336,384,0.03029637411236763
ETTh2,0,180,1,error_conditioned_demand,15,360,408,0.023613717406988144
ETTh2,0,180,1,error_conditioned_demand,16,384,432,0.02326963096857071
ETTh2,0,180,1,error_conditioned_demand,17,408,456,0.027181651443243027
ETTh2,0,180,1,error_conditioned_demand,18,432,480,0.030725711956620216
ETTh2,0,180,1,error_conditioned_demand,19,456,504,0.03206821158528328
ETTh2,0,180,1,error_conditioned_demand,20,480,528,0.030768128111958504
ETTh2,0,180,1,error_conditioned_demand,21,504,552,0.026993051171302795
ETTh2,0,180,1,error_conditioned_demand,22,528,576,0.026736782863736153
ETTh2,0,180,1,error_conditioned_demand,23,552,600,0.030641382560133934
ETTh2,0,180,1,error_conditioned_demand,24,576,624,0.0350167378783226
ETTh2,0,180,1,error_conditioned_demand,25,600,648,0.037781309336423874
ETTh2,0,180,1,error_conditioned_demand,26,624,672,0.03698455169796944
ETTh2,0,180,1,error_conditioned_demand,27,648,696,0.037560105323791504
ETTh2,0,180,1,error_conditioned_demand,28,672,720,0.08384722471237183
ETTh2,0,180,1,target_independent_sensitivity,0,0,48,0.06661058962345123
ETTh2,0,180,1,target_independent_sensitivity,1,24,72,0.039091527462005615
ETTh2,0,180,1,target_independent_sensitivity,2,48,96,0.03349030390381813
ETTh2,0,180,1,target_independent_sensitivity,3,72,120,0.0321652926504612
ETTh2,0,180,1,target_independent_sensitivity,4,96,144,0.033065009862184525
ETTh2,0,180,1,target_independent_sensitivity,5,120,168,0.03369281813502312
ETTh2,0,180,1,target_independent_sensitivity,6,144,192,0.03382493555545807
ETTh2,0,180,1,target_independent_sensitivity,7,168,216,0.032206058502197266
ETTh2,0,180,1,target_independent_sensitivity,8,192,240,0.030121996998786926
ETTh2,0,180,1,target_independent_sensitivity,9,216,264,0.0290913674980402
ETTh2,0,180,1,target_independent_sensitivity,10,240,288,0.028659317642450333
ETTh2,0,180,1,target_independent_sensitivity,11,264,312,0.02928382158279419
ETTh2,0,180,1,target_independent_sensitivity,12,288,336,0.03127502650022507
ETTh2,0,180,1,target_independent_sensitivity,13,312,360,0.03227469325065613
ETTh2,0,180,1,target_independent_sensitivity,14,336,384,0.03077811561524868
ETTh2,0,180,1,target_independent_sensitivity,15,360,408,0.028853122144937515
ETTh2,0,180,1,target_independent_sensitivity,16,384,432,0.028764359652996063
ETTh2,0,180,1,target_independent_sensitivity,17,408,456,0.029406357556581497
ETTh2,0,180,1,target_independent_sensitivity,18,432,480,0.031394943594932556
ETTh2,0,180,1,target_independent_sensitivity,19,456,504,0.03329767286777496
ETTh2,0,180,1,target_independent_sensitivity,20,480,528,0.03171566501259804
ETTh2,0,180,1,target_independent_sensitivity,21,504,552,0.02880754880607128
ETTh2,0,180,1,target_independent_sensitivity,22,528,576,0.02880697511136532
ETTh2,0,180,1,target_independent_sensitivity,23,552,600,0.03170456364750862
