dataset,batch_idx,unit_size,unit_count,left_unit,right_unit,unit_distance,pair_kind,demand_cosine,sensitivity_cosine,delta_cosine,demand_js,sensitivity_js,delta_js,coeff_gradient_cosine
ETTh2,0,180,4,0,1,1,adjacent,0.9761515855789185,0.9858041405677795,0.009652554988861084,0.004629122093319893,0.002168006729334593,0.0024611153639853,0.1569705754518509
ETTh2,0,180,4,0,2,2,far,0.9667270183563232,0.9816465377807617,0.014919519424438477,0.004693304188549519,0.002573248464614153,0.0021200557239353657,0.14039476215839386
ETTh2,0,180,4,0,3,3,far,0.967012882232666,0.9799871444702148,0.012974262237548828,0.005559094250202179,0.00299523351714015,0.002563860733062029,0.07240575551986694
ETTh2,0,180,4,1,2,1,adjacent,0.9923227429389954,0.9986305832862854,0.006307840347290039,0.001888832077383995,0.00032726803328841925,0.0015615640440955758,0.32976704835891724
ETTh2,0,180,4,1,3,2,far,0.995017945766449,0.9985775351524353,0.003559589385986328,0.0012764236889779568,0.00033221091143786907,0.0009442127775400877,0.15466615557670593
ETTh2,0,180,4,2,3,1,adjacent,0.9953783750534058,0.9987801313400269,0.0034017562866210938,0.0013632895424962044,0.00035036291228607297,0.0010129266302101314,0.2814815938472748
ETTh2,0,240,3,0,1,1,adjacent,0.9890182614326477,0.9913724660873413,0.0023542046546936035,0.0019135249312967062,0.001245038234628737,0.0006684866966679692,0.2267059087753296
ETTh2,0,240,3,0,2,2,far,0.982943058013916,0.9884374737739563,0.005494415760040283,0.0029097695369273424,0.0017325783846899867,0.0011771911522373557,0.12357239425182343
ETTh2,0,240,3,1,2,1,adjacent,0.9951546788215637,0.998712420463562,0.003557741641998291,0.0014324258081614971,0.0003533526905812323,0.0010790731175802648,0.3088826537132263
ETTh2,1,180,4,0,1,1,adjacent,0.9800173044204712,0.9876770973205566,0.007659792900085449,0.004329124465584755,0.002001928398385644,0.002327196067199111,0.09230775386095047
ETTh2,1,180,4,0,2,2,far,0.9757437109947205,0.9811302423477173,0.005386531352996826,0.0036497055552899837,0.0025419420562684536,0.0011077634990215302,0.02793813683092594
ETTh2,1,180,4,0,3,3,far,0.9673919081687927,0.9764272570610046,0.009035348892211914,0.005962575785815716,0.0034191044978797436,0.002543471287935972,0.03741233050823212
