system,trained_model_count,deployed_parameters_million,main_i_macro_mse,logged_training_gpu_hours_all_seven_datasets
ISCF-BSCA,1,2.925891285714286,0.2607142857142857,14.19413804743025
TimeAlign,4,10.741193142857144,0.27425000000000005,2.028800432814492
QDF,4,5.337385142857142,0.28751084581017494,1.4289967698521084
