dataset,global_effective_rank_95,tail_effective_rank_95,short_mean_effective_rank_95,top64_atom_entropy_mean,top64_atom_max_stage_share_mean,top64_atom_stage_specialized_rate_0p70,rank32_pair_overlap_mean,rank64_pair_overlap_mean
ETTh2,202,170,86.66666666666667,0.810774445028349,0.5776750875690745,0.015625,0.13235740375854863,0.2648548271941944
ETTm1,200,176,87.0,0.8763593200387982,0.5129427435404795,0.0,0.15096033202275863,0.28620591375206067
Weather,204,178,88.33333333333333,0.8658467092283291,0.5254147962130549,0.0,0.13680843268096415,0.2712306248975741
