dataset,segment,start,end,length,segment_energy,segment_energy_share_pct,row_norm_mean,row_norm_std,effective_rank_90,effective_rank_95,effective_rank_99,top8_energy_pct,top32_energy_pct,top64_energy_pct
ETTh2,early_0_96,0,96,96,63.9106870075005,11.654345890542185,0.8151708876529925,0.03511049583570734,69,79,91,19.1587894640453,57.738263776695064,87.5780809217112
ETTh2,mid_96_192,96,192,96,69.84822724662155,12.737077917466074,0.8522114033540323,0.03635140271009978,66,77,91,22.182566716843482,61.208023786614966,89.02280080222003
ETTh2,late_192_336,192,336,144,107.85851433701204,19.668391816473807,0.8647867435256866,0.03407856945255999,87,104,129,20.935610617794204,53.79187191413336,79.48479663045353
ETTh2,tail_336_720,336,720,384,306.76759110667444,55.94018437551794,0.8929897956639895,0.03798894593980616,140,170,216,21.481252585342666,43.00264496378197,63.487160886039966
ETTm1,early_0_96,0,96,96,87.26063347181238,14.19122649241508,0.9522846681063569,0.0460308905802548,67,77,91,19.871013283442895,59.77596765459436,88.65617429032052
ETTm1,mid_96_192,96,192,96,86.1553082979039,14.011467083542918,0.9463574002531411,0.04311379233240926,67,78,91,19.739703748392863,60.12750459421806,88.55587783372273
ETTm1,late_192_336,192,336,144,123.9785378186096,20.162671761381095,0.9270666661316675,0.038851830488461046,90,106,131,16.176073643859596,50.02378708588868,77.58783873070595
ETTm1,tail_336_720,336,720,384,317.4969360229421,51.63463466266091,0.9084881027428643,0.038266234912989194,147,176,219,10.867472615982031,35.0246506341871,58.23712296604755
Weather,early_0_96,0,96,96,75.87252222291491,13.506483958049548,0.8882978607883479,0.03557644830795296,69,79,91,18.927256525923386,58.40835818688173,87.64285332775523
Weather,mid_96_192,96,192,96,77.45399702514942,13.788010964410077,0.8972523172641521,0.04184194278570503,68,79,91,18.614625772421274,58.04559384499703,87.81372409817996
Weather,late_192_336,192,336,144,113.05981909057287,20.126398702818026,0.8851260037553913,0.04110462321240734,90,107,130,15.538426291816219,49.69966188763169,77.3371476160298
Weather,tail_336_720,336,720,384,295.36254063364834,52.57910637472236,0.8761452606506106,0.03927804908087472,150,178,221,10.434307325400486,34.08467778381858,57.18910179251896
