dataset,rank,left_segment,right_segment,mean_squared_canonical_corr,min_canonical_corr
ETTm1,16,late_192_336,tail_336_720,0.10433662245341022,0.008958969705089564
ETTm1,32,early_0_96,mid_96_192,0.1297061317692898,0.002353664892915275
ETTm1,32,early_0_96,late_192_336,0.1493727297006931,0.006711186577904158
ETTm1,32,early_0_96,tail_336_720,0.15957893965475103,0.0198324296194161
ETTm1,32,mid_96_192,late_192_336,0.14619370434935994,0.0038086687632759475
ETTm1,32,mid_96_192,tail_336_720,0.15719421679495982,0.008961495761580323
ETTm1,32,late_192_336,tail_336_720,0.163716269867498,0.009521068234332445
ETTm1,64,early_0_96,mid_96_192,0.271590696073593,0.0013998048659184703
ETTm1,64,early_0_96,late_192_336,0.2725670229112448,0.007813994882228798
ETTm1,64,early_0_96,tail_336_720,0.2962420733100325,0.011671550314134672
ETTm1,64,mid_96_192,late_192_336,0.27637413347591383,0.004951132971224077
ETTm1,64,mid_96_192,tail_336_720,0.3036261422447356,0.006532759298883945
ETTm1,64,late_192_336,tail_336_720,0.29683541449684436,0.0015116583499799787
Weather,8,early_0_96,mid_96_192,0.039221984967032386,0.012676524085905486
Weather,8,early_0_96,late_192_336,0.03302386622714567,0.009162396682749955
Weather,8,early_0_96,tail_336_720,0.021279368670609835,0.007217423320280064
Weather,8,mid_96_192,late_192_336,0.027784009110149527,0.03827928588570636
Weather,8,mid_96_192,tail_336_720,0.03858692743335165,0.015300934816602501
Weather,8,late_192_336,tail_336_720,0.03360664163531647,0.024585358821576555
Weather,16,early_0_96,mid_96_192,0.07120321135446132,0.007936666723764823
Weather,16,early_0_96,late_192_336,0.06568319656086602,0.0073639385904238335
Weather,16,early_0_96,tail_336_720,0.06067171856425738,5.213364716771072e-05
Weather,16,mid_96_192,late_192_336,0.06268385834588075,0.024056847976593028
Weather,16,mid_96_192,tail_336_720,0.07507769763046225,0.010216651802324039
Weather,16,late_192_336,tail_336_720,0.06500097939595667,0.003996562622629049
Weather,32,early_0_96,mid_96_192,0.13126089268820806,0.007687076826763436
Weather,32,early_0_96,late_192_336,0.1304750989660857,0.001072674198422142
Weather,32,early_0_96,tail_336_720,0.14382880713334814,0.004260089699281449
Weather,32,mid_96_192,late_192_336,0.1285619660988916,0.006175652321158793
Weather,32,mid_96_192,tail_336_720,0.14363858055051543,0.0031367501528658318
Weather,32,late_192_336,tail_336_720,0.143085250648736,0.007483252670455203
Weather,64,early_0_96,mid_96_192,0.26153446779485173,0.011077467049416397
Weather,64,early_0_96,late_192_336,0.2607639908009399,0.0044929722051253035
Weather,64,early_0_96,tail_336_720,0.27624813598701875,0.0012229667585139453
Weather,64,mid_96_192,late_192_336,0.26592243119476383,0.007435443792976136
Weather,64,mid_96_192,tail_336_720,0.2820034859492512,0.0169010546764693
Weather,64,late_192_336,tail_336_720,0.2809112376586189,0.01192943987263477
