dataset,rank,left_segment,right_segment,mean_squared_canonical_corr,min_canonical_corr
ETTh2,8,early_0_96,mid_96_192,0.03212073907527636,0.004624007573233981
ETTh2,8,early_0_96,late_192_336,0.014291595214775254,0.004424026830692161
ETTh2,8,early_0_96,tail_336_720,0.015587995736103616,0.008151028447102842
ETTh2,8,mid_96_192,late_192_336,0.04290083010650096,0.01181279367319051
ETTh2,8,mid_96_192,tail_336_720,0.03107179285611049,0.023017723234419987
ETTh2,8,late_192_336,tail_336_720,0.07078253220163701,0.004170397408454535
ETTh2,16,early_0_96,mid_96_192,0.06519586531930782,0.0016855565908091951
ETTh2,16,early_0_96,late_192_336,0.04315683950152039,0.008114518784777138
ETTh2,16,early_0_96,tail_336_720,0.04968758511720747,0.0009034807975870263
ETTh2,16,mid_96_192,late_192_336,0.08039820824150794,0.008568629537958101
ETTh2,16,mid_96_192,tail_336_720,0.06338260127156994,0.01580754560113774
ETTh2,16,late_192_336,tail_336_720,0.08667719657656409,0.007835951361479139
ETTh2,32,early_0_96,mid_96_192,0.11650196523006863,0.005276115707675274
ETTh2,32,early_0_96,late_192_336,0.12122739935658586,0.012749118587136307
ETTh2,32,early_0_96,tail_336_720,0.12660486791128828,0.002412595929076648
ETTh2,32,mid_96_192,late_192_336,0.14188790970865828,0.006239209983789912
ETTh2,32,mid_96_192,tail_336_720,0.13597306730837924,0.011158828701702315
ETTh2,32,late_192_336,tail_336_720,0.15194921303631143,0.014686446125341682
ETTh2,64,early_0_96,mid_96_192,0.24835960444884764,0.002719018623166978
ETTh2,64,early_0_96,late_192_336,0.2565365109376307,0.006942268000852986
ETTh2,64,early_0_96,tail_336_720,0.2685011380849753,0.005733916911146981
ETTh2,64,mid_96_192,late_192_336,0.2674264246909224,0.006336084323779001
ETTh2,64,mid_96_192,tail_336_720,0.26813346349965883,0.008030808074834769
ETTh2,64,late_192_336,tail_336_720,0.28017182150313136,0.020263747712408617
ETTm1,8,early_0_96,mid_96_192,0.0358373874140514,0.005551647488215161
ETTm1,8,early_0_96,late_192_336,0.04356336765506489,0.004235979413666359
ETTm1,8,early_0_96,tail_336_720,0.04049723195509965,0.049633303923486624
ETTm1,8,mid_96_192,late_192_336,0.06872473797162461,0.016676719658113105
ETTm1,8,mid_96_192,tail_336_720,0.06814893801531888,0.013227840205546706
ETTm1,8,late_192_336,tail_336_720,0.0966013074270563,0.057036857272018536
ETTm1,16,early_0_96,mid_96_192,0.05705173437333424,0.007235659387358173
ETTm1,16,early_0_96,late_192_336,0.07856547670259892,0.0065823596996454695
ETTm1,16,early_0_96,tail_336_720,0.08470877458651066,0.015879302323499978
ETTm1,16,mid_96_192,late_192_336,0.0871418481478703,0.025562568006874148
ETTm1,16,mid_96_192,tail_336_720,0.10089487113420727,0.024904536010072698
