dataset,horizon,rank,basis_energy,row_norm_mean,row_norm_std,effective_rank_90,effective_rank_95,effective_rank_99,top8_energy_pct,top32_energy_pct,top64_energy_pct
ETTh2,720,256,548.3850196978084,0.8715362118602018,0.04550266044716802,173,202,239,14.136919346079901,32.969021682957035,52.418033019032556
ETTm1,720,256,614.891415611268,0.9230925971371274,0.04377113348181522,172,200,236,8.704877387827594,29.106670713115015,49.97572356339023
Weather,720,256,561.7488789722854,0.8823760301717373,0.040240747119829695,176,204,240,7.9170193191064975,27.83357576701191,48.7287144665921
