epoch,train_loss,mse,mae
1,0.5058114840321137,0.478227823972702,0.33795905113220215
2,0.4727385790205338,0.47563573718070984,0.3356305956840515
3,0.46572216705117425,0.49477261304855347,0.33911052346229553
4,0.46044373911031533,0.48458126187324524,0.3334888219833374
5,0.4562143390657197,0.4753919839859009,0.33277058601379395
6,0.45149708119496496,0.4804547131061554,0.3357115387916565
7,0.4467629202654664,0.482332706451416,0.33669599890708923
8,0.44238848029307914,0.48964792490005493,0.33994123339653015
9,0.4380257870529739,0.49175772070884705,0.3421020209789276
10,0.43316480695781573,0.4901297688484192,0.3400636911392212
11,0.42884341060695513,0.5031254887580872,0.3492281138896942
12,0.4246554735680701,0.5053085088729858,0.3515947461128235
13,0.42047059535980225,0.5050692558288574,0.3483387231826782
14,0.41622015351141,0.5173059105873108,0.35474830865859985
15,0.41217645624993554,0.5089790225028992,0.34982120990753174
