origin,channel,eligible,score,mean_nchpd,disagreement_percentile,min_gain,uvhf_corr720,target_std_scaled,uvhf_common96_mse,dlinear_mse_h96,uvhf_mse_h96,relative_gain_h96,dlinear_common96_mse_h96,dlinear_mse_h192,uvhf_mse_h192,relative_gain_h192,dlinear_common96_mse_h192,dlinear_mse_h336,uvhf_mse_h336,relative_gain_h336,dlinear_common96_mse_h336,dlinear_mse_h720,uvhf_mse_h720,relative_gain_h720,dlinear_common96_mse_h720
1239,6,True,0.7564101248658938,0.06036064357289838,0.8870893105043961,0.5176382144267606,0.5757400528566753,0.46640892094304187,0.15704720138459274,0.3255796915959204,0.15704720138459274,0.5176382144267606,0.3255796915959204,0.5297185632941885,0.16942104550504014,0.6801678150536152,0.37562751730543775,0.43149565852949323,0.16895139648249394,0.6084516885795135,0.29641676812330847,0.37808580935998826,0.1458755341084141,0.61417347465289,0.347530439962395
1240,6,True,0.7483393480572347,0.059581225375748344,0.8745950948634891,0.508585960326079,0.5846601252766649,0.46667469141742296,0.15807697276164273,0.32167777067691244,0.15807697276164273,0.508585960326079,0.32167777067691244,0.5305129539609184,0.17502551697092097,0.6700824821257527,0.37057367099164873,0.4309779755650688,0.17192691323548312,0.6010772638437861,0.2949749562498006,0.37361670085447185,0.14424392544872294,0.6139253809617369,0.34293590071469543
1236,6,True,0.7441484403044203,0.05866147220016472,0.8597871355853771,0.5334589648740918,0.5421718304950416,0.4660243717082608,0.12807289748310346,0.2745158257055345,0.12807289748310346,0.5334589648740918,0.2745158257055345,0.4521193329468349,0.1388796346017667,0.6928252687259059,0.3157382350201258,0.40252051069543704,0.15236392321090056,0.6214753803535116,0.2512863900899323,0.36077161019518955,0.15909131866998258,0.5590248396099992,0.3058902001798797
1235,6,True,0.7376811786875968,0.05769976927521861,0.8459046737621472,0.5351677795395522,0.5417850794465753,0.4661635390131395,0.11393668656322693,0.2562769406086123,0.11393668656322693,0.5554157690011146,0.2562769406086123,0.42354254975500955,0.12424005969226805,0.7066645139570217,0.2934094115923689,0.3881109209944656,0.14366325074318462,0.62983971083557,0.23598374293614577,0.35326632683854553,0.16420957111826742,0.5351677795395522,0.29135588810995866
1238,6,True,0.7241802280750665,0.057338161689658024,0.8380379453956501,0.4974633076259902,0.5592226308944444,0.4661459166827388,0.1481563730769432,0.2948170259509703,0.1481563730769432,0.4974633076259902,0.2948170259509703,0.4889781110516593,0.16096842064806205,0.6708064900863095,0.34051537881862054,0.41384785050743966,0.16475217284553959,0.6019015861903628,0.27391909935318653,0.3669540802023304,0.15037224672285976,0.5902150845687618,0.32526198941431944
1237,6,True,0.7146300769365019,0.05691878310596895,0.8301712170291532,0.4837987063238224,0.5440485652477861,0.4660242878367892,0.14316117857120617,0.27733595464604505,0.14316117857120617,0.4837987063238224,0.27733595464604505,0.4608466571224989,0.15530668800715355,0.6629970390218735,0.31972147024631814,0.4038226034570381,0.16244369944954407,0.5977350003221745,0.25786139996728236,0.36015616231838005,0.15512532803662132,0.5692831491815773,0.3102014727871339
1050,6,True,0.7033796104504011,0.10329493867336875,0.997686256362795,0.18704442533204435,0.48423154669390306,0.4629217285797286,0.14247951151371055,0.24045006086800894,0.14247951151371055,0.40744655668054786,0.24045006086800894,0.1870884220977543,0.1520945757002009,0.18704442533204435,0.2987385318784385,0.20162550973762475,0.1289123649656774,0.36063464819788404,0.17750716126739785,0.2910747369912036,0.18422543372576786,0.3670854584287223,0.21427742764831362
1051,6,True,0.7031201767656535,0.09580365316351018,0.9972235076353541,0.18966358508362624,0.47609347422888665,0.4623150380902028,0.16216640397895973,0.24888940991805333,0.16216640397895973,0.3484399194310722,0.24888940991805333,0.18536787275923214,0.1502103374523907,0.18966358508362624,0.2998313278762694,0.20863516884688188,0.127682122089451,0.3880124679115946,0.18867647370952598,0.2936551234925067,0.18059887116010798,0.38499669608278986,0.22544536840694218
1195,6,True,0.6989913111742078,0.058131337258225634,0.8523831559463212,0.37158918450440614,0.6132297784972524,0.46045332891280844,0.07386599112662655,0.11754411175812181,0.07386599112662655,0.37158918450440614,0.11754411175812181,0.20858238850437247,0.09328217042553767,0.5527802174746781,0.147956385707343,0.3112379172400275,0.1259853490914859,0.5952120801710491,0.11536690363233637,0.2748879926345723,0.15492450495788196,0.4364086132935102,0.12209066613626555
1196,6,True,0.6979665231546166,0.05730306597736975,0.8371124479407681,0.3960778340046254,0.6058694898284497,0.46045908070066327,0.07279134993135492,0.12053101215680899,0.07279134993135492,0.3960778340046254,0.12053101215680899,0.2177478532867714,0.09276095745531139,0.5739982918079736,0.15520684475449809,0.32112224003331197,0.12682038237863402,0.6050713199886804,0.11876024620961338,0.2792872744003553,0.1569958540676615,0.43786964728435984,0.12771855559675468
1194,6,True,0.6940045601249052,0.05869157307796061,0.8611753817677001,0.3388982462067066,0.6174739537904317,0.4604114156622021,0.07587144360370969,0.11476515251755391,0.07587144360370969,0.3388982462067066,0.11476515251755391,0.2014608075924663,0.09411802105145457,0.5328221792804222,0.14132127558482024,0.3036641040549242,0.12563871665323617,0.5862575952325544,0.11203327368308895,0.2714763174030913,0.15409731660013992,0.43237289324455375,0.1166854236675613
619,0,True,0.6938002621276882,0.07328199161796844,0.9916705229060621,0.1541682062126566,0.5171453881086011,0.5732372623404963,0.27177566029331274,0.4452615231481212,0.27177566029331274,0.3896268907949103,0.4452615231481212,0.459252575263388,0.33993439071135095,0.25980950565950844,0.4472248514467077,0.3314060497867322,0.28031377356308934,0.1541682062126566,0.32808317666241976,0.3014251116765645,0.24866124321736285,0.17504801828129835,0.3222397433535827
1952,0,True,0.6931623247299722,0.05130906188897494,0.8912540490513651,0.3776614249997713,0.34236872704358234,0.3878173340850379,0.08935522739720664,0.16134652807851912,0.08935522739720664,0.4461905783697929,0.16134652807851912,0.20179100020800966,0.1069861307562981,0.46981713433198236,0.18105678759087876,0.3014727257717964,0.1876181065582545,0.3776614249997713,0.13690588992348107,0.5066306136904769,0.27901143964872177,0.4492803393456555,0.1394153705077099
1197,6,True,0.6925723147244472,0.055894133963784766,0.8102730217491901,0.42717703638699356,0.5928269293375409,0.46042420242395343,0.07058479969996494,0.12322271309578876,0.07058479969996494,0.42717703638699356,0.12322271309578876,0.22854256037516094,0.09245122582438657,0.5954747961490214,0.1639970939503647,0.33177346807552116,0.13055729913591665,0.6064866190379091,0.1207370753167013,0.28684908643488066,0.15632960629278064,0.45501096679187103,0.13288719494871729
813,0,True,0.692292681953306,0.06489140363255357,0.979176307265155,0.2009858849121341,0.42408762847088227,0.5953179824938596,0.1847057985552031,0.23219569092410872,0.1847057985552031,0.2045252957964121,0.23219569092410872,0.2907055126274195,0.23227780792316202,0.2009858849121341,0.23034525977182216,0.5029972279309025,0.36200873421791485,0.2802967608647646,0.25400809367284966,0.5736355085017861,0.41297593414180994,0.2800725756667065,0.28096513317326527
1183,6,True,0.6903105482012184,0.06807501180215723,0.968533086534012,0.15206638533621697,0.6042408933334729,0.45932742433777507,0.062188355278898926,0.07334106609696968,0.062188355278898926,0.15206638533621697,0.07334106609696968,0.15516475710081623,0.08205130324328375,0.4711988419511268,0.0902945407211752,0.25802132670525574,0.11562375641307085,0.5518829474698781,0.077525109766657,0.2599534386645791,0.1496334964258787,0.4243834696145239,0.06933185522974336
1951,0,True,0.6884938231380122,0.05005142490734302,0.8759833410458121,0.3961785696510962,0.3164858171977737,0.388152908897712,0.08332397428667479,0.13799439718217357,0.08332397428667479,0.3961785696510962,0.13799439718217357,0.176181485804745,0.08414531021866188,0.522394139007791,0.15543338639898743,0.28282252428541294,0.15012802604693123,0.46917938581359886,0.12420911481154552,0.49354700497733955,0.22722279228043232,0.5396126610253366,0.12294873738261525
1234,6,True,0.6858914887402598,0.054336910841927405,0.7695511337343822,0.48881904387493424,0.5447020871058845,0.4664107264974563,0.10287711453142057,0.22194728756179216,0.10287711453142057,0.5364795142955796,0.22194728756179216,0.3735419191238374,0.11346731173648539,0.696239415371027,0.2523428462116378,0.36211678500651345,0.1362612859559212,0.6237090032888968,0.20915267097673465,0.3330780320728242,0.1702631468992416,0.48881904387493424,0.26325003994010393
1052,6,True,0.6852796896500839,0.08661371071837724,0.996298010180472,0.1376562043876941,0.4583382324353966,0.4617822706894357,0.17701555741611763,0.2409638037704199,0.17701555741611763,0.26538527925642075,0.2409638037704199,0.17351897746841347,0.14963301364087786,0.1376562043876941,0.28287798804592773,0.21033608632283093,0.12729894920089063,0.39478312339848376,0.18976828663626247,0.2906514409497706,0.18354115292117423,0.3685180010757517,0.22594351766476195
1182,6,True,0.683700321181719,0.06802483295489635,0.96760758907913,0.13314335014734346,0.5995352159795098,0.45877734720058677,0.06195001002113951,0.07146511482800463,0.06195001002113951,0.13314335014734346,0.07146511482800463,0.1579287536106353,0.08195923341191119,0.48103666027798075,0.08877669902717772,0.26157260351763323,0.11737815211600881,0.5512597629204846,0.0769867277972172,0.2636007081226825,0.14786908076293562,0.43904141299151667,0.07007371271796348
1184,6,True,0.6827357631657187,0.06749740007170846,0.9643683479870431,0.1362917291101493,0.5966407043915235,0.4598868192263394,0.0643741031370363,0.07453222958107573,0.0643741031370363,0.1362917291101493,0.07453222958107573,0.15466295472186412,0.0834605851913889,0.46037119657076886,0.09075762857985996,0.25646955378609315,0.11564650186185539,0.5490829217166664,0.07766151966133847,0.25846922112946785,0.15512035154371343,0.39984981242306883,0.0695426160565371
