dataset,seed,hidden_rows,directions,synchronized_common_energy,private_response_energy,direction_null_common_p95,above_direction_null,random_init_common_median,random_init_common_p95,above_random_init,mean_pairwise_response_cosine,median_pairwise_response_distance,hidden_rms,all_finite
ETTh1,2021,32,16,0.23051727809169748,0.7694827219083025,0.20786091240379306,1,0.19828993901396724,0.2036071222146396,1,0.03814659761462182,1.3858862289003675,0.9640904068946838,True
ETTh1,2022,32,16,0.23736524078322144,0.7626347592167786,0.20793919525079455,1,0.19965249735201707,0.20267553116085257,1,0.046706550979026804,1.3812216877848291,0.9663220047950745,True
ETTh1,2023,32,16,0.23478831173813725,0.7652116882618627,0.21049967350374052,1,0.1989559379085127,0.2042303876157667,1,0.04348538967267156,1.3826827755907045,0.9651091694831848,True
ETTh2,2021,32,16,0.2919097139103204,0.7080902860896796,0.21236313845888585,1,0.19909719064275339,0.20311402713451768,1,0.11488714238790047,1.3295204048030382,0.9681063294410706,True
ETTh2,2022,32,16,0.2221456100387155,0.7778543899612845,0.2084011112641826,1,0.20072418058113345,0.20588084163512899,1,0.027682012548394353,1.3988842939654238,0.9780466556549072,True
ETTh2,2023,32,16,0.25688211790558346,0.7431178820944165,0.2113530064914826,1,0.1984285726900595,0.2064247439118037,1,0.07110264738197933,1.3633390904543246,0.9671770334243774,True
ETTm1,2021,32,16,0.3295541105976686,0.6704458894023314,0.21819518702612545,1,0.20262249488419426,0.208634522625736,1,0.1619426382470858,1.3047512535485306,0.8622796535491943,True
ETTm1,2022,32,16,0.4061417899620555,0.5938582100379445,0.22622534418466336,1,0.19797669976564167,0.20199036898600634,1,0.25767723745256943,1.223595003809605,0.7538427710533142,True
ETTm1,2023,32,16,0.38472148283311075,0.6152785171668893,0.22717711010059863,1,0.2023799933456401,0.2065544269833324,1,0.23090185354138842,1.239061952574843,0.835291862487793,True
ETTm2,2021,32,16,0.25917168372620236,0.7408283162737976,0.21142604790252525,1,0.2000792777921866,0.2037281079496348,1,0.07396460465775292,1.359609756901461,0.9438756704330444,True
ETTm2,2022,32,16,0.28316783125376216,0.7168321687462378,0.21087385013856877,1,0.1985834339520623,0.20414949672183474,1,0.10395978906720274,1.343117503506528,0.9080909490585327,True
ETTm2,2023,32,16,0.30683057014283405,0.693169429857166,0.21683411407587197,1,0.2014060505868761,0.2048581237586624,1,0.13353821267854254,1.3208635495203858,0.8489609956741333,True
Weather,2021,32,16,0.49859459953095947,0.5014054004690405,0.22038603321424502,1,0.19853386469967005,0.2060378555704325,1,0.37324324941369935,1.124723471537606,0.846613883972168,True
Weather,2022,32,16,0.45168018412377425,0.5483198158762257,0.2438859921394451,1,0.2011012483012694,0.20497879000265876,1,0.3146002301547177,1.1726167364361069,0.8310798406600952,True
Weather,2023,32,16,0.4457928797991813,0.5542071202008187,0.23067937916397557,1,0.2006684365737388,0.2034637221416693,1,0.3072410997489766,1.1737483317100397,0.8680955171585083,True
