dataset,arm,epochs_executed,best_epoch,best_val_mean_mse,early_stopped,train_ccsf_policy_normalized_entropy,train_ccsf_teacher_confidence,train_ccsf_teacher_normalized_entropy,train_ccsf_teacher_policy_argmax_accuracy,train_ccsf_calibration_kl,train_ccsf_weighted_calibration_kl
ETTm1,ccsf_no_contrast_equal,9,4,0.6294628103202234,True,,,,,,
ETTm2,ccsf_no_contrast_equal,6,1,0.1814246739080224,True,,,,,,
ETTh1,ccsf_no_contrast_equal,10,5,1.1309605843067865,True,,,,,,
ETTh2,ccsf_no_contrast_equal,7,2,0.4032223514237788,True,,,,,,
Weather,ccsf_no_contrast_relcal,14,9,0.48566521740821555,True,0.9191446670663916,0.29659005727901355,0.7034100002007364,0.3350720830288605,0.22311233574464004,0.022311233923794024
ETTm1,ccsf_no_contrast_relcal,12,7,0.6285488242765755,True,0.9710513896463461,0.2664208477327032,0.7335792364531042,0.3192121458157149,0.19399239301221252,0.01939923967626737
ETTm2,ccsf_no_contrast_relcal,6,1,0.18206754288347882,True,0.991948173945935,0.33839600757627414,0.6616040746677796,0.24171657676172073,0.26716634520405047,0.026716634926015805
ETTh1,ccsf_no_contrast_relcal,10,5,1.135671172419282,True,0.9931237375841732,0.290456048946465,0.7095440320209064,0.2644481309483537,0.217904635499009,0.02179046387297917
ETTh2,ccsf_no_contrast_relcal,7,2,0.4034618241797453,True,0.9943638604826632,0.32312400968728866,0.6768760744449311,0.24598265913999187,0.25015264222052247,0.025015264617658295
Weather,ccsf_permuted_contrast_relcal,14,9,0.48585938996402545,True,0.9175258809263526,0.2998418327057835,0.700158223348404,0.35258527791349464,0.2205141247905764,0.02205141285427641
ETTm1,ccsf_permuted_contrast_relcal,9,4,0.6294674305692463,True,0.9817111297693952,0.2623732232823105,0.7376268576240907,0.3439287355162462,0.18901777303414455,0.018901777660481373
ETTm2,ccsf_permuted_contrast_relcal,6,1,0.18282101424461755,True,0.9916708280681183,0.33859623726960775,0.6614038444278784,0.24586321781731021,0.2671405987878794,0.026714060279364522
ETTh1,ccsf_permuted_contrast_relcal,10,5,1.1360856482997492,True,0.9925893320973995,0.2906258445134205,0.7093742373770318,0.2934455976417634,0.2171699766696027,0.021716998057621242
ETTh2,ccsf_permuted_contrast_relcal,7,2,0.4035496553468023,True,0.9944230616092682,0.323114924330627,0.6768851596697242,0.2473246403104436,0.2500615350704278,0.025006153901000465
Weather,ccsf_independent_relcal,15,10,0.4862696760236138,True,0.9296738716239102,0.2831973735283428,0.7168026837093305,0.4174194451327358,0.19935538388439034,0.019935538767019978
ETTm1,ccsf_independent_relcal,15,10,0.6156189693045611,True,0.938723581868249,0.2765974685204535,0.7234026169454729,0.43349116217905953,0.19194066395055373,0.01919406678610298
ETTm2,ccsf_independent_relcal,6,1,0.18104449651335247,True,0.990708593466107,0.35542531835066304,0.6445747629440889,0.3134065076536193,0.27579286422681165,0.02757928688186994
ETTh1,ccsf_independent_relcal,10,5,1.124600442784417,True,0.9825341870299483,0.30793501898250747,0.6920650651497123,0.40669609870003387,0.22254313627439262,0.022254314018100237
ETTh2,ccsf_independent_relcal,7,2,0.3989545051422384,True,0.9976793229579926,0.3461935988305944,0.653806482532383,0.3228803890864406,0.27006409567805517,0.027006409955169775
