dataset,arm,epochs_executed,best_epoch,best_val_mean_mse,early_stopped,train_ccsf_policy_normalized_entropy,train_ccsf_teacher_confidence,train_ccsf_teacher_normalized_entropy,train_ccsf_teacher_policy_argmax_accuracy,train_ccsf_calibration_kl,train_ccsf_weighted_calibration_kl
Weather,a6_measure,20,18,0.48784463280361023,False,,,,,,
ETTm1,a6_measure,13,8,0.624504454691972,True,,,,,,
ETTm2,a6_measure,10,5,0.18205529099717432,True,,,,,,
ETTh1,a6_measure,7,2,1.1258498376216886,True,,,,,,
ETTh2,a6_measure,7,2,0.402772107804268,True,,,,,,
Weather,siff_v1_equal,9,4,0.4890056305446677,True,,,,,,
ETTm1,siff_v1_equal,9,4,0.6247386941714914,True,,,,,,
ETTm2,siff_v1_equal,7,2,0.18779958564703103,True,,,,,,
ETTh1,siff_v1_equal,9,4,1.1295515542334345,True,,,,,,
ETTh2,siff_v1_equal,8,3,0.39685537575601804,True,,,,,,
Weather,siff_v1_relcal,14,9,0.48690503479022207,True,0.9191035756350424,0.2958226849994074,0.7041773720230867,0.335229896788993,0.22247000179835175,0.022247000531854935
ETTm1,siff_v1_relcal,9,4,0.6230845426640286,True,0.9848934500604063,0.26201389882440274,0.7379861875045254,0.3062475517852426,0.19028321538537626,0.019028321913583744
ETTm2,siff_v1_relcal,8,3,0.18859172434567303,True,0.9821209973119861,0.30322951130195014,0.6967705720064723,0.27544365867857307,0.23041691724570562,0.02304169206977121
ETTh1,siff_v1_relcal,7,2,1.1358904752969032,True,0.9962113512828287,0.3304564898784182,0.6695435962318319,0.23540117400409902,0.2574594541065461,0.025745945801315583
ETTh2,siff_v1_relcal,8,3,0.39700248964530016,True,0.9929860991186801,0.29781960663014806,0.7021804742053547,0.26701687559881043,0.22433869454976732,0.02243386979618695
Weather,ccsf_equal,11,6,0.4878845995768816,True,,,,,,
ETTm1,ccsf_equal,9,4,0.6313112678317656,True,,,,,,
ETTm2,ccsf_equal,6,1,0.18115915754941175,True,,,,,,
ETTh1,ccsf_equal,10,5,1.1319172218754252,True,,,,,,
ETTh2,ccsf_equal,7,2,0.4032681166770913,True,,,,,,
Weather,ccsf_relcal,14,9,0.4863293578070293,True,0.9144781864507103,0.29849526875178306,0.7015047871141227,0.4104505396760758,0.21031194423671665,0.021031194793510954
ETTm1,ccsf_relcal,12,7,0.6313125739761976,True,0.9547446092238298,0.26707839479662737,0.7329216871022257,0.4280630004049268,0.1829169131959267,0.018291691687626902
ETTm2,ccsf_relcal,6,1,0.18249661080799773,True,0.9904700155769076,0.33866966961663664,0.6613304101247125,0.27303865973381003,0.2649088968094942,0.026490890102741457
ETTh1,ccsf_relcal,10,5,1.1362932356484676,True,0.989694603249035,0.2907255541170593,0.7092745327844029,0.36771091251774174,0.21198732359746916,0.02119873273722102
ETTh2,ccsf_relcal,7,2,0.403759653273774,True,0.9941469565429518,0.32317777610985576,0.6768223012970612,0.2642413754246931,0.2487021958274124,0.024870219961863702
Weather,ccsf_stdcal,14,9,0.48640875022799246,True,0.8383675212786946,1.0,0.24732463139812008,0.44563063139949893,0.9731183891799906,0.09731184055739577
ETTm1,ccsf_stdcal,12,7,0.6254080731194422,True,0.8452925004899272,1.0,0.24736817317752305,0.4413276608731296,0.9601156217941447,0.09601156368247561
ETTm2,ccsf_stdcal,6,1,0.18371630735651012,True,0.9766117592690995,1.0,0.28815283669468056,0.3269300239743183,1.0745756932207056,0.10745757083232338
ETTh1,ccsf_stdcal,10,5,1.1394668371813919,True,0.9415564333970567,1.0,0.2650837761110964,0.40482769207616826,1.0194215099368475,0.1019421525101746
ETTh2,ccsf_stdcal,7,2,0.40559095996025474,True,0.9833018624149592,1.0,0.2742430184003526,0.3511373732997253,1.0958359478849224,0.10958359637750989
Weather,ccsf_no_contrast_equal,10,5,0.488105716221478,True,,,,,,
