split,arm,macro_mse,macro_mae,cells
test,a6_measure,0.30811812604800326,0.34550387102947056,20
test,ccsf_equal,0.3103144581580343,0.3467734500493057,20
test,ccsf_independent_relcal,0.309114245159158,0.34648532133023363,20
test,ccsf_no_contrast_equal,0.30966600248872583,0.34654574680597233,20
test,ccsf_no_contrast_relcal,0.3102231956298794,0.34720877722688004,20
test,ccsf_permuted_contrast_relcal,0.31167927415676083,0.3480008875212935,20
test,ccsf_relcal,0.3106792451496617,0.34760219335278925,20
test,ccsf_stdcal,0.3106275574856739,0.34781210214979924,20
test,siff_v1_equal,0.30866268940084346,0.34644871262288207,20
test,siff_v1_relcal,0.3109578485469191,0.34896632558000834,20
val,a6_measure,0.5646052444918037,0.45236703370932474,20
val,ccsf_equal,0.5671080871244305,0.4533878977477757,20
val,ccsf_independent_relcal,0.5612976381864994,0.45071862214130337,20
val,ccsf_no_contrast_equal,0.5666352264186929,0.4539261499781805,20
val,ccsf_no_contrast_relcal,0.5670829245442199,0.45303361842321926,20
val,ccsf_permuted_contrast_relcal,0.5675566127866466,0.4539078658224557,20
val,ccsf_relcal,0.5680382946842268,0.45356183650572635,20
val,ccsf_stdcal,0.5681182044095338,0.4540567213354359,20
val,siff_v1_equal,0.5655901928441802,0.4541121363344543,20
val,siff_v1_relcal,0.5662948542125598,0.45534117460905,20
