start,end,baseline_horizon,mse_gain,mae_gain
1,96,96,0.9672400541423456,0.8189677936169685
1,96,192,0.927242906867551,0.736385003330825
1,96,336,0.9775306018726316,0.8584231755216609
1,96,720,0.9417035262528035,0.7470012978981522
97,192,192,0.4388914359698337,0.27501707237712314
97,192,336,0.8895553048658397,0.7036101622236114
97,192,720,0.6941447328464252,0.476267056962299
193,336,336,0.8496643222490489,0.6504449050439439
193,336,720,0.6441052491495003,0.4230069718235374
337,720,720,0.7454913050683689,0.47115139502060843
