dataset,seed,probe_rows,centered_scope_ev1,centered_scope_ev2,centered_scope_effective_rank,shift_null_ev2_p95,low_dimensional_above_null,residual_common_energy_ratio,residual_private_energy_ratio,shift_null_common_energy_p95,common_residual_above_null,mean_pairwise_prediction_nrmse,mean_pairwise_residual_correlation,scale_distance_spearman,adjacent_to_nonadjacent_distance_ratio,fused_gain_over_best_fixed_arm_percent,oracle_headroom_over_fused_percent,unique_best_scopes_across_bins,best_scopes_by_bin,policy_normalized_entropy,policy_bin_dispersion
ETTh1,2021,256,0.4097489989705281,0.628104804462928,3.5109376355425317,0.6756360537106464,False,0.8850394477520687,0.11496055224793134,0.24572168616534468,True,0.4379728278658037,0.8526904217225575,0.18787878787878787,0.8639141849683915,5.543811593985248,5.458118553285098,3,720;720;720;720;720;144;360;144,0.9863042138276472,0.00697640759775836
ETTh1,2022,256,0.4011272432874679,0.6219470021948454,3.556720042052539,0.7090389955831574,False,0.8893131195066047,0.11068688049339526,0.270426402056576,True,0.41529775045504824,0.8515957652452192,0.33333333333333326,0.8691885513529007,5.179816284009514,5.31986275334139,3,720;720;720;720;720;720;360;48,0.9886294513653078,0.004396014649404512
ETTh1,2023,256,0.420194067555061,0.6366107797041806,3.4547346192931006,0.6863471029466851,False,0.8833101728505125,0.1166898271494875,0.23303671002643836,True,0.4378219989830077,0.8511597149001455,0.32121212121212117,0.8515852404445914,6.097271980460598,5.115827933769852,5,720;720;720;1;144;48;360;48,0.9918714605087459,0.00894349047277847
ETTh2,2021,256,0.31245908606316797,0.6005421679190533,3.7812334328858883,0.8407497868151785,False,0.9319680112194665,0.06803198878053351,0.24891452902458133,True,0.08406463903948522,0.9150843012227409,0.3939393939393939,0.9893231158124525,0.4041329945286302,6.709026282695178,2,360;720;720;720;720;720;720;720,0.9271239151253191,0.004459537836076605
ETTh2,2022,256,0.2981742700749568,0.5789764178472837,3.811645190230087,0.8357253656976018,False,0.9080892631904414,0.09191073680955864,0.2565492689945973,True,0.10218289253395589,0.8825977730681579,0.2121212121212121,0.9731899283817778,1.5308065957354593,5.984927315472519,3,360;720;48;720;720;720;720;720,0.9718192320219685,0.0012878893110926616
ETTh2,2023,256,0.3245982063824454,0.6087788020818583,3.7434697117188334,0.8101558993034268,False,0.9203725985422528,0.07962740145774716,0.284816984706906,True,0.09095546521163753,0.8996059359614677,-0.006060606060606061,1.003398845150496,-0.7312671046790786,8.236999032845741,1,720;720;720;720;720;720;720;720,0.8921007776452538,0.007426525666145049
ETTm1,2021,256,0.3155588557655116,0.5962254065879875,3.834341051784237,0.6656355648252508,False,0.9775103865847131,0.02248961341528688,0.24306066734234175,True,0.17337403633807133,0.9717668453344386,0.35757575757575755,0.9369152426841877,0.1014597226906852,8.581295514124612,2,720;720;720;720;720;720;720;360,0.8117576711829546,0.018797851531369158
ETTm1,2022,256,0.3756791066787913,0.651170777957789,3.5837391833406342,0.663023225238958,False,0.9805110529360858,0.01948894706391424,0.23331571537969262,True,0.16675566762848304,0.9767154259437696,0.6,0.882225748028055,-0.06012739073539326,12.772587181274899,3,48;720;720;720;720;720;720;360,0.5178427004477335,0.01739670221721512
ETTm1,2023,256,0.32584783359983893,0.6203046699240187,3.756955879405043,0.6622742572822791,False,0.9787477896636431,0.021252210336356936,0.24007775923854838,True,0.16650268105302696,0.97347679549987,0.04242424242424241,0.9396803873488253,-0.05064061546373585,9.840285510970336,2,1;720;720;720;720;720;720;720,0.7427317769968671,0.020429975253403548
ETTm2,2021,256,0.3676940292564873,0.6242631474272929,3.653117643332369,0.7867913540262101,False,0.9290387312046563,0.0709612687953437,0.26644822268927904,True,0.08539887545887459,0.9096721647897811,0.5272727272727272,0.8952102849201006,2.2667382473250286,7.899750271764525,4,360;720;360;1;144;720;360;360,0.9365990194389595,0.018228884519309645
ETTm2,2022,256,0.3914230078528133,0.6778651604274908,3.465337936816506,0.8149881010149166,False,0.9233589348626181,0.07664106513738189,0.2368489602686618,True,0.08454928703561451,0.9067099598561015,-0.2606060606060606,0.9388544251256529,1.7848711295612427,11.807253724191987,3,720;720;48;48;360;360;360;360,0.7628353785257588,0.030613056983936807
ETTm2,2023,256,0.42494211319174124,0.6715475975641959,3.3683563139661574,0.8270012145959145,False,0.937939829096471,0.062060170903529,0.33643063465307577,True,0.08821228553388308,0.9233133571647176,0.34545454545454546,0.8787459480752773,0.8694634775758777,13.66314328812079,2,720;720;720;360;360;360;360;360,0.7864093215770139,0.029965173416360406
Weather,2021,256,0.35668276799146376,0.6386154310756971,3.6104865794675702,0.7223376401557945,False,0.9915085395596724,0.008491460440327558,0.3277576145679513,True,0.2018085609684012,0.9886885957476628,0.13939393939393938,0.983874855332103,-1.649853786720482,12.182204857285498,2,360;360;360;720;360;360;720;720,0.29476285311402506,0.009758169813251678
Weather,2022,256,0.33598545429283766,0.6343041047795718,3.6603090718285207,0.7607631246787508,False,0.9934747005295539,0.006525299470446111,0.3628156761651017,True,0.17807830367071203,0.9911550004659541,-0.04242424242424241,0.9927104206625608,-0.6457031097957124,10.162738993154276,3,144;360;360;720;720;720;720;720,0.3250446033965877,0.008776455681453903
Weather,2023,256,0.37671953744173353,0.6603549440150811,3.561386890702295,0.7137107220837889,False,0.9942036150785429,0.005796384921457065,0.33744246402841754,True,0.16727133558126323,0.9920289599021919,-0.09090909090909088,0.9716398064323484,-0.21480057482146847,9.626815377839094,3,144;360;360;360;360;360;720;720,0.39335823441353046,0.007692805885721904
