dataset,runs,median_centered_scope_ev2,low_dimensional_above_null_count,median_residual_common_energy_ratio,median_residual_private_energy_ratio,median_pairwise_prediction_nrmse,median_pairwise_residual_correlation,median_fused_gain_over_best_fixed_percent,fused_positive_run_count,median_oracle_headroom_percent,median_unique_best_scopes,median_policy_entropy,median_scale_distance_spearman,positive_scale_order_run_count,median_seed_topology_spearman
ETTh1,3,0.628104804462928,0,0.8850394477520687,0.11496055224793134,0.4378219989830077,0.8515957652452192,5.543811593985248,3,5.31986275334139,3.0,0.9886294513653078,0.32121212121212117,3,0.9636363636363635
ETTh2,3,0.6005421679190533,0,0.9203725985422528,0.07962740145774716,0.09095546521163753,0.8996059359614677,0.4041329945286302,2,6.709026282695178,2.0,0.9271239151253191,0.2121212121212121,2,0.7696969696969697
ETTm1,3,0.6203046699240187,0,0.9787477896636431,0.021252210336356936,0.16675566762848304,0.97347679549987,-0.05064061546373585,1,9.840285510970336,2.0,0.7427317769968671,0.35757575757575755,3,0.7939393939393938
ETTm2,3,0.6715475975641959,0,0.9290387312046563,0.0709612687953437,0.08539887545887459,0.9096721647897811,1.7848711295612427,3,11.807253724191987,3.0,0.7864093215770139,0.34545454545454546,2,0.309090909090909
Weather,3,0.6386154310756971,0,0.9934747005295539,0.006525299470446111,0.17807830367071203,0.9911550004659541,-0.6457031097957124,0,10.162738993154276,3.0,0.3250446033965877,-0.04242424242424241,1,0.5757575757575757
