dataset,seed,bin,scale,mean_mse,is_best
ETTh1,2021,h1_48,1,0.38122662708424365,False
ETTh1,2021,h1_48,48,0.37901075773451254,False
ETTh1,2021,h1_48,144,0.3598917695996612,False
ETTh1,2021,h1_48,360,0.3485015927768665,False
ETTh1,2021,h1_48,720,0.3452960461808881,True
ETTh1,2021,h49_96,1,0.42148232711391953,False
ETTh1,2021,h49_96,48,0.4189613930232847,False
ETTh1,2021,h49_96,144,0.42348113566845874,False
ETTh1,2021,h49_96,360,0.41207802909993235,False
ETTh1,2021,h49_96,720,0.3978972740045874,True
ETTh1,2021,h97_144,1,0.42849016196621525,False
ETTh1,2021,h97_144,48,0.4259040558975678,False
ETTh1,2021,h97_144,144,0.45697270913025323,False
ETTh1,2021,h97_144,360,0.43818604002756023,False
ETTh1,2021,h97_144,720,0.4155198845889466,True
ETTh1,2021,h145_192,1,0.4398631959137541,False
ETTh1,2021,h145_192,48,0.4403777077966524,False
ETTh1,2021,h145_192,144,0.44840238576286034,False
ETTh1,2021,h145_192,360,0.45053621547351685,False
ETTh1,2021,h145_192,720,0.43212205265914816,True
ETTh1,2021,h193_288,1,0.48111623696886324,False
ETTh1,2021,h193_288,48,0.48749485722058783,False
ETTh1,2021,h193_288,144,0.47634853776549874,False
ETTh1,2021,h193_288,360,0.47298668611408934,False
ETTh1,2021,h193_288,720,0.44897145046495135,True
ETTh1,2021,h289_336,1,0.4671669342279163,False
ETTh1,2021,h289_336,48,0.4654201708620814,False
ETTh1,2021,h289_336,144,0.4595350583070137,True
ETTh1,2021,h289_336,360,0.48515597974093533,False
ETTh1,2021,h289_336,720,0.4622425292601642,False
ETTh1,2021,h337_512,1,0.4918171327509793,False
ETTh1,2021,h337_512,48,0.4895364228514001,False
ETTh1,2021,h337_512,144,0.48655971477659415,False
ETTh1,2021,h337_512,360,0.4797787361836746,True
ETTh1,2021,h337_512,720,0.5414349839336091,False
ETTh1,2021,h513_720,1,0.6467425941588821,False
ETTh1,2021,h513_720,48,0.647607343972868,False
ETTh1,2021,h513_720,144,0.6405988297449037,True
