dataset,seed2021_2022_spearman,seed2021_2023_spearman,seed2022_2023_spearman,median_seed_topology_spearman
ETTh1,0.9515151515151514,0.9636363636363635,0.9878787878787878,0.9636363636363635
ETTh2,0.7939393939393938,0.7696969696969697,0.6969696969696969,0.7696969696969697
ETTm1,0.9151515151515152,0.7939393939393938,0.6848484848484848,0.7939393939393938
ETTm2,0.309090909090909,0.6363636363636362,0.17575757575757575,0.309090909090909
Weather,0.43030303030303024,0.5757575757575757,0.8060606060606059,0.5757575757575757
