dataset,profile_id,run_dir,mode_rank,coordinate_dim,policy_history_dim,policy_hidden_dim,scales,readout_lr_multiplier,readout_weight_decay,best_epoch,validation_mean_mse,artifact_validation_mean_mse,checkpoint_sha256,encoder_initialization_hash,missing_files,effective_config_ok,validation_selector_ok,pass
Weather,p00_budget30,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p00_budget30/seed2021,30,4,32,64,"1,48,144,360,720",1.0,0.0,5,0.5520400885440824,0.552040036906126,183caa1520dd400b9a3412ede24c1905fee316439f7293606087c4b1052d11bb,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p01_lr0p25,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p01_lr0p25/seed2021,30,4,32,64,"1,48,144,360,720",0.25,0.0,6,0.5570589437705672,0.5570589650873213,4980bab8148808358f56e98806aedafcd99090da3e7d95b24884a861b59fac8a,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p02_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p02_lr0p50/seed2021,30,4,32,64,"1,48,144,360,720",0.5,0.0,4,0.5514400712040711,0.5514401518261164,871033acf460ec51781657500a493ff683ee800459e47c4d377ec22efad2abb7,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p03_lr2p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p03_lr2p00/seed2021,30,4,32,64,"1,48,144,360,720",2.0,0.0,4,0.5528662385130745,0.5528661680311734,1589c6eb59c217955ea2b5d83aba2183d6fe418a4e882d70e0b028c81307d7cc,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p04_lr4p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p04_lr4p00/seed2021,30,4,32,64,"1,48,144,360,720",4.0,0.0,2,0.5515494954737185,0.5515494948103359,a52662a3527d8e54726848dad332ea6064334ff9fe7a4aee774193986155f53a,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p05_rank0p50_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p05_rank0p50_lr0p50/seed2021,15,4,32,64,"1,48,144,360,720",0.5,0.0,4,0.5641288628350825,0.5641288067896052,ac2752eea6710be4f471f58bb1458c8ddff6c3dbf0dbc49107e198921f8c72ff,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p06_rank1p50_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p06_rank1p50_lr0p50/seed2021,45,4,32,64,"1,48,144,360,720",0.5,0.0,4,0.552168095233621,0.5521680582396036,17d80be4fd674b49eafb5624eedf2040718d55a3122aac011cf2a10ce51d2820,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p07_rank2p00_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p07_rank2p00_lr0p50/seed2021,60,4,32,64,"1,48,144,360,720",0.5,0.0,3,0.5585130990819177,0.5585131237312915,7b0d729081f8db0d7e6714c2ed661509db507405a4451badbbe5bd7bf810f1eb,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p08_coord2_capmatch_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p08_coord2_capmatch_lr0p50/seed2021,60,2,32,64,"1,48,144,360,720",0.5,0.0,4,0.5520854198915278,0.552085408490033,a81e2a3110ea546b4520e6b2d4287f66a7315110137a9ec3cbdbf9540add3903,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p09_coord8_capmatch_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p09_coord8_capmatch_lr0p50/seed2021,15,8,32,64,"1,48,144,360,720",0.5,0.0,5,0.5522637868593891,0.5522638452697605,06ef2f3340bf768933747b472f5f0737c3e2eae1a0de4cbb0d13f80d95a12f8d,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p10_policy16x32_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p10_policy16x32_lr0p50/seed2021,30,4,16,32,"1,48,144,360,720",0.5,0.0,3,0.5574818884988966,0.5574818973823096,7168bc345bf4af62f2e751d1317fc0de7c5c6fbf32bdbf53388b668adadf8fc4,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p11_policy64x128_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p11_policy64x128_lr0p50/seed2021,30,4,64,128,"1,48,144,360,720",0.5,0.0,5,0.5504986782417824,0.5504986918488858,2694dbc9ec976d4995f9558b3ac72b95f50717348ce0da07aeb3e48170dd836f,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p12_scopes_short_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p12_scopes_short_lr0p50/seed2021,30,4,32,64,"1,24,72,240,720",0.5,0.0,5,0.5526258071023409,0.5526257905129728,04ea8a50ad647808561bd9e093b50c717527faa0b715057fbb96c596b0dc44c6,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
Weather,p13_scopes_long_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/Weather/p13_scopes_long_lr0p50/seed2021,30,4,32,64,"1,72,180,360,720",0.5,0.0,4,0.5555983800463201,0.5555983635003767,beb3141433118fe677afcded061985ad6e134a3e8e0448fd553083e115f4242d,847557b6f4a0745269c7bd4dea45f338c65f61df210dcd944f62082d4a6c0073,,True,True,True
ETTm1,p00_budget30,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p00_budget30/seed2021,21,4,32,64,"1,48,144,360,720",1.0,0.0,19,0.6348681677629457,0.6348681552960197,0fe506d97565244839e82b2fbd4ca1de1564118829122d1c68940adcce619cc4,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
ETTm1,p01_lr0p25,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p01_lr0p25/seed2021,21,4,32,64,"1,48,144,360,720",0.25,0.0,28,0.639086725280088,0.6390867374150918,31bc13cc3488013ad67254988e32dd0721ded8700f87dc2db5abbbcf0a667f24,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
ETTm1,p02_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p02_lr0p50/seed2021,21,4,32,64,"1,48,144,360,720",0.5,0.0,19,0.6375597644451773,0.6375597542104227,66791ff86ae9115fa4fba4d459cf073fde254be67a060e8e183dfd5f57ec61b5,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
ETTm1,p03_lr2p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p03_lr2p00/seed2021,21,4,32,64,"1,48,144,360,720",2.0,0.0,12,0.6340091693321324,0.6340091475912015,3f15ce26355e652297285b13c9bd5f4844a3a399701c03867e845b5ef2ded4c7,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
ETTm1,p04_lr4p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p04_lr4p00/seed2021,21,4,32,64,"1,48,144,360,720",4.0,0.0,12,0.6316207213531015,0.6316207040455618,cbf457122e0e945adffdd9d95fbb61d3c1733f1fb18a0b616e80b11bb897d293,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
ETTm1,p05_rank0p50_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p05_rank0p50_lr0p50/seed2021,10,4,32,64,"1,48,144,360,720",0.5,0.0,29,0.641980231359383,0.6419802508703599,add4befae59cbb924f8aac33d364a87072ce8867875c22c4b4e470630bf82c26,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
ETTm1,p06_rank1p50_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p06_rank1p50_lr0p50/seed2021,32,4,32,64,"1,48,144,360,720",0.5,0.0,25,0.6352585420960889,0.6352586096336064,6d144d1c30ac1a7eab5bbf0853ddf000106329d13164e423389ee58542f24644,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
ETTm1,p07_rank2p00_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p07_rank2p00_lr0p50/seed2021,42,4,32,64,"1,48,144,360,720",0.5,0.0,27,0.6394207853336988,0.6394207548409689,b0398865577f5d14e5542fb2dca6f1081409eec3479bc08bcee24ad4a4ecceb4,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
ETTm1,p08_coord2_capmatch_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p08_coord2_capmatch_lr0p50/seed2021,42,2,32,64,"1,48,144,360,720",0.5,0.0,19,0.6319151572173088,0.6319150783170092,16ce909df8bd704b5373fcf3b0b9d17bfe25ea66ab9a4409ccbd6284ec97b612,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
ETTm1,p09_coord8_capmatch_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p09_coord8_capmatch_lr0p50/seed2021,10,8,32,64,"1,48,144,360,720",0.5,0.0,28,0.6397693462929473,0.6397693526822545,877c0fb1d4f05debc5b3f2cccc6178d60e6642b18f936cde512deb350d5817ed,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
ETTm1,p10_policy16x32_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p10_policy16x32_lr0p50/seed2021,21,4,16,32,"1,48,144,360,720",0.5,0.0,23,0.6365508382877572,0.6365508352343957,0137dd5e12ea09747112de86c09348146ead4df8993431c84573a50dda83672c,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
ETTm1,p11_policy64x128_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_itransformer_hpo_v2_20260816/ETTm1/p11_policy64x128_lr0p50/seed2021,21,4,64,128,"1,48,144,360,720",0.5,0.0,27,0.6381534440052559,0.6381533575159246,57cbbb52158f4b104be77e075fae2a953ea87a49f1343f2bb725edb421da7aad,9122bd7c36f7a644908da70368643ca8ef8e5baa58c5718667f5d40bf9328c56,,True,True,True
