epoch,train_loss,train_prediction_loss,train_future_local_alignment_loss,train_future_relation_alignment_loss,train_future_reconstruction_loss,train_future_raw_reconstruction_loss,train_future_normalized_reconstruction_loss,train_future_alignment_confidence_mean,train_error_energy_loss,train_error_smoothness_loss,val_mean_mse,epoch_elapsed_sec,elapsed_sec,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.377074929605922,0.377074929605922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5332533940672874,267.90798279002775,267.9079899559729,286,277,295,271,0.42163118720054626,0.28920552134513855,0.481065034866333,0.3347207009792328,0.5613486170768738,0.3871574401855469,0.6689687371253967,0.44884195923805237
2,0.34784321424256814,0.34784321424256814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5603175982832909,259.6579165229341,527.5708913609851,283,252,273,321,0.4397694170475006,0.2980947494506836,0.5027438402175903,0.3448963463306427,0.5923080444335938,0.40063896775245667,0.7064490914344788,0.46603521704673767
3,0.3080879344453951,0.3080879344453951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700007677078247,260.8024869010551,788.3740056389943,269,308,274,278,0.43902087211608887,0.2991195619106293,0.5102516412734985,0.3507416248321533,0.6097663640975952,0.4101768136024475,0.7209641933441162,0.47609570622444153
4,0.2885223008936438,0.2885223008936438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5895115658640862,259.8299547339557,1048.2046648430405,261,307,286,275,0.44332364201545715,0.30624428391456604,0.5326889753341675,0.36271587014198303,0.6423900723457336,0.42476147413253784,0.7396435737609863,0.48728305101394653
5,0.2714407659862504,0.2714407659862504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5934533774852753,258.3720421070466,1306.5773698199773,282,288,287,272,0.4443435072898865,0.31182166934013367,0.5378474593162537,0.3694054186344147,0.6444497108459473,0.42923542857170105,0.7471728324890137,0.4929407835006714
6,0.2636779221195473,0.2636779221195473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6092842444777489,259.2880538869649,1565.8663437500363,260,302,282,285,0.45582833886146545,0.3124374747276306,0.5526474118232727,0.3721311390399933,0.6634513735771179,0.4325377941131592,0.7652098536491394,0.49644267559051514
7,0.2552462753083349,0.2552462753083349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.611148975789547,233.8549128730083,1799.7220208849758,267,287,289,286,0.4531101882457733,0.3151524066925049,0.5509447455406189,0.375754177570343,0.6675746440887451,0.43750813603401184,0.7729663252830505,0.5029252767562866
8,0.2467424951731314,0.2467424951731314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6349955722689629,255.10678195999935,2054.829539682949,287,284,269,289,0.46140316128730774,0.3169541656970978,0.5726509094238281,0.38384121656417847,0.6992349624633789,0.44806337356567383,0.8066932559013367,0.5131825804710388
9,0.23924232217540142,0.23924232217540142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6207499802112579,256.47344728698954,2311.304210521048,276,303,279,271,0.4603486657142639,0.317969411611557,0.5633796453475952,0.38121435046195984,0.6780537962913513,0.4422875642776489,0.7812178134918213,0.5060883164405823
10,0.22849984233745227,0.22849984233745227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6226267069578171,254.61201131902635,2565.9170545280213,311,285,277,256,0.46199601888656616,0.319522887468338,0.5635074973106384,0.3822670876979828,0.6780185699462891,0.4434889853000641,0.7869847416877747,0.5072082281112671
11,0.22923984475915574,0.22923984475915574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6186343878507614,256.1667518359609,2822.0845305490075,294,282,281,272,0.45831263065338135,0.32008254528045654,0.5592142343521118,0.3826841413974762,0.6716750860214233,0.4434888958930969,0.7853356003761292,0.5078800320625305
