dataset,prefix_horizon,k,full_to_prefix_subspace_overlap
ETTh2,96,8,0.743117
ETTh2,96,16,0.604808
ETTh2,96,32,0.648535
ETTh2,192,8,0.752754
ETTh2,192,16,0.685003
ETTh2,192,32,0.671218
ETTh2,336,8,0.781545
ETTh2,336,16,0.754168
ETTh2,336,32,0.764099
ETTm1,96,8,0.820811
ETTm1,96,16,0.709148
ETTm1,96,32,0.646782
ETTm1,192,8,0.917593
ETTm1,192,16,0.789954
ETTm1,192,32,0.687183
ETTm1,336,8,0.873783
ETTm1,336,16,0.809821
ETTm1,336,32,0.754974
Weather,96,8,0.651133
Weather,96,16,0.549984
Weather,96,32,0.622696
Weather,192,8,0.810613
Weather,192,16,0.624298
Weather,192,32,0.562236
Weather,336,8,0.874498
Weather,336,16,0.744683
Weather,336,32,0.674944
