dataset,residual_rows,residual_step_spearman,residual_label_pca_top8_energy,residual_dct_top8_energy,residual_pca_minus_dct_top8,residual_a6_basis_top8_energy,residual_a6_minus_dct_top8,residual_label_pca_top16_energy,residual_dct_top16_energy,residual_pca_minus_dct_top16,residual_a6_basis_top16_energy,residual_a6_minus_dct_top16,residual_label_pca_top32_energy,residual_dct_top32_energy,residual_pca_minus_dct_top32,residual_a6_basis_top32_energy,residual_a6_minus_dct_top32,residual_label_pca_top64_energy,residual_dct_top64_energy,residual_pca_minus_dct_top64,residual_a6_basis_top64_energy,residual_a6_minus_dct_top64,residual_label_pca_top128_energy,residual_dct_top128_energy,residual_pca_minus_dct_top128,residual_a6_basis_top128_energy,residual_a6_minus_dct_top128,residual_label_pca_top256_energy,residual_dct_top256_energy,residual_pca_minus_dct_top256,residual_a6_basis_top256_energy,residual_a6_minus_dct_top256
ETTh2,15127,0.536252,0.320442,0.320497,-0.000055,0.259725,-0.060772,0.337503,0.339653,-0.002151,0.269411,-0.070242,0.351088,0.353399,-0.002310,0.287257,-0.066142,0.365191,0.366531,-0.001340,0.335268,-0.031263,0.383674,0.381649,0.002025,0.423355,0.041707,0.499826,0.561022,-0.061196,0.555467,-0.005555
ETTm1,30000,0.306748,0.235091,0.267693,-0.032601,0.080906,-0.186787,0.276955,0.280038,-0.003082,0.090694,-0.189344,0.287345,0.288147,-0.000803,0.109808,-0.178339,0.294035,0.294452,-0.000417,0.151234,-0.143218,0.304905,0.301879,0.003026,0.243349,-0.058531,0.418033,0.497864,-0.079831,0.482637,-0.015227
Weather,30000,0.111694,0.114342,0.114782,-0.000440,0.036178,-0.078603,0.116204,0.116323,-0.000119,0.050377,-0.065947,0.118308,0.117879,0.000429,0.081288,-0.036591,0.146168,0.124214,0.021954,0.132648,0.008434,0.245827,0.237169,0.008659,0.235090,-0.002079,0.410475,0.363109,0.047366,0.419466,0.056357
