backbone,arm,dataset,horizon,mse,mae,seed,checkpoint_sha256,checkpoint_selector,test_access_date,test_role,test_tuned,checkpoint_retrained
itransformer_style,itransformer_original,ETTm1,96,0.3165338912338079,0.3503731457417544,2021,c2eeda8dd7ef9020f95125fd62e3d40525f1f4a7b301f4844a933a68b55e2c5e,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
itransformer_style,itransformer_original,ETTm1,192,0.3565571855045699,0.3721032013710828,2021,c2eeda8dd7ef9020f95125fd62e3d40525f1f4a7b301f4844a933a68b55e2c5e,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
itransformer_style,itransformer_original,ETTm1,336,0.3996746826150659,0.3965097883052288,2021,c2eeda8dd7ef9020f95125fd62e3d40525f1f4a7b301f4844a933a68b55e2c5e,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
itransformer_style,itransformer_original,ETTm1,720,0.47325194331172343,0.4337562955833439,2021,c2eeda8dd7ef9020f95125fd62e3d40525f1f4a7b301f4844a933a68b55e2c5e,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
itransformer_style,itransformer_iscf,ETTm1,96,0.31985206536008404,0.353619937739403,2021,b0a9f9cd4917a6e258c6978148543efca5adf451f7735b12150703c8ac76f412,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
itransformer_style,itransformer_iscf,ETTm1,192,0.3596008996491388,0.3761633911683828,2021,b0a9f9cd4917a6e258c6978148543efca5adf451f7735b12150703c8ac76f412,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
itransformer_style,itransformer_iscf,ETTm1,336,0.40300793863802453,0.4010838931697164,2021,b0a9f9cd4917a6e258c6978148543efca5adf451f7735b12150703c8ac76f412,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
itransformer_style,itransformer_iscf,ETTm1,720,0.4775577932949279,0.43992616921663585,2021,b0a9f9cd4917a6e258c6978148543efca5adf451f7735b12150703c8ac76f412,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
itransformer_style,itransformer_iscf_bsca,ETTm1,96,0.3248262820823989,0.3586023213638022,2021,5e4685ddd2ceaeaa98017f01be685d61fcf1b151d2e748ee32288ad9cd9a39bb,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
itransformer_style,itransformer_iscf_bsca,ETTm1,192,0.36364374833711227,0.3803463599785886,2021,5e4685ddd2ceaeaa98017f01be685d61fcf1b151d2e748ee32288ad9cd9a39bb,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
itransformer_style,itransformer_iscf_bsca,ETTm1,336,0.4057751345576199,0.40427863659377017,2021,5e4685ddd2ceaeaa98017f01be685d61fcf1b151d2e748ee32288ad9cd9a39bb,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
itransformer_style,itransformer_iscf_bsca,ETTm1,720,0.4782759206242414,0.44157384136295574,2021,5e4685ddd2ceaeaa98017f01be685d61fcf1b151d2e748ee32288ad9cd9a39bb,mean_validation_mse_h96_h192_h336_h720,2026-08-15,primary-mechanism-effectiveness-and-paper-benchmark,False,False
