arm,dataset,mean_mse,mean_mae,cell_count
itransformer_iscf,ETTh1,0.4452204018388884,0.44297006092159,4
itransformer_iscf,ETTh2,0.337281604202339,0.37805851827033043,4
itransformer_iscf,ETTm1,0.39000467423554386,0.3926983478235345,4
itransformer_iscf,ETTm2,0.2858870209587791,0.32361992516709503,4
itransformer_iscf,Weather,0.25151282854963913,0.2728460356641138,4
itransformer_iscf_bsca,ETTh1,0.457611903279132,0.45282441997981754,4
itransformer_iscf_bsca,ETTh2,0.33712397853444287,0.37837868369920685,4
itransformer_iscf_bsca,ETTm1,0.3931302714003431,0.3962002898247792,4
itransformer_iscf_bsca,ETTm2,0.29298499748490997,0.33085210405093163,4
itransformer_iscf_bsca,Weather,0.25251542323317955,0.272936730978493,4
itransformer_original,ETTh1,0.42452313025391575,0.42354353946716194,4
itransformer_original,ETTh2,0.3382090863394675,0.3780039871126211,4
itransformer_original,ETTm1,0.3865044256662918,0.3881856077503525,4
itransformer_original,ETTm2,0.2870087567034019,0.3241582573012758,4
itransformer_original,Weather,0.25171288117185564,0.27241612528405573,4
