dataset,loss_mode,target_horizon,mse,mae,source_path
ETTh2,full,96,0.24910904467105865,0.31970900297164917,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,full,192,0.2959613502025604,0.35337868332862854,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,full,336,0.3267449736595154,0.3787094056606293,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,full,720,0.40325209498405457,0.43513625860214233,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,multi-prefix,96,0.2427733838558197,0.3152416944503784,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,multi-prefix,192,0.28305697441101074,0.34591731429100037,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,multi-prefix,336,0.31285175681114197,0.37108421325683594,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,multi-prefix,720,0.39407140016555786,0.42946064472198486,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,full,96,0.16761432588100433,0.2530774176120758,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,full,192,0.2195192277431488,0.2874913811683655,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
