dataset,target_horizon,full_mse,multi_prefix_mse,relative_mse_pct,full_mae,multi_prefix_mae,relative_mae_pct,multi_prefix_win
ETTh2,96,0.24910904467105865,0.2427733838558197,-2.5433282936815904,0.31970900297164917,0.3152416944503784,-1.3973045737679435,True
ETTh2,192,0.2959613502025604,0.28305697441101074,-4.360155737469684,0.35337868332862854,0.34591731429100037,-2.1114372172498563,True
ETTh2,336,0.3267449736595154,0.31285175681114197,-4.252006294931054,0.3787094056606293,0.37108421325683594,-2.013467922850176,True
ETTh2,720,0.40325209498405457,0.39407140016555786,-2.2766638866091315,0.43513625860214233,0.42946064472198486,-1.3043302570073467,True
ETTm2,96,0.16761432588100433,0.16277703642845154,-2.8859642080874215,0.2530774176120758,0.2484007626771927,-1.8479147523354444,True
ETTm2,192,0.2195192277431488,0.21611815690994263,-1.5493270763441425,0.2874913811683655,0.28463125228881836,-0.9948572607371919,True
ETTm2,336,0.26930680871009827,0.2663716971874237,-1.0898764634778013,0.32044097781181335,0.31832632422447205,-0.6599198397725492,True
ETTm2,720,0.343566358089447,0.3409157395362854,-0.7715011935107818,0.3716011643409729,0.37010663747787476,-0.40218573204652275,True
Weather,96,0.14317019283771515,0.14142508804798126,-1.2189023113993946,0.18443308770656586,0.1816721260547638,-1.4969990938907718,True
Weather,192,0.18486426770687103,0.182559072971344,-1.2469660925399917,0.22576011717319489,0.22321417927742004,-1.1277181849713935,True
Weather,336,0.23452013731002808,0.23173436522483826,-1.1878605040671286,0.266031950712204,0.2635156512260437,-0.9458636375908269,True
Weather,720,0.3067764937877655,0.30361101031303406,-1.0318533325833656,0.31663402915000916,0.31451416015625,-0.6695013165356367,True
