dataset,loss_mode,best_epoch,best_val_mean_mse,last_epoch,last_val_mean_mse,last_gap_to_best_pct
ETTh2,full,1,0.4068785011768341,10,0.4913294166326523,20.755806760877448
ETTh2,multi-prefix,1,0.40034953132271767,10,0.4549475274980068,13.637582138513427
ETTm2,full,3,0.184626754373312,10,0.1864786073565483,1.0030252600833345
ETTm2,multi-prefix,3,0.1801447533071041,10,0.1831627432256937,1.675313803585854
Weather,full,5,0.4895046278834343,10,0.4907093271613121,0.24610579946644506
Weather,multi-prefix,7,0.48943012952804565,10,0.4897739887237549,0.07025705508583169
