dataset,settings,multi_prefix_wins,mean_relative_mse_pct,mean_relative_mae_pct
ETTh2,4,4,-3.3580385531728654,-1.706634992718831
ETTm2,4,4,-1.5741672353550369,-0.9762193962229271
Weather,4,4,-1.1713955601474701,-1.0600205582471571
ALL,12,12,-2.0345337828917907,-1.247624982396305
