dataset,loss_mode,epoch,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,val_mean_mse,lr,epoch_seconds,train_prediction_h96_l1,train_prediction_h192_l1,train_prediction_h336_l1,train_prediction_h720_l1
ETTh2,full,1,0.8527573223135113,0.542584299513724,0.542584299513724,0.2160855947078857,0.9408742803915412,0.4068785011768341,0.0005,4.417385578155518,,,,
ETTh2,full,2,0.7321494625205487,0.503745335525116,0.503745335525116,0.1360725644085787,0.9233156197366461,0.44637157022953033,0.0004877641290737884,3.652782440185547,,,,
ETTh2,full,3,0.6882621907027422,0.49412200619689134,0.49412200619689134,0.10237452532865304,0.9176565764752109,0.4561978578567505,0.0004522542485937369,3.694720506668091,,,,
ETTh2,full,4,0.6531456602094448,0.47755267688658387,0.47755267688658387,0.08402980908553685,0.915631772933808,0.4563849940896034,0.0003969463130731183,3.6462769508361816,,,,
ETTh2,full,5,0.6220928336930486,0.46881798173474,0.46881798173474,0.06200629233720556,0.912685594200033,0.48084989935159683,0.00032725424859373687,3.664383888244629,,,,
ETTh2,full,6,0.6007158030978347,0.46383116269006136,0.46383116269006136,0.04579032538870795,0.9109431721467888,0.4870177060365677,0.00025,3.679048776626587,,,,
ETTh2,full,7,0.5843755195362378,0.45893885379871435,0.45893885379871435,0.03448059050514635,0.9095607542358668,0.4869755432009697,0.00017274575140626317,3.752837657928467,,,,
ETTh2,full,8,0.5757384715618286,0.4572970052208521,0.4572970052208521,0.027606530279844207,0.9083493686882795,0.4934626370668411,0.00010305368692688174,3.6094353199005127,,,,
ETTh2,full,9,0.5688591149792207,0.45405905093766946,0.45405905093766946,0.02404909677374943,0.9075097096177329,0.48593859374523163,4.7745751406263163e-05,3.9214885234832764,,,,
ETTh2,full,10,0.5688726207060096,0.45570474296017033,0.45570474296017033,0.022454478810912212,0.9071339727503008,0.4913294166326523,1.2235870926211617e-05,4.286759614944458,,,,
ETTh2,multi-prefix,1,0.7602532263350698,0.45007340807830337,0.5438683961345031,0.2160855947078857,0.9409422552691097,0.40034953132271767,0.0005,5.002488613128662,0.3797506544969778,0.41726123970166773,0.45941334290314567,0.5438683961345031
ETTh2,multi-prefix,2,0.6440826605642791,0.41572527218181476,0.5093218701339401,0.1360725644085787,0.9228482473213061,0.4323347955942154,0.0004877641290737884,4.073894023895264,0.3459647341375857,0.3832988826047003,0.4243155989499219,0.5093218701339401
ETTh2,multi-prefix,3,0.6033149498753843,0.40923097940672815,0.501721460075505,0.10237452532865304,0.9170944714440709,0.43296102434396744,0.0004522542485937369,3.8626370429992676,0.33947112536535856,0.3770793901871791,0.4186519356691732,0.501721460075505
