segment_a,segment_b,cosine
0,1,-0.5328415632247925
0,2,0.7455284595489502
0,3,-0.5613483786582947
0,4,0.7998640537261963
0,5,-0.5880385637283325
0,6,0.7028889060020447
1,2,-0.3193514049053192
1,3,0.9787111282348633
1,4,-0.3990815579891205
1,5,0.9608769416809082
1,6,-0.34818920493125916
2,3,-0.2505871653556824
2,4,0.9807471036911011
2,5,-0.2614426910877228
2,6,0.9714345335960388
3,4,-0.32583338022232056
3,5,0.9942994117736816
3,6,-0.25270354747772217
4,5,-0.3286464512348175
4,6,0.982805609703064
5,6,-0.24365495145320892
