split,comparison,metric,dataset,horizon,candidate_value,reference_value,gain_percent
validation,transfer_spec_vs_a6,mse,Weather,96,0.389521490316838,0.39752307906746864,2.0128614342093454
validation,transfer_spec_vs_a6,mse,Weather,192,0.4478090398479253,0.4511818513274193,0.7475503435190989
validation,transfer_spec_vs_a6,mse,Weather,336,0.510473699575024,0.5111292526125908,0.1282558245719656
validation,transfer_spec_vs_a6,mse,Weather,720,0.5927621668204666,0.5915443831847773,-0.2058651337593531
validation,transfer_spec_vs_a6,mse,ETTm1,96,0.384823988036563,0.385598277207464,0.20080203068033597
validation,transfer_spec_vs_a6,mse,ETTm1,192,0.507055958500132,0.5066415629504869,-0.08179264788932272
validation,transfer_spec_vs_a6,mse,ETTm1,336,0.6585059430716294,0.6581350204401782,-0.05635965568326906
validation,transfer_spec_vs_a6,mse,ETTm1,720,0.9450653614476323,0.9476426164102223,0.27196486501978034
validation,transfer_spec_vs_a6,mse,ETTh1,96,0.763981904524068,0.8035110860752562,4.919556461164487
validation,transfer_spec_vs_a6,mse,ETTh1,192,1.008455496126165,1.0393715937777113,2.974498998878583
validation,transfer_spec_vs_a6,mse,ETTh1,336,1.2317668886943942,1.2506356836695756,1.5087363347747407
validation,transfer_spec_vs_a6,mse,ETTh1,720,1.4011295988741848,1.4098810522713594,0.6207228179338831
validation,transfer_spec_vs_a6,mse,ETTh2,96,0.236752016392226,0.23794827315335473,0.5027381561864663
validation,transfer_spec_vs_a6,mse,ETTh2,192,0.3161522332811728,0.31730930825384956,0.36465207372708974
validation,transfer_spec_vs_a6,mse,ETTh2,336,0.41482747610037524,0.4176896775496148,0.685245914151078
validation,transfer_spec_vs_a6,mse,ETTh2,720,0.6360772922531598,0.6381410531906618,0.32340200135744235
validation,transfer_spec_vs_a6,mse,ETTm2,96,0.11034275544807315,0.10954067499066393,-0.7322215765765305
validation,transfer_spec_vs_a6,mse,ETTm2,192,0.15036454214714468,0.1488501001149416,-1.017427620830369
validation,transfer_spec_vs_a6,mse,ETTm2,336,0.19671830712329774,0.19542567378708295,-0.6614449939791989
validation,transfer_spec_vs_a6,mse,ETTm2,720,0.27713731970224115,0.27440466980139416,-0.9958467189442599
validation,transfer_spec_vs_a6,mae,Weather,96,0.256934716211011,0.253185704893743,-1.4807357780493247
validation,transfer_spec_vs_a6,mae,Weather,192,0.29770285193808377,0.2927322205699359,-1.6980130709459473
validation,transfer_spec_vs_a6,mae,Weather,336,0.34217306621195304,0.336645853373089,-1.6418478895501076
validation,transfer_spec_vs_a6,mae,Weather,720,0.3935157650253839,0.38757561882957814,-1.5326418657974683
validation,transfer_spec_vs_a6,mae,ETTm1,96,0.4066440179012716,0.4053711254770557,-0.3140066828188237
validation,transfer_spec_vs_a6,mae,ETTm1,192,0.4667703606343518,0.4649615415061514,-0.38902553581983135
validation,transfer_spec_vs_a6,mae,ETTm1,336,0.5290557598872554,0.5280596475516047,-0.18863632929901897
validation,transfer_spec_vs_a6,mae,ETTm1,720,0.633165832877987,0.6325434183080991,-0.09839871096164465
validation,transfer_spec_vs_a6,mae,ETTh1,96,0.5897245189795891,0.6048070310304562,2.4937726046553754
validation,transfer_spec_vs_a6,mae,ETTh1,192,0.6756416509548823,0.6880569768448671,1.804403749659833
validation,transfer_spec_vs_a6,mae,ETTh1,336,0.753651542500371,0.7616743241392431,1.0533086628512045
