arm,dataset,epochs_ran,best_epoch_recomputed,best_epoch_reported,best_val_mean_mse,last_val_mean_mse,last_vs_best_degradation_percent,stopped_early,stop_triggered
A6_MEASURE_RETRAIN,Weather,20,18,18,0.48784463280361023,0.4879014418844784,0.011644912549657604,False,0
A6_MEASURE_RETRAIN,ETTm1,13,8,8,0.624504454691972,0.6252036699427417,0.11196321267468168,True,1
A6_MEASURE_RETRAIN,ETTh1,7,2,2,1.1258498376216886,1.1897241144174977,5.673427722007851,True,1
A6_MEASURE_RETRAIN,ETTh2,7,2,2,0.402772107804268,0.42291981595104544,5.002260026547933,True,1
A6_MEASURE_RETRAIN,ETTm2,10,5,5,0.18205529099717432,0.1840919612924428,1.118709752467506,True,1
A6_CST_SPEC,Weather,12,7,7,0.48514158953542985,0.48832487623939025,0.6561562176124136,True,1
A6_CST_SPEC,ETTm1,10,5,5,0.6238628636625695,0.6270411607091471,0.5094544380985333,True,1
A6_CST_SPEC,ETTh1,7,2,2,1.1013335308838,1.1577027413182863,5.1182687944905325,True,1
A6_CST_SPEC,ETTh2,6,1,1,0.40095226612553697,0.4401762219715035,9.782699627811976,True,1
A6_CST_SPEC,ETTm2,11,6,6,0.18364070250014294,0.19126490905910032,4.151697556782885,True,1
A6_CST_RANDOM,Weather,12,7,7,0.48750328356991446,0.4906965664538023,0.6550279744792498,True,1
A6_CST_RANDOM,ETTm1,10,5,5,0.6258722072687104,0.6277030844199804,0.2925321063959485,True,1
A6_CST_RANDOM,ETTh1,7,2,2,1.1112667369706157,1.1710839715098875,5.38279717634107,True,1
A6_CST_RANDOM,ETTh2,6,1,1,0.40872724143490713,0.4354535926886398,6.5389209586092845,True,1
A6_CST_RANDOM,ETTm2,11,6,6,0.18240600816114613,0.189346411700512,3.804920467989392,True,1
