comparison,metric,horizon,macro_gain_percent,dataset_wins
transfer_spec_vs_a6,mse,1,7.523031034853949,4
transfer_spec_vs_a6,mse,2,3.630096276293477,3
transfer_spec_vs_a6,mse,3,1.9296847609038381,3
transfer_spec_vs_a6,mse,4,1.4286179334063753,3
transfer_spec_vs_a6,mse,5,1.0630006644444046,3
transfer_spec_vs_a6,mse,6,0.5562828627338945,3
transfer_spec_vs_a6,mse,7,0.3284188097059061,3
transfer_spec_vs_a6,mse,8,-0.02693117587998728,3
transfer_spec_vs_a6,mse,9,-0.3234170407160075,3
transfer_spec_vs_a6,mse,10,-0.38987512548455994,3
transfer_spec_vs_a6,mse,11,-0.4489645543701726,3
transfer_spec_vs_a6,mse,12,-0.5783632986692733,3
transfer_spec_vs_a6,mse,13,-0.7050376711358042,3
transfer_spec_vs_a6,mse,14,-0.8276587298864246,3
transfer_spec_vs_a6,mse,15,-0.8484026821773627,3
transfer_spec_vs_a6,mse,16,-0.9304417920552299,2
transfer_spec_vs_a6,mse,17,-0.9909653503593807,2
transfer_spec_vs_a6,mse,18,-1.0167399471288707,2
transfer_spec_vs_a6,mse,19,-1.0894541656654133,2
transfer_spec_vs_a6,mse,20,-1.085633045664518,2
transfer_spec_vs_a6,mse,21,-1.05966260325558,2
transfer_spec_vs_a6,mse,22,-1.0788411350824978,2
transfer_spec_vs_a6,mse,23,-1.06680756672334,2
transfer_spec_vs_a6,mse,24,-1.0765437530481559,2
transfer_spec_vs_a6,mse,25,-1.0461731513051653,2
transfer_spec_vs_a6,mse,26,-1.0399773529673428,2
transfer_spec_vs_a6,mse,27,-1.018385975055185,2
transfer_spec_vs_a6,mse,28,-1.0009800882613473,2
transfer_spec_vs_a6,mse,29,-0.9830957841645716,2
transfer_spec_vs_a6,mse,30,-0.9577974948348222,2
transfer_spec_vs_a6,mse,31,-1.001358055764372,2
transfer_spec_vs_a6,mse,32,-0.9683567510752744,2
transfer_spec_vs_a6,mse,33,-0.9431154233085737,2
transfer_spec_vs_a6,mse,34,-0.958932113680584,2
transfer_spec_vs_a6,mse,35,-0.9723969335809901,2
transfer_spec_vs_a6,mse,36,-0.96816881404032,2
transfer_spec_vs_a6,mse,37,-0.9617342433455089,2
transfer_spec_vs_a6,mse,38,-0.9558478227522893,2
transfer_spec_vs_a6,mse,39,-0.9435596058889173,2
transfer_spec_vs_a6,mse,40,-0.9539787814794853,2
transfer_spec_vs_a6,mse,41,-0.9452320277822612,2
transfer_spec_vs_a6,mse,42,-0.9416152432905278,2
transfer_spec_vs_a6,mse,43,-0.937096134717228,2
transfer_spec_vs_a6,mse,44,-0.9472352879990176,2
transfer_spec_vs_a6,mse,45,-0.9553504215336539,2
transfer_spec_vs_a6,mse,46,-0.9521734853650465,2
transfer_spec_vs_a6,mse,47,-0.9418654387149816,2
transfer_spec_vs_a6,mse,48,-0.9709614880024953,2
transfer_spec_vs_a6,mse,49,-0.9708302404203328,2
transfer_spec_vs_a6,mse,50,-0.9361196389280257,2
transfer_spec_vs_a6,mse,51,-0.9116058220237355,2
transfer_spec_vs_a6,mse,52,-0.8639941682949948,2
transfer_spec_vs_a6,mse,53,-0.8281916898692421,2
transfer_spec_vs_a6,mse,54,-0.8168892900935298,2
transfer_spec_vs_a6,mse,55,-0.8138498629871727,2
transfer_spec_vs_a6,mse,56,-0.8034787360278317,2
transfer_spec_vs_a6,mse,57,-0.7855018516662837,2
transfer_spec_vs_a6,mse,58,-0.7678595982440317,2
transfer_spec_vs_a6,mse,59,-0.769524032443305,2
transfer_spec_vs_a6,mse,60,-0.7483244232894193,2
transfer_spec_vs_a6,mse,61,-0.7441099547080832,2
transfer_spec_vs_a6,mse,62,-0.7445513719722485,2
transfer_spec_vs_a6,mse,63,-0.7193242902443786,2
transfer_spec_vs_a6,mse,64,-0.7552727787594793,2
transfer_spec_vs_a6,mse,65,-0.7436518348248056,2
transfer_spec_vs_a6,mse,66,-0.7568842380064655,2
transfer_spec_vs_a6,mse,67,-0.7542612703960572,2
transfer_spec_vs_a6,mse,68,-0.7459908047379349,2
transfer_spec_vs_a6,mse,69,-0.7484546769739708,2
transfer_spec_vs_a6,mse,70,-0.737810067169169,2
transfer_spec_vs_a6,mse,71,-0.7457838448939103,2
transfer_spec_vs_a6,mse,72,-0.7491015030514236,2
transfer_spec_vs_a6,mse,73,-0.7398344067755969,2
transfer_spec_vs_a6,mse,74,-0.730622716549163,2
transfer_spec_vs_a6,mse,75,-0.7196122133505756,2
transfer_spec_vs_a6,mse,76,-0.7098605504228495,2
transfer_spec_vs_a6,mse,77,-0.7193594994556851,2
transfer_spec_vs_a6,mse,78,-0.7205924360029603,2
transfer_spec_vs_a6,mse,79,-0.723861125013936,2
transfer_spec_vs_a6,mse,80,-0.7197826821471609,2
transfer_spec_vs_a6,mse,81,-0.735267318368682,2
transfer_spec_vs_a6,mse,82,-0.7349599893056347,2
transfer_spec_vs_a6,mse,83,-0.7307932599579869,2
transfer_spec_vs_a6,mse,84,-0.7264909678813836,2
transfer_spec_vs_a6,mse,85,-0.7246288380123334,2
transfer_spec_vs_a6,mse,86,-0.7227874771955523,2
transfer_spec_vs_a6,mse,87,-0.7165144296535475,2
transfer_spec_vs_a6,mse,88,-0.7214596750741431,2
transfer_spec_vs_a6,mse,89,-0.7351159623802173,2
transfer_spec_vs_a6,mse,90,-0.7634992793448125,2
transfer_spec_vs_a6,mse,91,-0.7738623735980577,2
transfer_spec_vs_a6,mse,92,-0.7830659661582606,2
transfer_spec_vs_a6,mse,93,-0.7962345787909797,2
transfer_spec_vs_a6,mse,94,-0.8232055606524824,2
transfer_spec_vs_a6,mse,95,-0.8430539309655827,2
transfer_spec_vs_a6,mse,96,-0.8421744673322529,2
transfer_spec_vs_a6,mse,97,-0.8583237176208169,2
transfer_spec_vs_a6,mse,98,-0.8709767816519332,2
transfer_spec_vs_a6,mse,99,-0.8657254487919119,2
transfer_spec_vs_a6,mse,100,-0.8657766749182416,2
transfer_spec_vs_a6,mse,101,-0.8692868152373645,2
transfer_spec_vs_a6,mse,102,-0.8548262748041857,2
transfer_spec_vs_a6,mse,103,-0.8434262307395501,2
transfer_spec_vs_a6,mse,104,-0.847040748123844,2
transfer_spec_vs_a6,mse,105,-0.849559848146817,2
transfer_spec_vs_a6,mse,106,-0.844545646330428,2
transfer_spec_vs_a6,mse,107,-0.8492206157067761,2
transfer_spec_vs_a6,mse,108,-0.8434382694215681,2
transfer_spec_vs_a6,mse,109,-0.8589079162334001,2
transfer_spec_vs_a6,mse,110,-0.865834854049079,2
transfer_spec_vs_a6,mse,111,-0.8802950181636371,2
transfer_spec_vs_a6,mse,112,-0.8804444453224591,2
transfer_spec_vs_a6,mse,113,-0.8845204109149285,2
transfer_spec_vs_a6,mse,114,-0.8943239113545931,2
transfer_spec_vs_a6,mse,115,-0.8870540155518225,2
transfer_spec_vs_a6,mse,116,-0.8943153277033522,2
transfer_spec_vs_a6,mse,117,-0.8788576738414955,2
transfer_spec_vs_a6,mse,118,-0.8872471203569487,2
transfer_spec_vs_a6,mse,119,-0.8823946551172157,2
transfer_spec_vs_a6,mse,120,-0.8698553157618516,2
transfer_spec_vs_a6,mse,121,-0.8570301817347836,2
transfer_spec_vs_a6,mse,122,-0.8534465725997964,2
transfer_spec_vs_a6,mse,123,-0.8358298042029078,2
transfer_spec_vs_a6,mse,124,-0.8341943802760254,3
transfer_spec_vs_a6,mse,125,-0.8284396436531938,3
transfer_spec_vs_a6,mse,126,-0.8259440628674208,3
transfer_spec_vs_a6,mse,127,-0.8383447050685988,3
transfer_spec_vs_a6,mse,128,-0.839910044524883,3
transfer_spec_vs_a6,mse,129,-0.8358674745256023,3
transfer_spec_vs_a6,mse,130,-0.8385951234229982,3
transfer_spec_vs_a6,mse,131,-0.8370394902502154,3
transfer_spec_vs_a6,mse,132,-0.8332762441498542,3
transfer_spec_vs_a6,mse,133,-0.8343013298534774,3
transfer_spec_vs_a6,mse,134,-0.8346381190269692,3
transfer_spec_vs_a6,mse,135,-0.8425468043700368,3
transfer_spec_vs_a6,mse,136,-0.8572199744946474,3
transfer_spec_vs_a6,mse,137,-0.8714815729312408,3
transfer_spec_vs_a6,mse,138,-0.8705954040097952,3
transfer_spec_vs_a6,mse,139,-0.8698329915600667,3
transfer_spec_vs_a6,mse,140,-0.8718769554864569,3
transfer_spec_vs_a6,mse,141,-0.8779917761239808,3
transfer_spec_vs_a6,mse,142,-0.870327279103893,3
transfer_spec_vs_a6,mse,143,-0.8853045386347991,3
transfer_spec_vs_a6,mse,144,-0.8908659928724605,3
transfer_spec_vs_a6,mse,145,-0.8875079286566945,3
transfer_spec_vs_a6,mse,146,-0.8744677865653561,3
transfer_spec_vs_a6,mse,147,-0.8677630594604224,3
transfer_spec_vs_a6,mse,148,-0.8492259170683392,3
transfer_spec_vs_a6,mse,149,-0.8430893084717317,3
transfer_spec_vs_a6,mse,150,-0.8419293997643673,3
transfer_spec_vs_a6,mse,151,-0.8308615957906262,3
transfer_spec_vs_a6,mse,152,-0.8214649371515303,3
transfer_spec_vs_a6,mse,153,-0.8184984127065231,3
transfer_spec_vs_a6,mse,154,-0.8135207693862778,3
transfer_spec_vs_a6,mse,155,-0.8155267317388093,3
transfer_spec_vs_a6,mse,156,-0.8125262472125638,3
transfer_spec_vs_a6,mse,157,-0.8052962474933723,3
transfer_spec_vs_a6,mse,158,-0.8033337422494791,3
transfer_spec_vs_a6,mse,159,-0.8060997518025026,3
transfer_spec_vs_a6,mse,160,-0.8003149043173252,3
transfer_spec_vs_a6,mse,161,-0.8051402704705146,3
transfer_spec_vs_a6,mse,162,-0.8066834607910356,3
transfer_spec_vs_a6,mse,163,-0.8003720052147645,3
transfer_spec_vs_a6,mse,164,-0.8128506215063802,3
transfer_spec_vs_a6,mse,165,-0.8055720836587033,3
transfer_spec_vs_a6,mse,166,-0.811164724131912,3
transfer_spec_vs_a6,mse,167,-0.8098962290127631,3
transfer_spec_vs_a6,mse,168,-0.8184842318714947,3
transfer_spec_vs_a6,mse,169,-0.8163329639561834,3
transfer_spec_vs_a6,mse,170,-0.8110377552597425,3
transfer_spec_vs_a6,mse,171,-0.8024253323028918,3
transfer_spec_vs_a6,mse,172,-0.7870108417142929,3
transfer_spec_vs_a6,mse,173,-0.7779226026180419,3
transfer_spec_vs_a6,mse,174,-0.7645357555027088,3
transfer_spec_vs_a6,mse,175,-0.7504177212518082,3
transfer_spec_vs_a6,mse,176,-0.7431594484534032,2
transfer_spec_vs_a6,mse,177,-0.7333417494869865,2
transfer_spec_vs_a6,mse,178,-0.7340607468966276,2
transfer_spec_vs_a6,mse,179,-0.7242776516985128,2
transfer_spec_vs_a6,mse,180,-0.7251647176791431,2
transfer_spec_vs_a6,mse,181,-0.7150873153982618,2
transfer_spec_vs_a6,mse,182,-0.7191593888616765,2
transfer_spec_vs_a6,mse,183,-0.7180146685972355,2
transfer_spec_vs_a6,mse,184,-0.7104237594430529,2
transfer_spec_vs_a6,mse,185,-0.7102320280735475,2
transfer_spec_vs_a6,mse,186,-0.7169231522688846,2
transfer_spec_vs_a6,mse,187,-0.7169709918565581,2
transfer_spec_vs_a6,mse,188,-0.7100592539675699,2
transfer_spec_vs_a6,mse,189,-0.7062303180751539,2
transfer_spec_vs_a6,mse,190,-0.7047471382007031,2
transfer_spec_vs_a6,mse,191,-0.7141197182237247,2
transfer_spec_vs_a6,mse,192,-0.7137086140038673,2
transfer_spec_vs_a6,mse,193,-0.7129231916837719,2
transfer_spec_vs_a6,mse,194,-0.7182335227668601,2
transfer_spec_vs_a6,mse,195,-0.7131103023002172,2
transfer_spec_vs_a6,mse,196,-0.70613570541747,2
transfer_spec_vs_a6,mse,197,-0.6950992143152068,2
transfer_spec_vs_a6,mse,198,-0.6863392156249071,2
transfer_spec_vs_a6,mse,199,-0.6813340805735502,2
transfer_spec_vs_a6,mse,200,-0.6921669421852417,2
transfer_spec_vs_a6,mse,201,-0.6926099243526962,2
transfer_spec_vs_a6,mse,202,-0.6995878935598476,2
transfer_spec_vs_a6,mse,203,-0.7010543944387404,2
transfer_spec_vs_a6,mse,204,-0.7038722491475258,2
transfer_spec_vs_a6,mse,205,-0.709360780332251,2
transfer_spec_vs_a6,mse,206,-0.7092304866890742,2
transfer_spec_vs_a6,mse,207,-0.7138010666754768,2
transfer_spec_vs_a6,mse,208,-0.715228012226452,2
transfer_spec_vs_a6,mse,209,-0.7208615879298685,2
transfer_spec_vs_a6,mse,210,-0.722688415303403,2
transfer_spec_vs_a6,mse,211,-0.7207899900356862,2
transfer_spec_vs_a6,mse,212,-0.7244886658490213,2
transfer_spec_vs_a6,mse,213,-0.7299470343834846,2
transfer_spec_vs_a6,mse,214,-0.7212517614432179,2
transfer_spec_vs_a6,mse,215,-0.719551514678991,2
transfer_spec_vs_a6,mse,216,-0.7176509225249439,2
transfer_spec_vs_a6,mse,217,-0.708920301853686,2
transfer_spec_vs_a6,mse,218,-0.7110066891070033,2
transfer_spec_vs_a6,mse,219,-0.7045800868576357,2
transfer_spec_vs_a6,mse,220,-0.7047335392072429,2
transfer_spec_vs_a6,mse,221,-0.693124513039709,2
transfer_spec_vs_a6,mse,222,-0.692758842286525,2
transfer_spec_vs_a6,mse,223,-0.6839677277541534,2
transfer_spec_vs_a6,mse,224,-0.687591341063507,2
transfer_spec_vs_a6,mse,225,-0.6855063636222325,2
transfer_spec_vs_a6,mse,226,-0.6847547155959144,2
transfer_spec_vs_a6,mse,227,-0.688537166549219,2
transfer_spec_vs_a6,mse,228,-0.6925852257342746,2
transfer_spec_vs_a6,mse,229,-0.6965823374330071,2
transfer_spec_vs_a6,mse,230,-0.6966949377897613,2
transfer_spec_vs_a6,mse,231,-0.6986834855360224,2
transfer_spec_vs_a6,mse,232,-0.7042461060742511,2
transfer_spec_vs_a6,mse,233,-0.7054039157935632,2
transfer_spec_vs_a6,mse,234,-0.7131787070131423,2
transfer_spec_vs_a6,mse,235,-0.721947796727489,2
