comparison,metric,bin,start_horizon,end_horizon,macro_gain_percent,horizon_wins
transfer_spec_vs_a6,mse,H1_48,1,48,-0.42395823362230617,7
transfer_spec_vs_a6,mse,H49_96,49,96,-0.7691251186336597,0
transfer_spec_vs_a6,mse,H97_144,97,144,-0.8596062125335068,0
transfer_spec_vs_a6,mse,H145_192,145,192,-0.7809782083392514,0
transfer_spec_vs_a6,mse,H193_288,193,288,-0.684582203775053,0
transfer_spec_vs_a6,mse,H289_336,289,336,-0.6984159562386777,0
transfer_spec_vs_a6,mse,H337_512,337,512,-0.6794279914204623,0
transfer_spec_vs_a6,mse,H513_720,513,720,-0.7249139005932914,0
transfer_spec_vs_a6,mae,H1_48,1,48,-0.6936172518455006,3
transfer_spec_vs_a6,mae,H49_96,49,96,-0.7467107029971672,0
transfer_spec_vs_a6,mae,H97_144,97,144,-0.7660667549905805,0
transfer_spec_vs_a6,mae,H145_192,145,192,-0.6874739257341683,0
transfer_spec_vs_a6,mae,H193_288,193,288,-0.5226235840313204,0
transfer_spec_vs_a6,mae,H289_336,289,336,-0.4703541653347843,0
transfer_spec_vs_a6,mae,H337_512,337,512,-0.44134925694078747,0
transfer_spec_vs_a6,mae,H513_720,513,720,-0.46612759543128834,0
specificity_spec_vs_random,mse,H1_48,1,48,0.9852349228760806,48
specificity_spec_vs_random,mse,H49_96,49,96,0.28480527535889666,48
specificity_spec_vs_random,mse,H97_144,97,144,0.2765130879120645,48
specificity_spec_vs_random,mse,H145_192,145,192,0.2749939742975702,48
specificity_spec_vs_random,mse,H193_288,193,288,0.17993987036081588,96
specificity_spec_vs_random,mse,H289_336,289,336,0.0857817718072439,48
specificity_spec_vs_random,mse,H337_512,337,512,0.018967070662205845,116
specificity_spec_vs_random,mse,H513_720,513,720,-0.011422152847464133,0
specificity_spec_vs_random,mae,H1_48,1,48,0.627314331806903,48
specificity_spec_vs_random,mae,H49_96,49,96,0.07527644608170038,48
specificity_spec_vs_random,mae,H97_144,97,144,0.08164391894712446,48
specificity_spec_vs_random,mae,H145_192,145,192,0.07899715110020147,48
specificity_spec_vs_random,mae,H193_288,193,288,0.05016111824663681,96
specificity_spec_vs_random,mae,H289_336,289,336,0.016334109261692587,48
specificity_spec_vs_random,mae,H337_512,337,512,-0.00959468234129877,36
specificity_spec_vs_random,mae,H513_720,513,720,-0.03441649873385224,0
capacity_random_vs_a6,mse,H1_48,1,48,-1.4411240990620242,2
capacity_random_vs_a6,mse,H49_96,49,96,-1.0579094548138812,0
capacity_random_vs_a6,mse,H97_144,97,144,-1.1373744531560328,0
capacity_random_vs_a6,mse,H145_192,145,192,-1.056561006728555,0
capacity_random_vs_a6,mse,H193_288,193,288,-0.8634844822428918,0
capacity_random_vs_a6,mse,H289_336,289,336,-0.7824650206766642,0
capacity_random_vs_a6,mse,H337_512,337,512,-0.6974245673834016,0
capacity_random_vs_a6,mse,H513_720,513,720,-0.7142180232883508,0
capacity_random_vs_a6,mae,H1_48,1,48,-1.3478460242177843,0
capacity_random_vs_a6,mae,H49_96,49,96,-0.8243807293277142,0
capacity_random_vs_a6,mae,H97_144,97,144,-0.848529301758423,0
capacity_random_vs_a6,mae,H145_192,145,192,-0.7671370139558933,0
capacity_random_vs_a6,mae,H193_288,193,288,-0.5732405490983851,0
capacity_random_vs_a6,mae,H289_336,289,336,-0.48707096574081554,0
capacity_random_vs_a6,mae,H337_512,337,512,-0.43237075823224774,0
capacity_random_vs_a6,mae,H513_720,513,720,-0.4326827657219803,0
