candidate_family,control_family,horizon,mse_reduction,mae_reduction
block_dct2_b144,balanced_interval,48,0.025502985404952994,0.009163586944732183
block_dct2_b144,balanced_interval,96,0.023439205816875863,0.01007771525397927
block_dct2_b144,balanced_interval,144,0.015209679148359467,0.007555803258018967
block_dct2_b144,balanced_interval,192,0.005442599201005649,0.0026136950162393147
block_dct2_b144,balanced_interval,288,-0.0018198734292769192,-0.00033993650656016783
block_dct2_b144,balanced_interval,336,-0.00532153946612679,-0.0017558504852386303
block_dct2_b144,balanced_interval,512,-0.008446880650082145,-0.0038435332831900926
block_dct2_b144,balanced_interval,720,-0.00907441778076179,-0.005136439451863595
block_dct2_b144,dct2,48,0.017121394524972522,0.009372802389349788
block_dct2_b144,dct2,96,0.01464002167138756,0.00657832882650955
block_dct2_b144,dct2,144,0.004082790491440336,0.0016219981361652591
block_dct2_b144,dct2,192,-0.002912103267452615,-0.0027546076518920604
block_dct2_b144,dct2,288,-0.0090696496317344,-0.005742528632267652
block_dct2_b144,dct2,336,-0.011992015211947926,-0.007099793377067787
block_dct2_b144,dct2,512,-0.013636385036443377,-0.008075176999726041
block_dct2_b144,dct2,720,-0.012397112528928389,-0.007984625265548217
