candidate_family,control_family,dataset,mse_reduction,mae_reduction,positive_checkpoints
block_dct2_b144,balanced_interval,ETTh1,0.0020094581620814234,-0.005817289377350043,3
block_dct2_b144,balanced_interval,ETTh2,0.008988943620018564,0.005682836982499939,3
block_dct2_b144,balanced_interval,ETTm1,0.004171583594556161,0.0030792964593440164,3
block_dct2_b144,balanced_interval,ETTm2,0.014177888918345927,0.010076906530151253,3
block_dct2_b144,balanced_interval,Weather,-0.0008976683844734712,-0.001560252210629498,1
block_dct2_b144,dct2,ETTh1,0.0005786342495531782,-0.006743785241644762,2
block_dct2_b144,dct2,ETTh2,-0.003725587655923901,-0.002009622340886086,0
block_dct2_b144,dct2,ETTm1,-0.009791444530474092,-0.006275819054810672,0
block_dct2_b144,dct2,ETTm2,0.005911702122813445,0.005111371590375113,3
block_dct2_b144,dct2,Weather,-0.0015551529694191046,0.0011679767448382616,0
