candidate,baseline,dataset,horizon,baseline_mse,candidate_mse,delta_mse,relative_mse_change,baseline_mae,candidate_mae,delta_mae,relative_mae_change,baseline_epochs,candidate_epochs,baseline_parameter_count,candidate_parameter_count,parameter_ratio,candidate_passes_mse
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,ETTh2,96,0.30123046040534973,0.30888018012046814,0.007649719715118408,0.025394907622637464,0.36003977060317993,0.36423516273498535,0.00419539213180542,0.011652579726891887,12,13,1066816,1228784,1.1518237446757453,False
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,ETTh2,192,0.3914529085159302,0.3692687749862671,-0.022184133529663086,-0.05667127015039231,0.4186992049217224,0.40500208735466003,-0.013697117567062378,-0.03271350269132494,14,12,1583264,1745232,1.1023000586130929,True
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,ETTh2,336,0.3844643831253052,0.3872210383415222,0.002756655216217041,0.007170118578496745,0.4182983636856079,0.4177112877368927,-0.00058707594871521,-0.0014034861230211623,11,12,2357936,2519904,1.068690583629072,False
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,ETTh2,720,0.40226325392723083,0.40387460589408875,0.0016113519668579102,0.004005715041397748,0.4394509792327881,0.4413794279098511,0.0019284486770629883,0.004388313528006593,11,13,4423728,4585696,1.0366134626722077,False
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,ETTm1,96,0.2897811233997345,0.2947411835193634,0.004960060119628906,0.017116574266249983,0.3464817702770233,0.3491145670413971,0.0026327967643737793,0.007598658833533359,15,12,1066816,1228784,1.1518237446757453,False
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,ETTm1,192,0.3337422311306,0.3306315243244171,-0.0031107068061828613,-0.009320686793651774,0.37124085426330566,0.3712511956691742,1.0341405868530273e-05,2.7856324943147407e-05,11,12,1583264,1745232,1.1023000586130929,True
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,ETTm1,336,0.36799493432044983,0.3661655783653259,-0.0018293559551239014,-0.004971144394968489,0.39499378204345703,0.39285436272621155,-0.0021394193172454834,-0.005416336698206823,12,11,2357936,2519904,1.068690583629072,True
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,ETTm1,720,0.4106070399284363,0.41226068139076233,0.0016536414623260498,0.004027309085139551,0.42123308777809143,0.4195142984390259,-0.0017187893390655518,-0.004080375898607049,11,11,4423728,4585696,1.0366134626722077,False
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,Weather,96,0.1495135873556137,0.14832469820976257,-0.0011888891458511353,-0.007951713064200627,0.20226888358592987,0.19751101732254028,-0.004757866263389587,-0.023522482445345102,12,14,1066816,1228784,1.1518237446757453,True
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,Weather,192,0.19495533406734467,0.19597457349300385,0.0010192394256591797,0.005228066369843963,0.24255649745464325,0.2433708757162094,0.0008143782615661621,0.0033574786497667266,15,11,1583264,1745232,1.1023000586130929,False
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,Weather,336,0.24921225011348724,0.25197461247444153,0.0027623623609542847,0.011084376308533588,0.28483790159225464,0.28803375363349915,0.003195852041244507,0.01121989743422337,14,14,2357936,2519904,1.068690583629072,False
PatchEncoderFutureAwareAlignOnly,PatchEncoderFixedHeadAdapter,Weather,720,0.32664790749549866,0.32322680950164795,-0.003421097993850708,-0.010473350403745819,0.34054994583129883,0.3396925628185272,-0.0008573830127716064,-0.0025176424875907504,12,11,4423728,4585696,1.0366134626722077,True
