model,dataset,horizon,delta_mse_to_base,delta_mae_to_base,mean_abs_gamma,mean_abs_beta,delta_to_base_mae_ratio
PatchEncoderFutureAwareAlignOnly,ETTh2,96,0.04241689294576645,0.13990609347820282,0.35608139634132385,0.0590851865708828,0.10620921850204468
PatchEncoderFutureAwareAlignOnly,ETTh2,192,0.03869447112083435,0.13661564886569977,0.42303577065467834,0.05492275953292847,0.10302161425352097
PatchEncoderFutureAwareAlignOnly,ETTh2,336,0.03985121101140976,0.14227622747421265,0.4661531150341034,0.04684368520975113,0.10718492418527603
PatchEncoderFutureAwareAlignOnly,ETTh2,720,0.05235573649406433,0.1623746156692505,0.5240432620048523,0.06440126150846481,0.1197543814778328
PatchEncoderFutureAwareAlignOnly,ETTm1,96,0.38264915347099304,0.3722805380821228,0.4648304879665375,0.012670319527387619,0.36729562282562256
PatchEncoderFutureAwareAlignOnly,ETTm1,192,0.6225573420524597,0.49466320872306824,0.5486751794815063,0.019166700541973114,0.4499576687812805
PatchEncoderFutureAwareAlignOnly,ETTm1,336,0.44309353828430176,0.41417837142944336,0.5162871479988098,0.01816941425204277,0.4085824489593506
PatchEncoderFutureAwareAlignOnly,ETTm1,720,0.5250758528709412,0.4626484215259552,0.5774993896484375,0.03777597099542618,0.4485650956630707
PatchEncoderFutureAwareAlignOnly,Weather,96,0.1408286988735199,0.21442663669586182,0.5280974507331848,0.013695811852812767,0.3052757680416107
PatchEncoderFutureAwareAlignOnly,Weather,192,0.0899110957980156,0.18214432895183563,0.5343589782714844,0.011739088222384453,0.2799530625343323
PatchEncoderFutureAwareAlignOnly,Weather,336,0.20664815604686737,0.2900440990924835,0.6736829876899719,0.03240478038787842,0.4140457808971405
PatchEncoderFutureAwareAlignOnly,Weather,720,0.12888845801353455,0.22357116639614105,0.6216158866882324,0.01145679410547018,0.3510837256908417
PatchEncoderFutureAwareScaleNorm,ETTh2,96,0.04226662218570709,0.13970819115638733,0.351937860250473,0.061358850449323654,0.10635311901569366
PatchEncoderFutureAwareScaleNorm,ETTh2,192,0.03849979490041733,0.1360105723142624,0.42139407992362976,0.05582031235098839,0.10271254181861877
PatchEncoderFutureAwareScaleNorm,ETTh2,336,0.03899085521697998,0.1406671106815338,0.46177297830581665,0.04983728751540184,0.10626652836799622
PatchEncoderFutureAwareScaleNorm,ETTh2,720,0.05188062787055969,0.1618276834487915,0.5231412649154663,0.06420370191335678,0.11941035836935043
PatchEncoderFutureAwareScaleNorm,ETTm1,96,0.4693956971168518,0.41949573159217834,0.49972373247146606,0.014374617487192154,0.39760762453079224
PatchEncoderFutureAwareScaleNorm,ETTm1,192,0.7040826082229614,0.5341336131095886,0.5704922676086426,0.022003917023539543,0.47214582562446594
PatchEncoderFutureAwareScaleNorm,ETTm1,336,0.47498226165771484,0.43201372027397156,0.529440701007843,0.018126100301742554,0.4204130470752716
PatchEncoderFutureAwareScaleNorm,ETTm1,720,0.5331158638000488,0.46743401885032654,0.5789717435836792,0.03508586063981056,0.4528805911540985
PatchEncoderFutureAwareScaleNorm,Weather,96,0.15473739802837372,0.2256956249475479,0.539310097694397,0.015525547787547112,0.318854421377182
PatchEncoderFutureAwareScaleNorm,Weather,192,0.09546814858913422,0.1875990629196167,0.5409948229789734,0.009969033300876617,0.2865805923938751
PatchEncoderFutureAwareScaleNorm,Weather,336,0.23634561896324158,0.30139783024787903,0.6691319942474365,0.0314028263092041,0.4227224588394165
PatchEncoderFutureAwareScaleNorm,Weather,720,0.13211257755756378,0.2236032783985138,0.6202570796012878,0.01207959745079279,0.35124439001083374
