model,dataset,horizon,alignment_loss,reconstruction_loss,raw_reconstruction_loss,teacher_student_cosine,prediction_leakage_max_abs
PatchEncoderFutureAwareAlignOnly,ETTh2,96,0.8169751140204343,2.3966462557966057,2.3966462557966057,0.1830248756503517,0.0
PatchEncoderFutureAwareAlignOnly,ETTh2,192,0.8141465403816917,2.572541605342518,2.572541605342518,0.18585344361649317,0.0
PatchEncoderFutureAwareAlignOnly,ETTh2,336,0.8409940987825394,2.8377460539340973,2.8377460539340973,0.15900589043158106,0.0
PatchEncoderFutureAwareAlignOnly,ETTh2,720,0.8146535333465127,4.005499096477733,4.005499096477733,0.18534644802703576,0.0
PatchEncoderFutureAwareAlignOnly,ETTm1,96,0.7200171338187323,1.9245433343781366,1.9245433343781366,0.27998285314275156,0.0
PatchEncoderFutureAwareAlignOnly,ETTm1,192,0.721977314922247,2.0656322729721497,2.0656322729721497,0.27802267168345074,0.0
PatchEncoderFutureAwareAlignOnly,ETTm1,336,0.7778993127020922,2.1372941942377524,2.1372941942377524,0.2221006734974005,0.0
PatchEncoderFutureAwareAlignOnly,ETTm1,720,0.730134398095748,2.572507309913635,2.572507309913635,0.26986558647716746,0.0
PatchEncoderFutureAwareAlignOnly,Weather,96,0.5154894583108949,391.2813511098303,391.2813511098303,0.4845105150669086,0.0
PatchEncoderFutureAwareAlignOnly,Weather,192,0.597714853875431,493.8788280707818,493.8788280707818,0.40228512395679217,0.0
PatchEncoderFutureAwareAlignOnly,Weather,336,0.6588063009083271,603.230315348506,603.230315348506,0.3411936873846571,0.0
PatchEncoderFutureAwareAlignOnly,Weather,720,0.6976488580951443,1135.6356871406754,1135.6356871406754,0.3023511225526983,0.0
PatchEncoderFutureAwareScaleNorm,ETTh2,96,0.8235896012999795,0.6005573909391057,1.0942637595263394,0.1764103936200792,0.0
PatchEncoderFutureAwareScaleNorm,ETTh2,192,0.8235150440172716,0.5298901078375903,1.0786893300034783,0.17648494565351444,0.0
PatchEncoderFutureAwareScaleNorm,ETTh2,336,0.8307721376419067,0.5286901235580445,1.3039668530225754,0.1692278548143804,0.0
PatchEncoderFutureAwareScaleNorm,ETTh2,720,0.7887403404011446,0.4597606474862379,1.7769986776744617,0.21125964119153864,0.0
PatchEncoderFutureAwareScaleNorm,ETTm1,96,0.3346932073434194,0.08766239237868123,0.18165954964028463,0.6653067565626568,0.0
PatchEncoderFutureAwareScaleNorm,ETTm1,192,0.31374945332495013,0.09869091758985868,0.23446495448019397,0.6862505178773002,0.0
PatchEncoderFutureAwareScaleNorm,ETTm1,336,0.5814211795275862,0.17783553843301805,0.47748658238825475,0.41857880099930544,0.0
PatchEncoderFutureAwareScaleNorm,ETTm1,720,0.5228096786667319,0.19857437005814385,0.6913358771625687,0.47719029451117795,0.0
PatchEncoderFutureAwareScaleNorm,Weather,96,0.4159406823355977,0.33111741057619815,382.17745623846605,0.5840592980384827,0.0
PatchEncoderFutureAwareScaleNorm,Weather,192,0.5377334709520694,0.44700891864888465,489.1041954171694,0.46226650568438166,0.0
PatchEncoderFutureAwareScaleNorm,Weather,336,0.6942843310534954,0.4561418431345373,584.7139916142448,0.30571565565187486,0.0
PatchEncoderFutureAwareScaleNorm,Weather,720,0.6745626756123134,0.5715137422084808,1126.614075081689,0.3254373131634353,0.0
