candidate,baseline,dataset,horizon,baseline_mse,candidate_mse,delta_mse,relative_mse_change,baseline_mae,candidate_mae,delta_mae,relative_mae_change,baseline_epochs,candidate_epochs,baseline_parameter_count,candidate_parameter_count,parameter_ratio,candidate_passes_mse
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,ETTh2,96,0.30123046040534973,0.3097114861011505,0.008481025695800781,0.02815460854917633,0.36003977060317993,0.3644661009311676,0.004426330327987671,0.01229400385566343,12,13,1066816,1228784,1.1518237446757453,False
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,ETTh2,192,0.3914529085159302,0.36871927976608276,-0.022733628749847412,-0.0580750027788394,0.4186992049217224,0.4046989679336548,-0.014000236988067627,-0.03343745778233572,14,12,1583264,1745232,1.1023000586130929,True
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,ETTh2,336,0.3844643831253052,0.3875158727169037,0.0030514895915985107,0.007936989030799155,0.4182983636856079,0.4178065359592438,-0.0004918277263641357,-0.0011757820949397553,11,12,2357936,2519904,1.068690583629072,False
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,ETTh2,720,0.40226325392723083,0.403959721326828,0.001696467399597168,0.004217306410751746,0.4394509792327881,0.4412390887737274,0.001788109540939331,0.004068962467807189,11,13,4423728,4585696,1.0366134626722077,False
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,ETTm1,96,0.2897811233997345,0.29747316241264343,0.0076920390129089355,0.026544306691427447,0.3464817702770233,0.35075199604034424,0.004270225763320923,0.012324532283204221,15,12,1066816,1228784,1.1518237446757453,False
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,ETTm1,192,0.3337422311306,0.33088263869285583,-0.0028595924377441406,-0.008568266677120418,0.37124085426330566,0.37153884768486023,0.00029799342155456543,0.0008026956573675243,11,12,1583264,1745232,1.1023000586130929,True
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,ETTm1,336,0.36799493432044983,0.36617177724838257,-0.0018231570720672607,-0.004954299372174662,0.39499378204345703,0.3922448456287384,-0.002748936414718628,-0.006959442248678718,12,11,2357936,2519904,1.068690583629072,True
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,ETTm1,720,0.4106070399284363,0.4123333692550659,0.0017263293266296387,0.004204334457905341,0.42123308777809143,0.4190947115421295,-0.002138376235961914,-0.005076467870179339,11,11,4423728,4585696,1.0366134626722077,False
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,Weather,96,0.1495135873556137,0.14816604554653168,-0.0013475418090820312,-0.009012838451109747,0.20226888358592987,0.197761669754982,-0.004507213830947876,-0.02228327833249288,12,14,1066816,1228784,1.1518237446757453,True
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,Weather,192,0.19495533406734467,0.19602474570274353,0.0010694116353988647,0.00548541870123672,0.24255649745464325,0.24339842796325684,0.0008419305086135864,0.003471069699013208,15,11,1583264,1745232,1.1023000586130929,False
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,Weather,336,0.24921225011348724,0.25125449895858765,0.002042248845100403,0.008194817245823171,0.28483790159225464,0.28815823793411255,0.00332033634185791,0.011656933025054265,14,14,2357936,2519904,1.068690583629072,False
PatchEncoderFutureAwareScaleNorm,PatchEncoderFixedHeadAdapter,Weather,720,0.32664790749549866,0.3233388364315033,-0.0033090710639953613,-0.010130391127764876,0.34054994583129883,0.33991727232933044,-0.0006326735019683838,-0.0018577994497224108,12,11,4423728,4585696,1.0366134626722077,True
