run_name,dataset,epochs_ran,best_epoch,best_val_mean_mse,last_val_mean_mse,train_prediction_l1_drop_pct,train_alignment_loss_first,train_alignment_loss_last
TimeAlignCarrierFixedH96,ETTh2,10,8,0.20396824181079865,0.20596513152122498,-14.975926299572285,1.087445104708437,0.9123288246451832
TimeAlignCarrierFixedH192,ETTh2,9,6,0.27298271656036377,0.28073689341545105,-12.528949084656693,1.0796420880867732,0.9248623256861421
TimeAlignCarrierFixedH336,ETTh2,10,9,0.3743418753147125,0.390520840883255,-11.276799637787482,1.073663107956512,0.9427319101140469
TimeAlignCarrierFixedH720,ETTh2,4,1,0.638833224773407,0.6829140186309814,-5.878624517929665,1.0638848389519586,0.974509113629659
TimeAlignCarrierUnified720,ETTh2,5,2,0.4044154956936836,0.42006251215934753,-7.065264772974511,1.0638848389519586,0.9670924059549968
TimeAlignCarrierFixedH96,ETTm2,4,1,0.1119348555803299,0.11234508454799652,-7.21142466701944,0.9950640569714939,0.9138065496816581
TimeAlignCarrierFixedH192,ETTm2,5,2,0.1525857299566269,0.15716472268104553,-5.89868899451107,1.0031672422370947,0.9668319273516749
TimeAlignCarrierFixedH336,ETTm2,6,3,0.19628497958183289,0.19900783896446228,-5.520075332875097,1.0014739495407659,1.0114383988416866
TimeAlignCarrierFixedH720,ETTm2,5,2,0.26191025972366333,0.27187055349349976,-4.349176872409499,1.0142796215227836,0.9819515638305369
TimeAlignCarrierUnified720,ETTm2,5,2,0.17657034657895565,0.18151255510747433,-4.349176872409499,1.0142796215227836,0.9819515638305369
TimeAlignCarrierFixedH96,Weather,10,7,0.37770816683769226,0.378569632768631,-9.365266027044727,0.7182424604734067,0.7192272363559482
TimeAlignCarrierFixedH192,Weather,4,1,0.4511326551437378,0.45198237895965576,-5.4967845608108306,0.7802433348211105,0.7343072652074366
TimeAlignCarrierFixedH336,Weather,8,5,0.513984203338623,0.5165044069290161,-5.17078938540042,0.824264109933664,0.7946980017120013
TimeAlignCarrierFixedH720,Weather,4,1,0.6065983176231384,0.6072584390640259,-3.3458842979446013,0.791487054719296,0.7500196817013844
TimeAlignCarrierUnified720,Weather,10,7,0.49738048762083054,0.4986444041132927,-4.5299383798751975,0.791487054719296,0.7420830005660397
