dataset,settings,unified_wins,mean_relative_mse_pct,mean_relative_mae_pct
ETTh2,4,3,-7.877470651955703,-3.4631512654720504
ETTm2,4,0,1.4664903280997343,0.6132145961861568
Weather,4,3,-1.0656661459756718,0.010638422136682868
ALL,12,6,-2.4922154899438804,-0.9464327490497368
