dataset,target_horizon,fixed_mse,unified_mse,relative_mse_pct,fixed_mae,unified_mae,relative_mae_pct,unified_win
ETTh2,96,0.2776060402393341,0.25175195932388306,-9.313227080059683,0.333740234375,0.32124555110931396,-3.7438348687820033,True
ETTh2,192,0.34608742594718933,0.3020454943180084,-12.7256665013601,0.3769344687461853,0.35560938715934753,-5.657503718822099,True
ETTh2,336,0.37340015172958374,0.3379392921924591,-9.496744811931778,0.4021376669406891,0.38622191548347473,-3.9577867893588192,True
ETTh2,720,0.4263956844806671,0.42650550603866577,0.025755785528747133,0.45035669207572937,0.44813427329063416,-0.4934796849252798,False
ETTm2,96,0.16123870015144348,0.16686369478702545,3.488613236337601,0.24756276607513428,0.2497807741165161,0.8959376551434639,False
ETTm2,192,0.2158319354057312,0.22081191837787628,2.3073429623764685,0.28450268507003784,0.2876600921154022,1.1097986806652083,False
ETTm2,336,0.27088332176208496,0.27107295393943787,0.07000511368486784,0.32081741094589233,0.3222518563270569,0.4471220489359551,False
ETTm2,720,0.3472226858139038,0.3472226858139038,0.0,0.37529322504997253,0.37529322504997253,0.0,False
Weather,96,0.14964593946933746,0.1513024866580963,1.1069777066007758,0.19009435176849365,0.19513677060604095,2.652587407588114,False
Weather,192,0.198689803481102,0.19306078553199768,-2.8330683560415792,0.2381194680929184,0.2348906248807907,-1.3559761568372575,True
Weather,336,0.24432256817817688,0.24219438433647156,-0.8710549572126691,0.27259933948516846,0.2736915051937103,0.400648699517947,True
Weather,720,0.3166704475879669,0.3113962411880493,-1.665518977249214,0.3269381821155548,0.3215283155441284,-1.654706261722072,True
